Date,ISRAEL IMI GROWTH IMI (Large+Mid+Small Cap)
2002-05-31,486.177
2002-06-28,441.617
2002-07-31,477.313
2002-08-30,474.078
2002-09-30,425.49
2002-10-31,434.954
2002-11-29,508.742
2002-12-31,449.129
2003-01-31,451.931
2003-02-28,459.305
2003-03-31,483.239
2003-04-30,553.196
2003-05-30,617.688
2003-06-30,680.239
2003-07-31,651.015
2003-08-29,662.0
2003-09-30,655.729
2003-10-31,693.931
2003-11-28,730.238
2003-12-31,709.827
2004-01-30,767.745
2004-02-27,795.716
2004-03-31,783.167
2004-04-30,776.825
2004-05-31,778.716
2004-06-30,813.133
2004-07-30,695.285
2004-08-31,653.797
2004-09-30,646.027
2004-10-29,655.186
2004-11-30,713.681
2004-12-31,769.437
2005-01-31,741.133
2005-02-28,766.734
2005-03-31,771.692
2005-04-29,768.451
2005-05-31,814.961
2005-06-30,760.133
2005-07-29,782.396
2005-08-31,790.872
2005-09-30,822.215
2005-10-31,877.508
2005-11-30,941.562
2005-12-30,986.003
2006-01-31,976.965
2006-02-28,957.36
2006-03-31,938.031
2006-04-28,956.432
2006-05-31,868.363
2006-06-30,778.955
2006-07-31,791.276
2006-08-31,834.929
2006-09-29,812.691
2006-10-31,808.523
2006-11-30,812.051
2006-12-29,795.674
2007-01-31,853.62
2007-02-28,874.629
2007-03-30,906.017
2007-04-30,977.555
2007-05-31,1000.0
2007-06-29,1004.073
2007-07-31,1032.614
2007-08-31,1013.656
2007-09-28,1085.5
2007-10-31,1131.073
2007-11-30,1107.319
2007-12-31,1158.323
2008-01-31,1110.283
2008-02-29,1185.238
2008-03-31,1117.25
2008-04-30,1227.173
2008-05-30,1303.735
2008-06-30,1287.437
2008-07-31,1175.954
2008-08-29,1173.689
2008-09-30,1080.87
2008-10-31,875.526
2008-11-28,786.803
2008-12-31,809.283
2009-01-30,798.419
2009-02-27,853.055
2009-03-31,850.44
2009-04-30,867.486
2009-05-29,936.967
2009-06-30,961.64
2009-07-31,1077.662
2009-08-31,1060.904
2009-09-30,1060.034
2009-10-30,1086.267
2009-11-30,1147.058
2009-12-31,1207.18
2010-01-29,1216.132
2010-02-26,1237.026
2010-03-31,1330.155
2010-04-30,1253.606
2010-05-31,1103.196
2010-06-30,1094.999
2010-07-30,1070.614
2010-08-31,1103.524
2010-09-30,1207.624
2010-10-29,1212.948
2010-11-30,1169.516
2010-12-31,1265.654
2011-01-31,1238.238
2011-02-28,1216.866
2011-03-31,1233.666
2011-04-29,1215.799
2011-05-31,1228.061
2011-06-30,1171.372
2011-07-29,1155.83
2011-08-31,1013.759
2011-09-30,886.656
2011-10-31,993.002
2011-11-30,942.652
2011-12-30,940.694
