Date,WORLD ex USA SMALL GROWTH Small Cap
1994-05-31,501.398
1994-06-30,522.839
1994-07-29,518.385
1994-08-31,517.684
1994-09-30,503.254
1994-10-31,511.798
1994-11-30,476.869
1994-12-30,485.121
1995-01-31,465.582
1995-02-28,451.371
1995-03-31,469.988
1995-04-28,475.529
1995-05-31,459.831
1995-06-30,452.719
1995-07-31,477.719
1995-08-31,468.085
1995-09-29,471.645
1995-10-31,458.558
1995-11-30,462.364
1995-12-29,481.484
1996-01-31,484.506
1996-02-29,488.264
1996-03-29,499.765
1996-04-30,526.913
1996-05-31,521.151
1996-06-28,520.327
1996-07-31,496.871
1996-08-30,495.119
1996-09-30,491.874
1996-10-31,486.918
1996-11-29,487.946
1996-12-31,472.071
1997-01-31,457.05
1997-02-28,457.4
1997-03-31,446.75
1997-04-30,435.815
1997-05-30,470.882
1997-06-30,477.235
1997-07-31,462.239
1997-08-29,444.475
1997-09-30,441.453
1997-10-31,424.906
1997-11-28,399.638
1997-12-31,383.911
1998-01-30,403.708
1998-02-27,432.158
1998-03-31,448.274
1998-04-30,457.959
1998-05-29,464.416
1998-06-30,447.365
1998-07-31,447.211
1998-08-31,387.994
1998-09-30,373.66
1998-10-30,397.354
1998-11-30,415.959
1998-12-31,423.198
1999-01-29,428.404
1999-02-26,428.387
1999-03-31,447.097
1999-04-30,474.24
1999-05-31,462.035
1999-06-30,495.844
1999-07-30,520.104
1999-08-31,548.266
1999-09-30,565.474
1999-10-29,572.677
1999-11-30,596.961
1999-12-31,620.885
2000-01-31,634.084
2000-02-29,681.784
2000-03-31,665.422
2000-04-28,589.7
2000-05-31,575.559
2000-06-30,603.355
2000-07-31,567.254
2000-08-31,587.608
2000-09-29,559.523
2000-10-31,500.339
2000-11-30,464.751
2000-12-29,470.734
2001-01-31,474.58
2001-02-28,445.622
2001-03-30,402.87
2001-04-30,427.937
2001-05-31,424.432
2001-06-29,397.987
2001-07-31,378.964
2001-08-31,375.073
2001-09-28,322.504
2001-10-31,342.839
