Date,WORLD ex USA SMALL GROWTH Small Cap
2001-01-01,463.826
2001-01-02,462.329
2001-01-03,456.211
2001-01-04,456.647
2001-01-05,454.564
2001-01-08,449.704
2001-01-09,443.372
2001-01-10,440.569
2001-01-11,442.033
2001-01-12,446.128
2001-01-15,445.959
2001-01-16,447.01
2001-01-17,451.36
2001-01-18,459.346
2001-01-19,463.035
2001-01-22,462.451
2001-01-23,462.357
2001-01-24,458.808
2001-01-25,460.925
2001-01-26,458.79
2001-01-29,459.603
2001-01-30,463.098
2001-01-31,467.63
2001-02-01,470.939
2001-02-02,468.9
2001-02-05,467.031
2001-02-06,466.271
2001-02-07,462.522
2001-02-08,458.612
2001-02-09,457.402
2001-02-12,458.892
2001-02-13,457.486
2001-02-14,454.477
2001-02-15,454.052
2001-02-16,454.013
2001-02-19,451.992
2001-02-20,449.536
2001-02-21,443.636
2001-02-22,438.674
2001-02-23,438.566
2001-02-26,441.429
2001-02-27,444.135
2001-02-28,439.131
2001-03-01,435.602
2001-03-02,433.922
2001-03-05,431.917
2001-03-06,439.254
2001-03-07,439.22
2001-03-08,440.63
2001-03-09,438.188
2001-03-12,427.731
2001-03-13,417.277
2001-03-14,408.891
2001-03-15,407.47
2001-03-16,402.318
2001-03-19,401.229
2001-03-20,403.547
2001-03-21,400.293
2001-03-22,388.071
2001-03-23,396.829
2001-03-26,404.813
2001-03-27,406.445
2001-03-28,405.798
2001-03-29,399.486
2001-03-30,397.126
2001-04-02,394.307
2001-04-03,390.893
2001-04-04,392.537
2001-04-05,397.118
2001-04-06,398.815
2001-04-09,396.404
2001-04-10,397.112
2001-04-11,398.953
2001-04-12,404.526
2001-04-13,404.94
2001-04-16,402.164
2001-04-17,400.777
2001-04-18,407.597
2001-04-19,416.161
2001-04-20,418.344
2001-04-23,416.934
2001-04-24,416.631
2001-04-25,418.365
2001-04-26,422.119
2001-04-27,420.094
2001-04-30,421.966
2001-05-01,427.718
2001-05-02,431.2
2001-05-03,431.24
2001-05-04,431.643
2001-05-07,432.354
2001-05-08,429.693
2001-05-09,427.1
2001-05-10,427.89
2001-05-11,426.419
2001-05-14,422.068
2001-05-15,423.002
2001-05-16,422.504
2001-05-17,426.608
2001-05-18,426.413
2001-05-21,429.602
2001-05-22,429.371
2001-05-23,429.868
2001-05-24,428.21
2001-05-25,428.146
2001-05-28,427.621
2001-05-29,425.565
2001-05-30,421.712
2001-05-31,418.666
2001-06-01,418.703
2001-06-04,418.998
2001-06-05,418.315
2001-06-06,416.702
2001-06-07,418.719
2001-06-08,418.487
2001-06-11,414.274
2001-06-12,409.208
2001-06-13,411.781
2001-06-14,410.739
2001-06-15,407.081
2001-06-18,403.821
2001-06-19,402.016
2001-06-20,395.914
2001-06-21,397.063
2001-06-22,398.666
2001-06-25,398.952
2001-06-26,396.217
2001-06-27,394.187
2001-06-28,389.984
2001-06-29,392.652
2001-07-02,391.809
2001-07-03,391.795
2001-07-04,388.999
2001-07-05,383.657
2001-07-06,379.882
2001-07-09,376.675
2001-07-10,378.31
2001-07-11,376.303
2001-07-12,378.338
2001-07-13,377.16
2001-07-16,376.13
2001-07-17,372.22
2001-07-18,374.544
2001-07-19,375.36
2001-07-20,375.34
2001-07-23,370.394
2001-07-24,371.471
2001-07-25,371.95
2001-07-26,372.237
2001-07-27,373.618
2001-07-30,370.981
2001-07-31,373.92
2001-08-01,378.301
2001-08-02,383.461
2001-08-03,382.992
2001-08-06,380.559
2001-08-07,378.787
2001-08-08,377.619
2001-08-09,375.183
2001-08-10,377.169
2001-08-13,375.822
2001-08-14,378.479
2001-08-15,383.604
2001-08-16,381.933
2001-08-17,381.796
2001-08-20,377.426
2001-08-21,379.375
2001-08-22,380.91
2001-08-23,378.225
2001-08-24,379.144
2001-08-27,379.48
2001-08-28,377.472
2001-08-29,376.341
2001-08-30,372.223
2001-08-31,370.111
2001-09-03,364.763
2001-09-04,361.843
2001-09-05,356.648
2001-09-06,353.125
2001-09-07,352.283
2001-09-10,344.064
2001-09-11,340.491
2001-09-12,327.54
2001-09-13,329.448
2001-09-14,329.535
2001-09-17,319.938
2001-09-18,320.917
2001-09-19,322.254
2001-09-20,314.331
2001-09-21,304.18
2001-09-24,307.976
2001-09-25,313.206
2001-09-26,314.867
2001-09-27,313.365
2001-09-28,318.31
2001-10-01,319.705
2001-10-02,320.576
2001-10-03,321.16
2001-10-04,326.141
2001-10-05,327.329
2001-10-08,326.408
2001-10-09,326.588
2001-10-10,326.147
2001-10-11,330.076
2001-10-12,331.925
2001-10-15,332.087
2001-10-16,335.007
2001-10-17,339.094
2001-10-18,334.734
2001-10-19,333.206
2001-10-22,333.306
2001-10-23,335.541
2001-10-24,337.629
2001-10-25,339.75
2001-10-26,340.989
2001-10-29,342.694
2001-10-30,338.997
2001-10-31,338.408
2001-11-01,339.321
2001-11-02,338.992
2001-11-05,340.003
2001-11-06,341.788
2001-11-07,342.655
2001-11-08,343.209
2001-11-09,342.582
2001-11-12,340.921
2001-11-13,340.156
2001-11-14,342.947
2001-11-15,343.953
2001-11-16,345.391
2001-11-19,347.2
2001-11-20,347.101
2001-11-21,344.888
2001-11-22,345.973
2001-11-23,345.097
2001-11-26,349.097
2001-11-27,349.37
2001-11-28,347.823
2001-11-29,346.058
2001-11-30,348.646
2001-12-03,344.457
2001-12-04,344.993
2001-12-05,348.631
2001-12-06,351.249
2001-12-07,350.056
2001-12-10,347.117
2001-12-11,345.789
2001-12-12,347.801
