Date,WORLD ex USA SMALL GROWTH Small Cap
2001-01-01,470.731
2001-01-02,469.211
2001-01-03,463.002
2001-01-04,463.444
2001-01-05,461.33
2001-01-08,456.397
2001-01-09,449.972
2001-01-10,447.126
2001-01-11,448.611
2001-01-12,452.768
2001-01-15,452.592
2001-01-16,453.659
2001-01-17,458.074
2001-01-18,466.178
2001-01-19,469.921
2001-01-22,469.327
2001-01-23,469.232
2001-01-24,465.63
2001-01-25,467.779
2001-01-26,465.612
2001-01-29,466.434
2001-01-30,469.982
2001-01-31,474.58
2001-02-01,477.939
2001-02-02,475.869
2001-02-05,473.972
2001-02-06,473.195
2001-02-07,469.389
2001-02-08,465.421
2001-02-09,464.192
2001-02-12,465.704
2001-02-13,464.277
2001-02-14,461.223
2001-02-15,460.79
2001-02-16,460.751
2001-02-19,458.699
2001-02-20,456.201
2001-02-21,450.211
2001-02-22,445.174
2001-02-23,445.058
2001-02-26,447.96
2001-02-27,450.706
2001-02-28,445.622
2001-03-01,442.041
2001-03-02,440.334
2001-03-05,438.291
2001-03-06,445.734
2001-03-07,445.699
2001-03-08,447.127
2001-03-09,444.639
2001-03-12,434.028
2001-03-13,423.42
2001-03-14,414.907
2001-03-15,413.463
2001-03-16,408.23
2001-03-19,407.124
2001-03-20,409.476
2001-03-21,406.173
2001-03-22,393.772
2001-03-23,402.656
2001-03-26,410.753
2001-03-27,412.336
2001-03-28,411.675
2001-03-29,405.271
2001-03-30,402.87
2001-04-02,400.006
2001-04-03,396.539
2001-04-04,398.203
2001-04-05,402.846
2001-04-06,404.563
2001-04-09,402.113
2001-04-10,402.831
2001-04-11,404.698
2001-04-12,410.351
2001-04-13,410.771
2001-04-16,407.955
2001-04-17,406.545
2001-04-18,413.462
2001-04-19,422.142
2001-04-20,424.351
2001-04-23,422.913
2001-04-24,422.599
2001-04-25,424.296
2001-04-26,428.099
2001-04-27,426.041
2001-04-30,427.937
2001-05-01,433.77
2001-05-02,437.294
2001-05-03,437.33
2001-05-04,437.73
2001-05-07,438.442
2001-05-08,435.742
2001-05-09,433.106
2001-05-10,433.895
