Date,UNITED KINGDOM MID GROWTH Mid Cap
1994-05-31,195.278
1994-06-30,191.536
1994-07-29,204.431
1994-08-31,218.536
1994-09-30,203.632
1994-10-31,216.764
1994-11-30,208.548
1994-12-30,214.14
1995-01-31,211.531
1995-02-28,209.742
1995-03-31,213.406
1995-04-28,220.97
1995-05-31,225.119
1995-06-30,227.118
1995-07-31,244.54
1995-08-31,248.649
1995-09-29,258.791
1995-10-31,259.974
1995-11-30,256.938
1995-12-29,263.494
1996-01-31,259.116
1996-02-29,273.621
1996-03-29,286.845
1996-04-30,300.638
1996-05-31,310.298
1996-06-28,300.153
1996-07-31,294.235
1996-08-30,309.501
1996-09-30,314.715
1996-10-31,336.283
1996-11-29,347.38
1996-12-31,362.513
1997-01-31,350.644
1997-02-28,365.853
1997-03-31,360.897
1997-04-30,348.434
1997-05-30,357.644
1997-06-30,370.036
1997-07-31,369.207
1997-08-29,375.113
1997-09-30,380.395
1997-10-31,379.125
1997-11-28,383.531
1997-12-31,388.832
1998-01-30,409.805
1998-02-27,435.228
1998-03-31,475.712
1998-04-30,486.21
1998-05-29,519.904
1998-06-30,523.093
1998-07-31,540.95
1998-08-31,471.769
1998-09-30,441.052
1998-10-30,463.873
1998-11-30,484.832
1998-12-31,511.48
1999-01-29,566.76
1999-02-26,569.579
1999-03-31,586.781
1999-04-30,586.876
1999-05-31,556.091
1999-06-30,565.103
1999-07-30,593.767
1999-08-31,584.621
1999-09-30,575.786
1999-10-29,600.451
1999-11-30,732.369
1999-12-31,824.92
2000-01-31,835.066
2000-02-29,953.881
2000-03-31,894.577
2000-04-28,790.026
2000-05-31,726.978
2000-06-30,783.14
2000-07-31,801.663
2000-08-31,832.877
2000-09-29,772.558
2000-10-31,703.428
2000-11-30,558.631
2000-12-29,616.558
2001-01-31,629.886
2001-02-28,576.053
2001-03-30,506.464
2001-04-30,556.179
2001-05-31,536.301
2001-06-29,500.865
2001-07-31,478.677
2001-08-31,469.624
2001-09-28,408.882
2001-10-31,439.941
2001-11-30,449.615
2001-12-31,460.879
2002-01-31,434.562
2002-02-28,415.226
2002-03-29,438.686
2002-04-30,413.68
2002-05-31,406.699
2002-06-28,375.099
2002-07-31,351.992
2002-08-30,360.674
2002-09-30,324.767
2002-10-31,346.157
2002-11-29,356.899
2002-12-31,327.421
2003-01-31,294.506
2003-02-28,263.524
2003-03-31,268.493
2003-04-30,306.029
2003-05-30,335.623
2003-06-30,338.426
2003-07-31,348.715
2003-08-29,350.522
2003-09-30,360.525
2003-10-31,404.481
2003-11-28,416.642
2003-12-31,436.587
