Date,SWEDEN IMI GROWTH IMI (Large+Mid+Small Cap)
1994-05-31,186.379
1994-06-30,178.099
1994-07-29,186.505
1994-08-31,187.571
1994-09-30,188.006
1994-10-31,207.007
1994-11-30,199.717
1994-12-30,198.506
1995-01-31,201.531
1995-02-28,203.324
1995-03-31,201.713
1995-04-28,220.882
1995-05-31,223.362
1995-06-30,234.174
1995-07-31,248.946
1995-08-31,246.687
1995-09-29,277.608
1995-10-31,267.002
1995-11-30,273.063
1995-12-29,267.651
1996-01-31,262.782
1996-02-29,286.042
1996-03-29,292.244
1996-04-30,291.431
1996-05-31,305.738
1996-06-28,308.862
1996-07-31,294.968
1996-08-30,313.353
1996-09-30,326.027
1996-10-31,343.283
1996-11-29,364.563
1996-12-31,370.966
1997-01-31,380.297
1997-02-28,373.619
1997-03-31,385.331
1997-04-30,358.132
1997-05-30,388.568
1997-06-30,416.24
1997-07-31,430.407
1997-08-29,413.572
1997-09-30,458.91
1997-10-31,415.553
1997-11-28,422.066
1997-12-31,406.868
1998-01-30,413.492
1998-02-27,450.013
1998-03-31,480.92
1998-04-30,513.005
1998-05-29,530.881
1998-06-30,528.829
1998-07-31,529.691
1998-08-31,452.091
1998-09-30,414.889
1998-10-30,439.433
1998-11-30,490.066
1998-12-31,482.811
1999-01-29,512.054
1999-02-26,498.542
1999-03-31,501.114
1999-04-30,533.125
1999-05-31,532.288
1999-06-30,591.349
1999-07-30,604.186
1999-08-31,598.981
1999-09-30,596.533
1999-10-29,703.647
1999-11-30,814.766
1999-12-31,1034.002
2000-01-31,1090.99
2000-02-29,1413.739
2000-03-31,1308.228
2000-04-28,1276.856
2000-05-31,1194.674
2000-06-30,1147.043
2000-07-31,1095.911
2000-08-31,1081.433
2000-09-29,905.137
2000-10-31,799.317
2000-11-30,690.777
2000-12-29,701.215
2001-01-31,758.918
2001-02-28,591.753
2001-03-30,451.79
2001-04-30,528.586
2001-05-31,494.113
2001-06-29,451.62
2001-07-31,451.133
2001-08-31,405.714
2001-09-28,343.493
2001-10-31,381.143
2001-11-30,442.792
2001-12-31,450.418
2002-01-31,390.231
2002-02-28,379.292
2002-03-29,394.634
2002-04-30,323.951
2002-05-31,307.259
2002-06-28,293.436
2002-07-31,245.954
2002-08-30,241.748
2002-09-30,191.466
2002-10-31,242.777
2002-11-29,277.898
2002-12-31,251.927
2003-01-31,250.622
2003-02-28,243.482
