Date,SWEDEN IMI GROWTH IMI (Large+Mid+Small Cap)
2002-02-06,388.927
2002-02-07,392.201
2002-02-08,387.766
2002-02-11,397.665
2002-02-12,394.89
2002-02-13,391.975
2002-02-14,388.023
2002-02-15,381.52
2002-02-18,375.574
2002-02-19,371.39
2002-02-20,370.873
2002-02-21,380.911
2002-02-22,378.069
2002-02-25,383.073
2002-02-26,383.41
2002-02-27,392.189
2002-02-28,390.627
2002-03-01,396.391
2002-03-04,420.427
2002-03-05,417.875
2002-03-06,421.752
2002-03-07,435.227
2002-03-08,436.102
2002-03-11,427.701
2002-03-12,411.956
2002-03-13,408.978
2002-03-14,405.59
2002-03-15,407.227
2002-03-18,411.32
2002-03-19,407.89
2002-03-20,403.168
2002-03-21,403.791
2002-03-22,418.575
2002-03-25,412.35
2002-03-26,407.014
2002-03-27,405.3
2002-03-28,406.378
2002-03-29,406.378
2002-04-01,410.39
2002-04-02,404.56
2002-04-03,396.76
2002-04-04,395.608
2002-04-05,397.908
2002-04-08,386.248
2002-04-09,383.23
2002-04-10,383.1
2002-04-11,374.824
2002-04-12,376.479
2002-04-15,380.101
2002-04-16,389.222
2002-04-17,395.677
2002-04-18,382.974
2002-04-19,373.976
2002-04-22,340.937
2002-04-23,336.312
2002-04-24,321.169
2002-04-25,330.132
2002-04-26,336.927
2002-04-29,330.928
2002-04-30,333.153
2002-05-01,335.11
2002-05-02,331.966
2002-05-03,323.048
2002-05-06,322.149
2002-05-07,319.284
2002-05-08,331.357
2002-05-09,330.787
2002-05-10,319.741
2002-05-13,323.091
2002-05-14,329.454
2002-05-15,335.217
2002-05-16,330.033
2002-05-17,340.462
2002-05-20,341.433
2002-05-21,336.528
2002-05-22,330.085
2002-05-23,328.749
2002-05-24,329.762
2002-05-27,326.374
2002-05-28,327.339
2002-05-29,321.618
2002-05-30,315.898
2002-05-31,315.949
2002-06-03,316.534
2002-06-04,310.199
2002-06-05,312.756
2002-06-06,311.509
2002-06-07,301.925
2002-06-10,304.531
2002-06-11,303.419
2002-06-12,295.524
2002-06-13,296.796
2002-06-14,291.757
2002-06-17,295.685
2002-06-18,299.834
2002-06-19,298.23
2002-06-20,288.906
2002-06-21,290.692
2002-06-24,280.364
2002-06-25,289.82
2002-06-26,289.543
2002-06-27,294.171
2002-06-28,301.736
2002-07-01,304.825
2002-07-02,298.755
2002-07-03,288.271
2002-07-04,291.282
2002-07-05,303.331
2002-07-08,304.513
2002-07-09,301.216
2002-07-10,291.199
2002-07-11,279.827
2002-07-12,280.23
2002-07-15,279.321
2002-07-16,278.405
2002-07-17,286.709
2002-07-18,285.436
2002-07-19,272.775
2002-07-22,256.722
2002-07-23,241.5
2002-07-24,226.507
2002-07-25,241.441
2002-07-26,230.066
2002-07-29,246.566
2002-07-30,251.838
2002-07-31,252.911
2002-08-01,247.595
2002-08-02,241.563
2002-08-05,229.971
2002-08-06,228.659
2002-08-07,234.024
2002-08-08,238.258
2002-08-09,236.787
2002-08-12,240.977
2002-08-13,244.37
2002-08-14,240.509
2002-08-15,243.646
2002-08-16,242.663
2002-08-19,244.996
2002-08-20,248.342
2002-08-21,260.432
2002-08-22,268.598
2002-08-23,258.288
2002-08-26,252.144
2002-08-27,251.77
2002-08-28,248.962
2002-08-29,251.11
2002-08-30,248.585
2002-09-02,245.782
2002-09-03,237.585
2002-09-04,236.011
2002-09-05,234.541
2002-09-06,240.825
2002-09-09,238.255
2002-09-10,235.883
2002-09-11,244.364
2002-09-12,237.204
2002-09-13,234.532
2002-09-16,231.58
2002-09-17,228.684
2002-09-18,222.199
2002-09-19,221.543
2002-09-20,220.085
2002-09-23,208.973
2002-09-24,206.518
2002-09-25,207.129
2002-09-26,213.456
2002-09-27,210.022
2002-09-30,196.877
2002-10-01,199.749
2002-10-02,206.425
2002-10-03,203.985
2002-10-04,200.102
2002-10-07,194.17
2002-10-08,188.019
2002-10-09,187.368
2002-10-10,193.317
2002-10-11,205.137
2002-10-14,201.711
2002-10-15,217.821
2002-10-16,214.244
2002-10-17,219.609
2002-10-18,225.015
2002-10-21,229.402
2002-10-22,228.484
2002-10-23,222.768
2002-10-24,228.923
2002-10-25,231.838
2002-10-28,242.155
2002-10-29,232.922
2002-10-30,242.814
2002-10-31,249.638
2002-11-01,252.003
2002-11-04,260.727
2002-11-05,266.481
2002-11-06,262.861
2002-11-07,256.307
2002-11-08,260.267
2002-11-11,257.783
2002-11-12,269.799
2002-11-13,272.222
2002-11-14,277.711
2002-11-15,275.144
2002-11-18,282.97
2002-11-19,277.567
2002-11-20,276.628
2002-11-21,289.729
2002-11-22,290.344
2002-11-25,282.134
2002-11-26,273.28
2002-11-27,283.157
2002-11-28,285.986
2002-11-29,285.751
2002-12-02,284.135
2002-12-03,278.333
2002-12-04,277.779
2002-12-05,275.867
2002-12-06,277.544
2002-12-09,273.362
2002-12-10,273.279
2002-12-11,273.419
2002-12-12,270.119
2002-12-13,270.922
2002-12-16,270.767
2002-12-17,266.575
2002-12-18,259.529
2002-12-19,259.631
2002-12-20,260.546
2002-12-23,258.551
2002-12-24,259.856
2002-12-25,259.856
2002-12-26,260.362
2002-12-27,255.041
2002-12-30,257.654
2002-12-31,259.047
2003-01-01,259.047
2003-01-02,267.396
2003-01-03,270.52
2003-01-06,272.032
2003-01-07,273.595
2003-01-08,264.092
2003-01-09,267.293
2003-01-10,270.895
2003-01-13,271.762
2003-01-14,277.601
2003-01-15,274.199
2003-01-16,272.423
2003-01-17,267.991
2003-01-20,272.305
2003-01-21,268.709
2003-01-22,264.404
2003-01-23,264.696
2003-01-24,265.558
2003-01-27,256.051
2003-01-28,252.16
2003-01-29,254.733
2003-01-30,259.562
2003-01-31,257.693
2003-02-03,258.025
2003-02-04,250.572
2003-02-05,253.442
2003-02-06,252.902
2003-02-07,251.269
2003-02-10,244.29
2003-02-11,248.781
2003-02-12,250.322
2003-02-13,253.413
2003-02-14,255.403
2003-02-17,261.854
2003-02-18,262.817
2003-02-19,261.177
2003-02-20,257.471
2003-02-21,255.486
2003-02-24,253.035
2003-02-25,246.493
2003-02-26,248.266
2003-02-27,249.228
2003-02-28,250.351
2003-03-03,253.281
2003-03-04,251.63
2003-03-05,252.162
2003-03-06,250.172
2003-03-07,247.919
2003-03-10,243.399
2003-03-11,238.966
2003-03-12,235.809
2003-03-13,240.935
2003-03-14,246.346
2003-03-17,252.685
2003-03-18,253.292
2003-03-19,254.495
2003-03-20,257.373
2003-03-21,260.179
2003-03-24,254.541
2003-03-25,254.443
2003-03-26,252.067
2003-03-27,248.753
