Date,SWEDEN IMI GROWTH IMI (Large+Mid+Small Cap)
2001-01-01,701.215
2001-01-02,682.692
2001-01-03,644.909
2001-01-04,709.38
2001-01-05,718.392
2001-01-08,698.594
2001-01-09,674.096
2001-01-10,673.771
2001-01-11,708.119
2001-01-12,731.18
2001-01-15,734.608
2001-01-16,705.487
2001-01-17,741.338
2001-01-18,762.744
2001-01-19,758.128
2001-01-22,745.253
2001-01-23,726.627
2001-01-24,731.565
2001-01-25,750.567
2001-01-26,706.347
2001-01-29,717.742
2001-01-30,737.71
2001-01-31,758.918
2001-02-01,747.237
2001-02-02,731.65
2001-02-05,715.859
2001-02-06,723.037
2001-02-07,707.699
2001-02-08,692.523
2001-02-09,658.038
2001-02-12,664.634
2001-02-13,659.592
2001-02-14,619.184
2001-02-15,639.291
2001-02-16,619.057
2001-02-19,618.198
2001-02-20,609.867
2001-02-21,598.19
2001-02-22,570.657
2001-02-23,551.481
2001-02-26,580.096
2001-02-27,597.857
2001-02-28,591.753
2001-03-01,573.938
2001-03-02,584.744
2001-03-05,604.432
2001-03-06,631.485
2001-03-07,625.141
2001-03-08,612.584
2001-03-09,591.556
2001-03-12,517.029
2001-03-13,496.354
2001-03-14,491.587
2001-03-15,500.611
2001-03-16,458.6
2001-03-19,460.166
2001-03-20,491.092
2001-03-21,470.489
2001-03-22,434.487
2001-03-23,462.155
2001-03-26,486.734
2001-03-27,504.987
2001-03-28,480.062
2001-03-29,454.079
2001-03-30,451.79
2001-04-02,447.919
2001-04-03,430.231
2001-04-04,425.75
2001-04-05,465.483
2001-04-06,458.121
2001-04-09,472.937
2001-04-10,489.603
2001-04-11,490.151
2001-04-12,483.889
2001-04-13,483.889
2001-04-16,478.817
2001-04-17,468.17
2001-04-18,503.058
2001-04-19,527.498
2001-04-20,500.971
2001-04-23,480.786
2001-04-24,478.273
2001-04-25,493.607
2001-04-26,506.362
2001-04-27,513.417
2001-04-30,528.586
2001-05-01,530.798
2001-05-02,532.099
2001-05-03,517.966
2001-05-04,520.041
2001-05-07,525.978
2001-05-08,514.111
2001-05-09,503.949
