Date,SWEDEN IMI GROWTH IMI (Large+Mid+Small Cap)
1994-05-31,196.887
1994-06-30,188.07
1994-07-29,196.947
1994-08-31,198.072
1994-09-30,198.532
1994-10-31,218.596
1994-11-30,210.898
1994-12-30,209.62
1995-01-31,212.8
1995-02-28,214.693
1995-03-31,212.992
1995-04-28,233.056
1995-05-31,234.738
1995-06-30,246.046
1995-07-31,261.566
1995-08-31,259.193
1995-09-29,291.681
1995-10-31,280.538
1995-11-30,286.906
1995-12-29,281.22
1996-01-31,276.086
1996-02-29,300.523
1996-03-29,307.039
1996-04-30,305.713
1996-05-31,319.572
1996-06-28,322.781
1996-07-31,308.261
1996-08-30,327.475
1996-09-30,340.72
1996-10-31,358.753
1996-11-29,380.993
1996-12-31,387.684
1997-01-31,397.418
1997-02-28,390.439
1997-03-31,402.492
1997-04-30,372.869
1997-05-30,404.064
1997-06-30,432.755
1997-07-31,447.484
1997-08-29,429.982
1997-09-30,477.118
1997-10-31,432.041
1997-11-28,438.813
1997-12-31,423.012
1998-01-30,429.898
1998-02-27,467.851
1998-03-31,499.635
1998-04-30,531.485
1998-05-29,549.755
1998-06-30,547.439
1998-07-31,548.331
1998-08-31,468.0
1998-09-30,429.489
1998-10-30,454.897
1998-11-30,507.312
1998-12-31,499.802
1999-01-29,530.073
1999-02-26,516.087
1999-03-31,518.028
1999-04-30,550.71
1999-05-31,549.845
1999-06-30,610.855
1999-07-30,624.115
1999-08-31,618.738
1999-09-30,616.21
1999-10-29,726.856
1999-11-30,841.641
1999-12-31,1068.108
2000-01-31,1126.976
2000-02-29,1460.371
2000-03-31,1351.34
2000-04-28,1317.989
2000-05-31,1233.1
2000-06-30,1183.937
2000-07-31,1131.16
2000-08-31,1116.217
2000-09-29,934.251
2000-10-31,825.027
2000-11-30,712.995
2000-12-29,723.769
2001-01-31,783.324
2001-02-28,610.784
2001-03-30,465.779
2001-04-30,544.685
2001-05-31,508.938
2001-06-29,465.121
2001-07-31,464.62
2001-08-31,417.844
2001-09-28,353.762
2001-10-31,392.538
2001-11-30,456.03
2001-12-31,463.884
2002-01-31,401.892
2002-02-28,390.627
2002-03-29,406.378
2002-04-30,333.153
2002-05-31,315.949
2002-06-28,301.736
2002-07-31,252.911
2002-08-30,248.585
2002-09-30,196.877
2002-10-31,249.638
2002-11-29,285.751
2002-12-31,259.047
2003-01-31,257.693
2003-02-28,250.351
2003-03-31,243.043
2003-04-30,286.047
2003-05-30,305.0
2003-06-30,306.815
2003-07-31,315.296
2003-08-29,318.169
2003-09-30,334.199
2003-10-31,352.702
2003-11-28,368.352
