Date,NETHERLANDS SMID GROWTH SMID (Small+Mid Cap)
2001-01-01,883.682
2001-01-02,882.236
2001-01-03,868.41
2001-01-04,871.49
2001-01-05,857.227
2001-01-08,844.102
2001-01-09,844.098
2001-01-10,840.559
2001-01-11,849.892
2001-01-12,864.604
2001-01-15,864.449
2001-01-16,851.914
2001-01-17,863.765
2001-01-18,882.443
2001-01-19,878.699
2001-01-22,876.471
2001-01-23,859.889
2001-01-24,851.814
2001-01-25,853.445
2001-01-26,848.617
2001-01-29,848.73
2001-01-30,858.527
2001-01-31,871.226
2001-02-01,872.415
2001-02-02,858.922
2001-02-05,859.484
2001-02-06,865.311
2001-02-07,861.963
2001-02-08,842.371
2001-02-09,841.953
2001-02-12,853.91
2001-02-13,843.169
2001-02-14,830.211
2001-02-15,831.14
2001-02-16,836.904
2001-02-19,835.792
2001-02-20,824.96
2001-02-21,824.249
2001-02-22,808.756
2001-02-23,794.81
2001-02-26,809.785
2001-02-27,820.053
2001-02-28,817.879
2001-03-01,824.338
2001-03-02,829.78
2001-03-05,825.382
2001-03-06,829.262
2001-03-07,818.705
2001-03-08,822.156
2001-03-09,813.784
2001-03-12,797.745
2001-03-13,781.702
2001-03-14,764.535
2001-03-15,766.687
2001-03-16,745.235
2001-03-19,742.219
2001-03-20,750.12
2001-03-21,740.773
2001-03-22,701.699
2001-03-23,720.482
2001-03-26,741.017
2001-03-27,744.323
2001-03-28,737.307
2001-03-29,731.173
2001-03-30,737.845
2001-04-02,729.207
2001-04-03,717.5
2001-04-04,728.997
2001-04-05,735.786
2001-04-06,733.484
2001-04-09,723.342
2001-04-10,722.998
2001-04-11,727.303
2001-04-12,736.278
2001-04-13,736.278
2001-04-16,728.738
2001-04-17,724.97
2001-04-18,736.217
2001-04-19,745.092
2001-04-20,755.957
2001-04-23,745.84
2001-04-24,751.412
2001-04-25,761.077
2001-04-26,769.683
2001-04-27,765.214
2001-04-30,760.502
2001-05-01,756.142
2001-05-02,761.306
2001-05-03,756.245
2001-05-04,760.883
2001-05-07,763.604
2001-05-08,763.6
2001-05-09,755.874
2001-05-10,761.366
2001-05-11,763.91
2001-05-14,768.99
2001-05-15,773.752
2001-05-16,765.775
2001-05-17,766.647
2001-05-18,769.032
2001-05-21,768.634
2001-05-22,770.061
2001-05-23,762.902
2001-05-24,758.001
2001-05-25,758.559
2001-05-28,767.866
2001-05-29,757.577
2001-05-30,756.783
2001-05-31,745.349
2001-06-01,741.097
2001-06-04,741.863
2001-06-05,748.086
2001-06-06,746.016
2001-06-07,744.432
2001-06-08,738.462
2001-06-11,720.831
2001-06-12,715.043
2001-06-13,719.319
2001-06-14,715.228
2001-06-15,701.993
2001-06-18,702.453
2001-06-19,698.395
2001-06-20,681.61
2001-06-21,685.591
2001-06-22,688.026
2001-06-25,692.47
2001-06-26,681.812
2001-06-27,676.053
2001-06-28,658.549
2001-06-29,667.009
2001-07-02,670.664
2001-07-03,675.364
2001-07-04,673.885
2001-07-05,657.017
2001-07-06,657.077
2001-07-09,656.568
2001-07-10,661.875
2001-07-11,652.367
2001-07-12,654.501
2001-07-13,645.23
2001-07-16,642.926
2001-07-17,622.51
2001-07-18,630.904
2001-07-19,631.034
2001-07-20,631.66
2001-07-23,627.657
2001-07-24,637.441
2001-07-25,635.932
2001-07-26,636.251
2001-07-27,641.738
2001-07-30,649.574
2001-07-31,652.506
2001-08-01,659.705
2001-08-02,668.429
2001-08-03,674.296
2001-08-06,669.996
2001-08-07,661.161
2001-08-08,657.272
2001-08-09,656.506
2001-08-10,657.566
2001-08-13,656.539
2001-08-14,662.299
2001-08-15,661.815
2001-08-16,658.973
2001-08-17,672.299
2001-08-20,663.685
2001-08-21,671.114
2001-08-22,674.9
2001-08-23,660.263
2001-08-24,666.748
2001-08-27,659.907
2001-08-28,649.454
2001-08-29,649.118
2001-08-30,637.84
2001-08-31,631.117
2001-09-03,622.148
2001-09-04,617.651
2001-09-05,601.977
2001-09-06,590.31
2001-09-07,589.417
2001-09-10,573.565
2001-09-11,562.85
2001-09-12,555.419
2001-09-13,557.73
2001-09-14,544.245
2001-09-17,549.037
2001-09-18,549.061
2001-09-19,553.433
2001-09-20,535.059
2001-09-21,511.264
2001-09-24,525.608
2001-09-25,548.49
2001-09-26,556.42
2001-09-27,542.606
2001-09-28,557.59
2001-10-01,531.558
2001-10-02,519.054
2001-10-03,517.58
2001-10-04,522.014
2001-10-05,527.386
2001-10-08,520.804
2001-10-09,526.675
2001-10-10,540.895
2001-10-11,542.739
2001-10-12,544.308
2001-10-15,533.653
2001-10-16,539.414
2001-10-17,554.585
2001-10-18,536.782
2001-10-19,522.593
2001-10-22,524.252
2001-10-23,532.876
2001-10-24,546.293
2001-10-25,545.654
2001-10-26,551.677
2001-10-29,557.769
2001-10-30,551.352
2001-10-31,549.626
2001-11-01,549.656
2001-11-02,554.592
2001-11-05,556.395
2001-11-06,567.421
2001-11-07,546.49
2001-11-08,537.281
2001-11-09,537.353
2001-11-12,534.448
2001-11-13,540.401
2001-11-14,544.865
2001-11-15,547.774
2001-11-16,568.363
2001-11-19,570.903
2001-11-20,567.141
2001-11-21,558.234
2001-11-22,563.885
2001-11-23,564.833
2001-11-26,571.125
2001-11-27,571.253
2001-11-28,564.747
2001-11-29,562.892
2001-11-30,570.181
2001-12-03,565.038
2001-12-04,565.1
2001-12-05,576.885
2001-12-06,576.148
2001-12-07,570.133
2001-12-10,563.803
2001-12-11,568.014
2001-12-12,572.392
2001-12-13,567.507
2001-12-14,564.57
2001-12-17,572.41
2001-12-18,574.828
2001-12-19,568.495
2001-12-20,569.004
2001-12-21,568.172
2001-12-24,564.617
2001-12-25,564.617
2001-12-26,565.1
2001-12-27,577.032
2001-12-28,578.011
2001-12-31,583.649
2002-01-01,583.649
