Date,NETHERLANDS SMID GROWTH SMID (Small+Mid Cap)
1994-05-31,407.865
1994-06-30,407.925
1994-07-29,428.679
1994-08-31,434.538
1994-09-30,432.059
1994-10-31,445.806
1994-11-30,424.217
1994-12-30,439.894
1995-01-31,450.388
1995-02-28,466.257
1995-03-31,478.847
1995-04-28,488.755
1995-05-31,490.033
1995-06-30,508.569
1995-07-31,515.137
1995-08-31,486.925
1995-09-29,520.591
1995-10-31,520.478
1995-11-30,514.775
1995-12-29,524.376
1996-01-31,557.265
1996-02-29,590.633
1996-03-29,624.128
1996-04-30,637.865
1996-05-31,684.543
1996-06-28,691.112
1996-07-31,685.432
1996-08-30,716.426
1996-09-30,740.304
1996-10-31,739.844
1996-11-29,771.069
1996-12-31,777.273
1997-01-31,805.053
1997-02-28,835.878
1997-03-31,849.938
1997-04-30,840.812
1997-05-30,921.951
1997-06-30,933.698
1997-07-31,992.8
1997-08-29,953.527
1997-09-30,986.019
1997-10-31,962.92
1997-11-28,941.363
1997-12-31,931.024
1998-01-30,977.431
1998-02-27,1071.913
1998-03-31,1154.753
1998-04-30,1171.447
1998-05-29,1230.687
1998-06-30,1239.564
1998-07-31,1268.511
1998-08-31,1124.603
1998-09-30,1038.698
1998-10-30,1048.668
1998-11-30,1097.615
1998-12-31,1128.846
1999-01-29,1117.844
1999-02-26,1074.315
1999-03-31,1039.461
1999-04-30,1060.325
1999-05-31,1028.377
1999-06-30,1064.417
1999-07-30,1091.531
1999-08-31,1117.686
1999-09-30,1108.823
1999-10-29,1063.997
1999-11-30,1102.911
1999-12-31,1278.743
2000-01-31,1180.312
2000-02-29,1298.902
2000-03-31,1299.667
2000-04-28,1164.43
2000-05-31,1112.258
2000-06-30,1135.901
2000-07-31,1107.76
2000-08-31,1066.025
2000-09-29,990.546
2000-10-31,940.932
2000-11-30,835.162
2000-12-29,858.878
2001-01-31,846.772
2001-02-28,795.013
2001-03-30,717.32
2001-04-30,740.193
2001-05-31,726.642
2001-06-29,650.449
2001-07-31,636.306
2001-08-31,615.774
2001-09-28,544.034
2001-10-31,536.264
2001-11-30,556.32
2001-12-31,569.459
2002-01-31,553.95
2002-02-28,532.377
2002-03-29,562.865
2002-04-30,550.866
2002-05-31,545.382
2002-06-28,516.43
2002-07-31,434.899
2002-08-30,443.607
2002-09-30,376.597
2002-10-31,411.391
2002-11-29,439.468
2002-12-31,405.201
2003-01-31,381.965
2003-02-28,349.57
2003-03-31,354.683
2003-04-30,405.829
2003-05-30,432.587
2003-06-30,440.318
2003-07-31,469.053
2003-08-29,494.659
2003-09-30,480.708
2003-10-31,521.909
2003-11-28,548.194
2003-12-31,575.157
2004-01-30,598.225
2004-02-27,607.909
2004-03-31,577.189
2004-04-30,567.748
2004-05-31,589.0
2004-06-30,591.758
2004-07-30,545.586
2004-08-31,538.948
2004-09-30,555.736
2004-10-29,575.608
2004-11-30,618.103
2004-12-31,634.394
2005-01-31,631.001
2005-02-28,692.569
2005-03-31,658.679
2005-04-29,621.915
2005-05-31,627.422
2005-06-30,627.751
2005-07-29,658.154
2005-08-31,656.351
2005-09-30,669.107
2005-10-31,641.475
2005-11-30,669.943
2005-12-30,689.186
2006-01-31,758.781
2006-02-28,734.267
2006-03-31,775.158
2006-04-28,818.597
2006-05-31,784.923
2006-06-30,775.128
2006-07-31,766.788
2006-08-31,791.316
2006-09-29,808.489
2006-10-31,831.441
2006-11-30,875.446
2006-12-29,898.868
2007-01-31,912.37
2007-02-28,911.867
2007-03-30,923.587
2007-04-30,988.917
2007-05-31,1000.0
2007-06-29,1027.326
2007-07-31,1103.372
2007-08-31,1063.225
2007-09-28,1115.066
2007-10-31,1157.509
2007-11-30,1129.337
2007-12-31,1066.894
2008-01-31,922.09
2008-02-29,942.641
2008-03-31,959.33
2008-04-30,1025.666
2008-05-30,1070.951
2008-06-30,931.197
2008-07-31,827.411
2008-08-29,852.889
2008-09-30,673.515
2008-10-31,530.957
2008-11-28,471.923
2008-12-31,516.723
2009-01-30,491.144
2009-02-27,455.29
2009-03-31,508.528
2009-04-30,583.883
2009-05-29,642.699
2009-06-30,642.248
2009-07-31,735.024
2009-08-31,802.623
2009-09-30,857.896
2009-10-30,827.744
2009-11-30,890.805
2009-12-31,943.898
2010-01-29,915.502
2010-02-26,877.73
2010-03-31,977.254
2010-04-30,954.904
2010-05-31,820.58
2010-06-30,795.536
2010-07-30,880.372
2010-08-31,790.099
2010-09-30,940.833
2010-10-29,998.821
2010-11-30,964.936
2010-12-31,1099.096
2011-01-31,1119.174
2011-02-28,1147.89
2011-03-31,1184.608
2011-04-29,1217.206
2011-05-31,1139.781
2011-06-30,1101.883
2011-07-29,1041.958
2011-08-31,894.368
2011-09-30,811.961
2011-10-31,916.42
2011-11-30,857.005
2011-12-30,857.555
2012-01-31,919.204
2012-02-29,1024.561
2012-03-30,1031.165
2012-04-30,1023.254
2012-05-31,877.602
2012-06-29,926.538
2012-07-31,928.045
2012-08-31,950.116
2012-09-28,981.987
2012-10-31,976.247
2012-11-30,967.054
2012-12-31,991.043
2013-01-31,1005.375
2013-02-28,961.571
2013-03-29,983.781
2013-04-30,1007.936
2013-05-31,1021.904
2013-06-28,1028.672
2013-07-31,1109.516
2013-08-30,1124.994
2013-09-30,1164.054
2013-10-31,1208.737
2013-11-29,1234.855
2013-12-31,1247.74
2014-01-31,1225.377
2014-02-28,1277.302
2014-03-31,1279.268
2014-04-30,1253.393
2014-05-30,1266.497
2014-06-30,1248.132
2014-07-31,1166.084
2014-08-29,1183.421
2014-09-30,1130.544
2014-10-31,1139.624
2014-11-28,1218.971
2014-12-31,1203.097
2015-01-30,1199.587
2015-02-27,1279.318
2015-03-31,1274.512
2015-04-30,1372.06
2015-05-29,1327.513
2015-06-30,1348.045
2015-07-31,1422.019
2015-08-31,1325.943
2015-09-30,1239.611
2015-10-30,1292.538
2015-11-30,1305.621
2015-12-31,1293.863
2016-01-29,1228.274
2016-02-29,1252.719
2016-03-31,1357.604
2016-04-29,1327.337
2016-05-31,1319.178
2016-06-30,1257.318
2016-07-29,1316.198
2016-08-31,1353.282
2016-09-30,1349.498
2016-10-31,1283.358
2016-11-30,1244.015
2016-12-30,1291.73
2017-01-31,1332.238
2017-02-28,1363.877
2017-03-31,1396.23
2017-04-28,1455.544
2017-05-31,1517.838
2017-06-30,1495.748
2017-07-31,1531.537
2017-08-31,1537.73
2017-09-29,1611.987
2017-10-31,1665.819
2017-11-30,1745.119
2017-12-29,1756.953
2018-01-31,1843.358
2018-02-28,1751.4
2018-03-30,1738.682
2018-04-30,1782.209
2018-05-31,1769.563
2018-06-29,1747.413
2018-07-31,1819.663
2018-08-31,1811.622
2018-09-28,1764.194
2018-10-31,1612.89
2018-11-30,1636.451
2018-12-31,1577.882
2019-01-31,1686.68
2019-02-28,1773.054
2019-03-29,1787.701
2019-04-30,1868.376
2019-05-31,1814.488
2019-06-28,1949.735
2019-07-31,1961.716
2019-08-30,1957.847
2019-09-30,1992.31
2019-10-31,2046.785
2019-11-29,2070.471
2019-12-31,2101.971
2020-01-31,2104.501
2020-02-28,1952.66
2020-03-31,1706.841
2020-04-30,1942.671
2020-05-29,2052.975
2020-06-30,2159.382
2020-07-31,2247.278
2020-08-31,2320.065
2020-09-30,2272.832
2020-10-30,2279.034
2020-11-30,2525.626
2020-12-31,2787.452
2021-01-29,2881.318
2021-02-26,2824.483
2021-03-31,2931.391
2021-04-30,3112.429
2021-05-31,3187.269
2021-06-30,3160.35
2021-07-30,3309.267
2021-08-31,3509.032
2021-09-30,3352.579
2021-10-29,3579.636
2021-11-30,3465.077
2021-12-31,3500.662
2022-01-31,2974.569
2022-02-28,2916.065
2022-03-31,3083.142
2022-04-29,2746.006
2022-05-31,2725.16
2022-06-30,2350.119
2022-07-29,2653.738
2022-08-31,2457.12
2022-09-30,2189.577
2022-10-31,2304.482
2022-11-30,2614.775
2022-12-30,2561.817
2023-01-31,3024.72
2023-02-28,3051.431
2023-03-31,3249.191
2023-04-28,3139.117
2023-05-31,3387.109
2023-06-30,3325.221
2023-07-31,3628.289
2023-08-31,3481.468
2023-09-29,3105.695
2023-10-31,2958.053
2023-11-30,3708.565
2023-12-29,3962.94
2024-01-31,3961.312
2024-02-29,4157.159
2024-03-29,4151.177
2024-04-30,3987.994
2024-05-31,4249.482
2024-06-28,4270.311
2024-07-31,4025.068
2024-08-30,4136.618
2024-09-30,4220.552
2024-10-31,3895.788
2024-11-29,3741.781
2024-12-31,3803.839
2025-01-31,3728.048
2025-02-28,3579.358
2025-03-31,3380.364
2025-04-30,3532.314
2025-05-30,3797.385
2025-06-30,4054.545
2025-07-31,3717.451
2025-08-29,3818.539
