Date,NETHERLANDS SMID GROWTH SMID (Small+Mid Cap)
2001-01-01,858.878
2001-01-02,857.473
2001-01-03,844.035
2001-01-04,847.029
2001-01-05,833.165
2001-01-08,820.409
2001-01-09,820.405
2001-01-10,816.966
2001-01-11,826.036
2001-01-12,840.336
2001-01-15,840.185
2001-01-16,828.001
2001-01-17,839.521
2001-01-18,857.674
2001-01-19,854.035
2001-01-22,851.87
2001-01-23,835.753
2001-01-24,827.905
2001-01-25,829.49
2001-01-26,824.798
2001-01-29,824.907
2001-01-30,834.43
2001-01-31,846.772
2001-02-01,848.026
2001-02-02,834.91
2001-02-05,835.456
2001-02-06,841.119
2001-02-07,837.866
2001-02-08,818.821
2001-02-09,818.415
2001-02-12,830.038
2001-02-13,819.597
2001-02-14,807.001
2001-02-15,807.904
2001-02-16,813.507
2001-02-19,812.426
2001-02-20,801.897
2001-02-21,801.206
2001-02-22,786.146
2001-02-23,772.589
2001-02-26,787.146
2001-02-27,797.127
2001-02-28,795.013
2001-03-01,801.292
2001-03-02,806.582
2001-03-05,802.307
2001-03-06,806.078
2001-03-07,795.817
2001-03-08,799.171
2001-03-09,791.033
2001-03-12,775.443
2001-03-13,759.848
2001-03-14,743.161
2001-03-15,745.253
2001-03-16,724.44
2001-03-19,721.508
2001-03-20,729.189
2001-03-21,720.103
2001-03-22,682.118
2001-03-23,700.44
2001-03-26,720.404
2001-03-27,723.618
2001-03-28,716.797
2001-03-29,710.834
2001-03-30,717.32
2001-04-02,709.083
2001-04-03,697.698
2001-04-04,708.878
2001-04-05,715.48
2001-04-06,713.242
2001-04-09,703.415
2001-04-10,703.081
2001-04-11,707.268
2001-04-12,715.995
2001-04-13,715.995
2001-04-16,708.663
2001-04-17,704.999
2001-04-18,715.936
2001-04-19,724.613
2001-04-20,735.179
2001-04-23,725.525
2001-04-24,730.944
2001-04-25,740.372
2001-04-26,748.861
2001-04-27,744.779
2001-04-30,740.193
2001-05-01,736.41
2001-05-02,741.438
2001-05-03,736.51
2001-05-04,741.059
2001-05-07,743.709
2001-05-08,743.705
2001-05-09,736.18
2001-05-10,741.602
2001-05-11,744.13
2001-05-14,749.254
2001-05-15,753.951
2001-05-16,746.178
2001-05-17,747.028
2001-05-18,749.494
2001-05-21,749.132
2001-05-22,750.523
2001-05-23,743.563
2001-05-24,738.949
2001-05-25,739.521
2001-05-28,748.595
2001-05-29,738.563
2001-05-30,737.79
2001-05-31,726.642
2001-06-01,722.497
2001-06-04,723.244
2001-06-05,729.31
2001-06-06,727.293
2001-06-07,725.748
2001-06-08,719.928
2001-06-11,702.739
2001-06-12,697.097
2001-06-13,701.266
2001-06-14,697.277
2001-06-15,684.375
2001-06-18,684.962
2001-06-19,681.005
2001-06-20,664.638
2001-06-21,668.52
2001-06-22,670.894
2001-06-25,675.227
2001-06-26,664.835
2001-06-27,659.219
2001-06-28,642.199
2001-06-29,650.449
2001-07-02,654.013
2001-07-03,658.596
2001-07-04,657.154
2001-07-05,640.704
2001-07-06,640.763
2001-07-09,640.266
2001-07-10,645.442
2001-07-11,636.17
2001-07-12,638.251
2001-07-13,629.21
2001-07-16,626.963
2001-07-17,607.054
2001-07-18,615.24
2001-07-19,615.367
2001-07-20,615.977
2001-07-23,612.074
2001-07-24,621.615
2001-07-25,620.143
2001-07-26,620.454
2001-07-27,625.805
2001-07-30,633.446
2001-07-31,636.306
2001-08-01,643.326
2001-08-02,651.834
2001-08-03,657.554
2001-08-06,653.361
2001-08-07,644.746
2001-08-08,640.954
2001-08-09,640.206
2001-08-10,641.24
2001-08-13,640.238
2001-08-14,645.855
2001-08-15,645.384
2001-08-16,642.612
2001-08-17,655.607
2001-08-20,647.55
2001-08-21,654.798
2001-08-22,658.492
2001-08-23,644.211
2001-08-24,650.538
2001-08-27,643.863
2001-08-28,633.665
2001-08-29,633.337
2001-08-30,622.333
2001-08-31,615.774
2001-09-03,607.023
2001-09-04,602.635
2001-09-05,587.342
2001-09-06,575.959
2001-09-07,575.087
2001-09-10,559.62
2001-09-11,549.166
2001-09-12,541.916
2001-09-13,544.171
2001-09-14,531.013
2001-09-17,535.689
2001-09-18,535.712
