Date,NORWAY SMID VALUE SMID (Small+Mid Cap)
2005-01-31,456.558
2005-02-28,511.794
2005-03-31,501.3
2005-04-29,465.403
2005-05-31,481.544
2005-06-30,506.967
2005-07-29,550.665
2005-08-31,574.066
2005-09-30,565.919
2005-10-31,522.582
2005-11-30,536.459
2005-12-30,569.305
2006-01-31,585.668
2006-02-28,607.63
2006-03-31,658.212
2006-04-28,693.396
2006-05-31,662.379
2006-06-30,641.44
2006-07-31,645.679
2006-08-31,668.441
2006-09-29,651.308
2006-10-31,699.227
2006-11-30,756.913
2006-12-29,774.948
2007-01-31,819.719
2007-02-28,850.411
2007-03-30,896.273
2007-04-30,964.106
2007-05-31,1000.0
2007-06-29,1005.466
2007-07-31,973.431
2007-08-31,940.08
2007-09-28,980.963
2007-10-31,1039.261
2007-11-30,943.995
2007-12-31,987.837
2008-01-31,855.19
2008-02-29,937.552
2008-03-31,937.731
2008-04-30,1024.903
2008-05-30,1061.331
2008-06-30,986.25
2008-07-31,929.87
2008-08-29,913.06
2008-09-30,649.818
2008-10-31,391.277
2008-11-28,353.843
2008-12-31,358.089
2009-01-30,366.119
2009-02-27,333.958
2009-03-31,364.155
2009-04-30,439.442
2009-05-29,514.248
2009-06-30,524.155
2009-07-31,576.128
2009-08-31,608.313
2009-09-30,683.067
2009-10-30,707.545
2009-11-30,756.268
2009-12-31,778.062
2010-01-29,803.676
2010-02-26,766.312
2010-03-31,838.253
2010-04-30,860.218
2010-05-31,654.023
2010-06-30,606.082
2010-07-30,698.996
2010-08-31,662.786
2010-09-30,802.397
2010-10-29,871.674
2010-11-30,829.804
2010-12-31,973.629
2011-01-31,971.59
2011-02-28,1047.729
2011-03-31,1040.563
2011-04-29,1068.072
2011-05-31,996.055
2011-06-30,925.064
2011-07-29,887.826
2011-08-31,801.049
2011-09-30,645.63
2011-10-31,744.302
2011-11-30,703.182
2011-12-30,687.354
2012-01-31,743.9
2012-02-29,792.337
2012-03-30,766.943
2012-04-30,764.178
2012-05-31,650.416
2012-06-29,703.499
2012-07-31,720.589
2012-08-31,753.538
2012-09-28,790.479
2012-10-31,808.05
2012-11-30,806.326
2012-12-31,846.541
2013-01-31,886.432
2013-02-28,849.643
2013-03-29,826.648
2013-04-30,856.138
2013-05-31,859.512
2013-06-28,801.023
2013-07-31,863.352
2013-08-30,819.461
2013-09-30,819.265
2013-10-31,875.59
2013-11-29,866.739
2013-12-31,882.186
2014-01-31,834.762
2014-02-28,908.567
2014-03-31,916.552
2014-04-30,925.509
2014-05-30,948.398
2014-06-30,946.553
2014-07-31,910.598
2014-08-29,913.601
2014-09-30,870.552
2014-10-31,767.699
2014-11-28,713.019
2014-12-31,677.185
2015-01-30,651.276
2015-02-27,700.558
2015-03-31,644.424
2015-04-30,735.416
2015-05-29,709.346
2015-06-30,681.176
2015-07-31,651.678
2015-08-31,594.496
2015-09-30,575.698
2015-10-30,619.414
2015-11-30,623.996
2015-12-31,583.628
2016-01-29,540.494
2016-02-29,561.748
2016-03-31,612.228
2016-04-29,651.96
2016-05-31,646.559
2016-06-30,623.388
2016-07-29,657.24
2016-08-31,655.196
2016-09-30,703.204
2016-10-31,702.609
2016-11-30,700.298
2016-12-30,732.065
2017-01-31,781.677
2017-02-28,757.88
2017-03-31,753.558
2017-04-28,763.042
2017-05-31,767.3
2017-06-30,768.633
2017-07-31,839.482
2017-08-31,869.738
2017-09-29,893.353
2017-10-31,888.213
2017-11-30,843.027
2017-12-29,867.174
2018-01-31,919.663
2018-02-28,924.006
2018-03-30,908.112
2018-04-30,990.895
2018-05-31,998.763
2018-06-29,1006.42
