Date,NORWAY SMID VALUE SMID (Small+Mid Cap)
2001-01-01,213.12
2001-01-02,218.365
2001-01-03,214.371
2001-01-04,215.825
2001-01-05,217.672
2001-01-08,217.292
2001-01-09,215.226
2001-01-10,213.669
2001-01-11,216.706
2001-01-12,215.381
2001-01-15,212.887
2001-01-16,211.536
2001-01-17,209.149
2001-01-18,210.426
2001-01-19,207.422
2001-01-22,205.886
2001-01-23,205.596
2001-01-24,201.607
2001-01-25,200.361
2001-01-26,202.301
2001-01-29,203.563
2001-01-30,206.138
2001-01-31,206.76
2001-02-01,210.124
2001-02-02,210.827
2001-02-05,212.522
2001-02-06,213.602
2001-02-07,214.75
2001-02-08,211.604
2001-02-09,212.342
2001-02-12,212.202
2001-02-13,211.233
2001-02-14,210.476
2001-02-15,205.869
2001-02-16,209.131
2001-02-19,211.656
2001-02-20,208.852
2001-02-21,208.262
2001-02-22,207.617
2001-02-23,207.735
2001-02-26,208.926
2001-02-27,211.323
2001-02-28,212.381
2001-03-01,210.006
2001-03-02,211.724
2001-03-05,211.915
2001-03-06,214.463
2001-03-07,213.433
2001-03-08,215.482
2001-03-09,215.184
2001-03-12,211.318
2001-03-13,204.174
2001-03-14,197.725
2001-03-15,199.915
2001-03-16,196.053
2001-03-19,196.141
2001-03-20,198.405
2001-03-21,196.133
2001-03-22,189.114
2001-03-23,188.974
2001-03-26,192.052
2001-03-27,194.05
2001-03-28,192.023
2001-03-29,191.324
2001-03-30,193.351
2001-04-02,193.966
2001-04-03,191.9
2001-04-04,192.955
2001-04-05,194.174
2001-04-06,197.323
2001-04-09,197.973
2001-04-10,199.842
2001-04-11,200.61
2001-04-12,202.515
2001-04-13,202.515
2001-04-16,200.452
2001-04-17,200.761
2001-04-18,199.629
2001-04-19,199.507
2001-04-20,201.242
2001-04-23,200.262
2001-04-24,200.9
2001-04-25,200.541
2001-04-26,202.077
2001-04-27,203.034
2001-04-30,203.769
2001-05-01,204.973
2001-05-02,204.339
2001-05-03,203.034
2001-05-04,204.228
2001-05-07,205.134
2001-05-08,206.072
2001-05-09,206.125
2001-05-10,207.434
2001-05-11,206.865
2001-05-14,203.371
2001-05-15,206.548
2001-05-16,206.41
2001-05-17,206.431
2001-05-18,209.458
2001-05-21,212.933
2001-05-22,209.531
2001-05-23,205.972
2001-05-24,206.07
2001-05-25,207.303
2001-05-28,206.985
2001-05-29,203.428
2001-05-30,202.98
2001-05-31,200.816
2001-06-01,200.011
2001-06-04,200.212
2001-06-05,203.006
2001-06-06,203.444
2001-06-07,204.421
2001-06-08,203.663
2001-06-11,199.316
2001-06-12,197.524
2001-06-13,200.71
2001-06-14,198.361
2001-06-15,198.144
2001-06-18,198.39
2001-06-19,199.92
2001-06-20,197.608
2001-06-21,196.519
2001-06-22,196.691
2001-06-25,196.555
2001-06-26,195.666
2001-06-27,195.471
2001-06-28,194.661
2001-06-29,192.474
2001-07-02,193.011
2001-07-03,194.582
2001-07-04,195.03
2001-07-05,193.133
2001-07-06,195.502
2001-07-09,194.684
2001-07-10,195.074
2001-07-11,195.422
2001-07-12,195.302
2001-07-13,193.224
2001-07-16,191.363
2001-07-17,189.582
2001-07-18,193.034
2001-07-19,195.32
2001-07-20,195.335
2001-07-23,194.973
2001-07-24,193.972
2001-07-25,192.542
2001-07-26,193.963
2001-07-27,194.514
2001-07-30,194.456
2001-07-31,194.226
2001-08-01,194.583
2001-08-02,195.354
2001-08-03,196.384
2001-08-06,194.44
2001-08-07,193.723
2001-08-08,194.176
2001-08-09,195.441
2001-08-10,198.444
2001-08-13,198.49
2001-08-14,198.733
2001-08-15,199.647
2001-08-16,199.772
2001-08-17,199.278
2001-08-20,196.979
2001-08-21,198.555
2001-08-22,202.066
2001-08-23,199.4
2001-08-24,201.698
2001-08-27,199.802
2001-08-28,199.739
2001-08-29,198.738
2001-08-30,198.7
2001-08-31,197.404
2001-09-03,196.783
2001-09-04,196.479
2001-09-05,197.658
2001-09-06,197.795
2001-09-07,198.069
2001-09-10,193.499
2001-09-11,195.548
2001-09-12,185.37
2001-09-13,187.35
2001-09-14,184.687
2001-09-17,182.861
2001-09-18,180.906
2001-09-19,175.846
2001-09-20,165.881
2001-09-21,153.334
2001-09-24,159.593
2001-09-25,161.649
2001-09-26,162.855
2001-09-27,163.431
2001-09-28,162.034
2001-10-01,161.554
2001-10-02,161.193
2001-10-03,159.743
2001-10-04,158.243
2001-10-05,158.637
2001-10-08,158.021
2001-10-09,158.531
2001-10-10,159.131
2001-10-11,162.02
2001-10-12,162.856
2001-10-15,161.181
2001-10-16,162.184
2001-10-17,165.161
2001-10-18,162.776
2001-10-19,161.487
2001-10-22,161.253
2001-10-23,162.063
2001-10-24,162.403
2001-10-25,160.327
2001-10-26,162.281
2001-10-29,163.431
2001-10-30,162.069
2001-10-31,160.24
2001-11-01,161.823
2001-11-02,161.897
2001-11-05,162.147
2001-11-06,163.225
2001-11-07,164.98
2001-11-08,165.901
2001-11-09,168.273
2001-11-12,164.219
2001-11-13,164.936
2001-11-14,167.295
2001-11-15,164.942
2001-11-16,164.584
2001-11-19,165.033
2001-11-20,167.083
2001-11-21,162.953
2001-11-22,163.797
2001-11-23,163.422
2001-11-26,165.499
2001-11-27,166.359
2001-11-28,167.089
2001-11-29,167.67
2001-11-30,170.559
2001-12-03,168.83
2001-12-04,170.556
2001-12-05,170.904
2001-12-06,172.457
2001-12-07,172.331
2001-12-10,171.703
2001-12-11,172.401
2001-12-12,173.846
2001-12-13,173.085
2001-12-14,173.655
2001-12-17,171.798
2001-12-18,172.934
2001-12-19,172.405
2001-12-20,173.951
2001-12-21,174.609
2001-12-24,172.38
2001-12-25,172.38
2001-12-26,172.614
2001-12-27,177.825
2001-12-28,178.378
2001-12-31,179.601
2002-01-01,179.601
2002-01-02,182.027
2002-01-03,181.196
2002-01-04,180.08
2002-01-07,181.178
2002-01-08,179.338
2002-01-09,181.613
2002-01-10,181.326
2002-01-11,181.829
2002-01-14,181.22
2002-01-15,179.156
2002-01-16,176.12
2002-01-17,176.305
2002-01-18,176.267
2002-01-21,177.258
2002-01-22,179.083
2002-01-23,178.428
2002-01-24,178.911
2002-01-25,176.744
2002-01-28,177.07
2002-01-29,177.523
2002-01-30,175.815
2002-01-31,176.335
2002-02-01,175.595
2002-02-04,177.217
2002-02-05,176.669
2002-02-06,177.248
2002-02-07,176.143
2002-02-08,175.775
2002-02-11,176.568
2002-02-12,176.727
2002-02-13,177.237
2002-02-14,179.723
2002-02-15,180.889
2002-02-18,180.15
2002-02-19,180.177
2002-02-20,180.249
2002-02-21,181.674
2002-02-22,181.891
2002-02-25,181.471
2002-02-26,181.964
2002-02-27,184.01
2002-02-28,184.827
2002-03-01,184.88
2002-03-04,186.336
2002-03-05,186.219
2002-03-06,186.807
2002-03-07,190.632
2002-03-08,191.482
2002-03-11,191.23
2002-03-12,191.362
2002-03-13,190.184
2002-03-14,191.136
2002-03-15,192.264
2002-03-18,192.714
2002-03-19,194.531
2002-03-20,195.479
2002-03-21,195.762
2002-03-22,194.857
2002-03-25,194.271
2002-03-26,194.359
2002-03-27,194.607
2002-03-28,194.705
2002-03-29,194.705
2002-04-01,196.174
2002-04-02,197.696
2002-04-03,199.207
2002-04-04,197.29
2002-04-05,198.232
2002-04-08,195.765
2002-04-09,195.733
2002-04-10,196.341
2002-04-11,197.836
2002-04-12,197.41
2002-04-15,197.692
2002-04-16,197.982
2002-04-17,199.144
2002-04-18,198.614
2002-04-19,200.07
2002-04-22,199.892
2002-04-23,198.843
2002-04-24,199.596
2002-04-25,200.479
2002-04-26,201.821
2002-04-29,200.8
2002-04-30,201.854
2002-05-01,203.099
2002-05-02,206.666
2002-05-03,209.141
2002-05-06,208.127
2002-05-07,205.929
2002-05-08,207.574
2002-05-09,207.94
2002-05-10,209.643
2002-05-13,209.47
2002-05-14,209.04
2002-05-15,210.907
2002-05-16,212.652
2002-05-17,214.925
2002-05-20,215.558
2002-05-21,213.041
2002-05-22,214.593
2002-05-23,214.861
2002-05-24,213.72
