Date,NORWAY SMID VALUE SMID (Small+Mid Cap)
2001-01-01,228.207
2001-01-02,233.824
2001-01-03,229.546
2001-01-04,231.104
2001-01-05,233.082
2001-01-08,232.675
2001-01-09,230.463
2001-01-10,228.795
2001-01-11,232.047
2001-01-12,230.629
2001-01-15,227.958
2001-01-16,226.511
2001-01-17,223.955
2001-01-18,225.323
2001-01-19,222.105
2001-01-22,220.461
2001-01-23,220.15
2001-01-24,215.879
2001-01-25,214.545
2001-01-26,216.622
2001-01-29,217.973
2001-01-30,220.73
2001-01-31,221.397
2001-02-01,225.0
2001-02-02,225.752
2001-02-05,227.567
2001-02-06,228.723
2001-02-07,229.952
2001-02-08,226.583
2001-02-09,227.374
2001-02-12,227.224
2001-02-13,226.186
2001-02-14,225.376
2001-02-15,220.443
2001-02-16,223.936
2001-02-19,226.639
2001-02-20,223.637
2001-02-21,223.005
2001-02-22,222.314
2001-02-23,222.441
2001-02-26,223.717
2001-02-27,226.283
2001-02-28,227.416
2001-03-01,224.873
2001-03-02,226.712
2001-03-05,226.916
2001-03-06,229.645
2001-03-07,228.542
2001-03-08,230.737
2001-03-09,230.418
2001-03-12,226.278
2001-03-13,218.628
2001-03-14,211.723
2001-03-15,214.068
2001-03-16,209.932
2001-03-19,210.026
2001-03-20,212.45
2001-03-21,210.018
2001-03-22,202.502
2001-03-23,202.352
2001-03-26,205.648
2001-03-27,207.788
2001-03-28,205.617
2001-03-29,204.869
2001-03-30,207.038
2001-04-02,207.697
2001-04-03,205.485
2001-04-04,206.615
2001-04-05,207.909
2001-04-06,211.281
2001-04-09,211.977
2001-04-10,213.978
2001-04-11,214.8
2001-04-12,216.84
2001-04-13,216.84
2001-04-16,214.631
2001-04-17,214.962
2001-04-18,213.75
2001-04-19,213.567
2001-04-20,215.424
2001-04-23,214.375
2001-04-24,215.058
2001-04-25,214.643
2001-04-26,216.219
2001-04-27,216.711
2001-04-30,217.486
2001-05-01,218.77
2001-05-02,218.094
2001-05-03,216.701
2001-05-04,217.64
2001-05-07,218.606
2001-05-08,219.6
2001-05-09,219.642
2001-05-10,221.037
2001-05-11,220.337
2001-05-14,216.616
2001-05-15,220.0
2001-05-16,219.795
2001-05-17,219.817
2001-05-18,223.04
2001-05-21,226.74
2001-05-22,223.118
2001-05-23,219.316
2001-05-24,219.421
2001-05-25,220.734
2001-05-28,220.395
2001-05-29,216.608
2001-05-30,216.131
2001-05-31,213.827
2001-06-01,212.969
2001-06-04,213.183
2001-06-05,216.132
2001-06-06,216.598
2001-06-07,217.638
2001-06-08,216.831
2001-06-11,212.204
2001-06-12,210.295
2001-06-13,213.687
2001-06-14,211.186
2001-06-15,210.955
2001-06-18,211.218
2001-06-19,212.846
2001-06-20,210.385
2001-06-21,209.225
2001-06-22,209.409
2001-06-25,209.264
2001-06-26,208.317
2001-06-27,208.109
2001-06-28,207.247
2001-06-29,204.919
2001-07-02,205.491
2001-07-03,207.163
2001-07-04,207.64
2001-07-05,205.62
2001-07-06,208.143
2001-07-09,207.271
2001-07-10,207.687
2001-07-11,208.057
2001-07-12,207.93
2001-07-13,205.718
2001-07-16,203.737
2001-07-17,201.84
2001-07-18,205.515
2001-07-19,207.949
2001-07-20,207.965
2001-07-23,207.58
2001-07-24,206.514
2001-07-25,204.991
2001-07-26,206.505
2001-07-27,207.091
2001-07-30,207.029
2001-07-31,206.784
2001-08-01,207.164
2001-08-02,207.985
2001-08-03,209.082
2001-08-06,207.012
2001-08-07,206.249
2001-08-08,206.731
2001-08-09,208.078
2001-08-10,211.275
2001-08-13,211.324
2001-08-14,211.583
2001-08-15,212.555
2001-08-16,212.688
2001-08-17,212.163
2001-08-20,209.715
2001-08-21,211.393
2001-08-22,215.131
2001-08-23,212.293
2001-08-24,214.739
2001-08-27,212.721
2001-08-28,212.653
2001-08-29,211.588
2001-08-30,211.547
2001-08-31,210.167
2001-09-03,209.506
2001-09-04,209.11
2001-09-05,210.365
2001-09-06,210.512
2001-09-07,210.803
2001-09-10,205.939
2001-09-11,208.12
2001-09-12,197.287
2001-09-13,199.394
2001-09-14,196.56
2001-09-17,194.617
2001-09-18,192.536
2001-09-19,187.151
2001-09-20,176.546
2001-09-21,163.192
2001-09-24,169.854
2001-09-25,172.041
2001-09-26,173.325
2001-09-27,173.938
2001-09-28,172.452
