Date,NORWAY SMID VALUE SMID (Small+Mid Cap)
1994-05-31,116.005
1994-06-30,113.112
1994-07-29,119.317
1994-08-31,115.318
1994-09-30,108.381
1994-10-31,111.996
1994-11-30,111.081
1994-12-30,119.336
1995-01-31,119.639
1995-02-28,120.418
1995-03-31,121.164
1995-04-28,126.945
1995-05-31,130.292
1995-06-30,138.747
1995-07-31,141.573
1995-08-31,135.046
1995-09-29,142.217
1995-10-31,133.977
1995-11-30,131.635
1995-12-29,135.577
1996-01-31,134.83
1996-02-29,145.226
1996-03-29,142.887
1996-04-30,144.342
1996-05-31,149.791
1996-06-28,153.219
1996-07-31,154.137
1996-08-30,155.337
1996-09-30,155.375
1996-10-31,162.872
1996-11-29,175.322
1996-12-31,183.787
1997-01-31,196.625
1997-02-28,196.747
1997-03-31,202.551
1997-04-30,188.568
1997-05-30,196.757
1997-06-30,197.784
1997-07-31,214.298
1997-08-29,210.182
1997-09-30,221.94
1997-10-31,229.846
1997-11-28,216.038
1997-12-31,221.296
1998-01-30,206.082
1998-02-27,220.996
1998-03-31,226.983
1998-04-30,241.619
1998-05-29,228.067
1998-06-30,216.524
1998-07-31,222.738
1998-08-31,164.206
1998-09-30,153.18
1998-10-30,169.247
1998-11-30,165.03
1998-12-31,156.658
1999-01-29,174.346
1999-02-26,156.863
1999-03-31,168.585
1999-04-30,182.697
1999-05-31,183.28
1999-06-30,183.079
1999-07-30,193.646
1999-08-31,199.582
1999-09-30,199.851
1999-10-29,189.707
1999-11-30,195.557
1999-12-31,214.885
2000-01-31,199.029
2000-02-29,197.081
2000-03-31,197.217
2000-04-28,184.339
2000-05-31,195.051
2000-06-30,211.026
2000-07-31,213.441
2000-08-31,220.24
2000-09-29,213.707
2000-10-31,204.579
2000-11-30,198.109
2000-12-29,213.12
2001-01-31,206.76
2001-02-28,212.381
2001-03-30,193.351
2001-04-30,203.769
2001-05-31,200.816
2001-06-29,192.474
2001-07-31,194.226
2001-08-31,197.404
2001-09-28,162.034
2001-10-31,160.24
2001-11-30,170.559
2001-12-31,179.601
2002-01-31,176.335
2002-02-28,184.827
2002-03-29,194.705
2002-04-30,201.854
2002-05-31,207.886
2002-06-28,204.195
2002-07-31,179.966
2002-08-30,173.88
2002-09-30,152.553
2002-10-31,159.113
2002-11-29,170.983
2002-12-31,167.769
2003-01-31,164.239
2003-02-28,145.717
2003-03-31,150.193
2003-04-30,181.256
2003-05-30,201.526
2003-06-30,194.595
2003-07-31,205.705
2003-08-29,205.924
2003-09-30,208.979
2003-10-31,235.908
2003-11-28,248.794
2003-12-31,267.737
2004-01-30,264.101
2004-02-27,296.937
2004-03-31,294.228
2004-04-30,291.848
2004-05-31,303.301
2004-06-30,318.417
2004-07-30,313.862
2004-08-31,329.76
2004-09-30,361.496
2004-10-29,373.975
2004-11-30,432.494
2004-12-31,447.759
2005-01-31,441.485
2005-02-28,494.917
2005-03-31,485.227
2005-04-29,454.197
2005-05-31,470.933
2005-06-30,496.788
2005-07-29,539.609
2005-08-31,562.593
2005-09-30,555.174
2005-10-31,512.761
2005-11-30,527.21
2005-12-30,559.666
2006-01-31,575.752
2006-02-28,597.342
2006-03-31,647.925
2006-04-28,684.855
2006-05-31,656.535
2006-06-30,636.154
2006-07-31,640.359
2006-08-31,663.352
2006-09-29,646.35
2006-10-31,693.976
2006-11-30,751.414
2006-12-29,770.348
2007-01-31,814.853
2007-02-28,845.363
2007-03-30,892.179
2007-04-30,962.563
2007-05-31,1000.0
2007-06-29,1006.854
2007-07-31,974.774
2007-08-31,941.584
2007-09-28,982.533
2007-10-31,1042.988
2007-11-30,948.66
2007-12-31,993.037
2008-01-31,859.692
2008-02-29,943.81
2008-03-31,945.28
2008-04-30,1035.355
2008-05-30,1076.835
2008-06-30,1002.758
2008-07-31,945.434
2008-08-29,928.343
2008-09-30,662.379
2008-10-31,398.841
2008-11-28,360.89
2008-12-31,365.473
2009-01-30,373.67
2009-02-27,340.845
2009-03-31,371.966
2009-04-30,449.078
2009-05-29,526.203
2009-06-30,536.485
2009-07-31,589.681
2009-08-31,622.624
2009-09-30,699.383
2009-10-30,724.445
2009-11-30,775.341
2009-12-31,797.684
2010-01-29,823.944
2010-02-26,785.637
2010-03-31,859.796
2010-04-30,882.854
2010-05-31,672.229
2010-06-30,622.954
2010-07-30,718.455
2010-08-31,681.237
2010-09-30,824.734
2010-10-29,895.939
2010-11-30,853.044
2010-12-31,1001.079
2011-01-31,998.983
2011-02-28,1077.269
2011-03-31,1070.241
2011-04-29,1100.023
