Date,KOKUSAI INDEX (WORLD ex JP) SMID CAP SMID (Small+Mid Cap)
1994-05-31,208.194
1994-06-30,202.786
1994-07-29,209.043
1994-08-31,216.97
1994-09-30,213.613
1994-10-31,215.265
1994-11-30,205.219
1994-12-30,207.98
1995-01-31,206.398
1995-02-28,213.117
1995-03-31,218.255
1995-04-28,222.894
1995-05-31,227.77
1995-06-30,234.308
1995-07-31,246.106
1995-08-31,244.934
1995-09-29,250.143
1995-10-31,243.875
1995-11-30,248.144
1995-12-29,253.018
1996-01-31,256.534
1996-02-29,264.313
1996-03-29,269.05
1996-04-30,277.994
1996-05-31,284.38
1996-06-28,279.527
1996-07-31,265.284
1996-08-30,277.03
1996-09-30,284.452
1996-10-31,286.634
1996-11-29,298.714
1996-12-31,302.661
1997-01-31,308.403
1997-02-28,307.455
1997-03-31,299.26
1997-04-30,297.9
1997-05-30,319.588
1997-06-30,330.949
1997-07-31,344.869
1997-08-29,344.26
1997-09-30,366.013
1997-10-31,349.457
1997-11-28,347.51
1997-12-31,352.323
1998-01-30,350.595
1998-02-27,378.276
1998-03-31,400.468
1998-04-30,406.521
1998-05-29,398.676
1998-06-30,393.182
1998-07-31,379.764
1998-08-31,316.819
1998-09-30,323.932
1998-10-30,343.844
1998-11-30,359.422
1998-12-31,374.326
1999-01-29,376.879
1999-02-26,360.624
1999-03-31,367.332
1999-04-30,393.109
1999-05-31,392.032
1999-06-30,407.371
1999-07-30,406.564
1999-08-31,404.112
1999-09-30,399.703
1999-10-29,406.938
1999-11-30,427.712
1999-12-31,471.194
2000-01-31,458.038
2000-02-29,509.932
2000-03-31,505.397
2000-04-28,468.006
2000-05-31,452.471
2000-06-30,478.387
2000-07-31,469.927
2000-08-31,495.688
2000-09-29,477.226
2000-10-31,453.972
2000-11-30,415.265
2000-12-29,444.74
2001-01-31,460.943
2001-02-28,430.194
2001-03-30,396.721
2001-04-30,427.671
2001-05-31,432.396
2001-06-29,428.096
2001-07-31,416.772
2001-08-31,404.744
2001-09-28,349.783
2001-10-31,367.501
2001-11-30,393.718
2001-12-31,409.335
2002-01-31,404.62
2002-02-28,399.978
2002-03-29,426.326
2002-04-30,426.133
2002-05-31,423.764
2002-06-28,398.191
2002-07-31,355.827
2002-08-30,356.358
2002-09-30,323.429
2002-10-31,339.174
2002-11-29,361.395
2002-12-31,348.117
2003-01-31,340.414
2003-02-28,332.263
2003-03-31,334.024
2003-04-30,365.017
2003-05-30,399.104
2003-06-30,404.27
2003-07-31,418.695
2003-08-29,434.619
2003-09-30,435.735
2003-10-31,469.706
2003-11-28,484.14
2003-12-31,504.05
2004-01-30,519.891
2004-02-27,534.055
2004-03-31,532.021
2004-04-30,513.673
2004-05-31,524.12
2004-06-30,539.048
2004-07-30,517.587
2004-08-31,518.181
2004-09-30,540.73
2004-10-29,556.985
2004-11-30,598.897
2004-12-31,624.329
2005-01-31,612.344
2005-02-28,634.875
2005-03-31,622.419
2005-04-29,598.997
2005-05-31,621.464
2005-06-30,638.677
2005-07-29,671.089
2005-08-31,673.427
2005-09-30,685.867
2005-10-31,660.103
2005-11-30,688.71
2005-12-30,703.617
2006-01-31,754.123
2006-02-28,755.261
2006-03-31,782.394
2006-04-28,804.857
2006-05-31,773.303
2006-06-30,771.536
2006-07-31,761.086
2006-08-31,782.313
2006-09-29,792.003
2006-10-31,829.937
2006-11-30,865.847
2006-12-29,880.312
2007-01-31,899.563
2007-02-28,903.035
2007-03-30,926.234
2007-04-30,966.451
2007-05-31,1000.0
2007-06-29,986.221
2007-07-31,953.077
2007-08-31,943.261
2007-09-28,973.729
2007-10-31,1009.247
2007-11-30,941.341
2007-12-31,931.249
2008-01-31,855.67
2008-02-29,859.048
2008-03-31,849.269
2008-04-30,891.099
2008-05-30,923.165
2008-06-30,845.181
2008-07-31,815.771
2008-08-29,817.059
2008-09-30,699.457
2008-10-31,529.829
2008-11-28,482.658
2008-12-31,507.169
2009-01-30,468.492
2009-02-27,423.014
2009-03-31,458.471
2009-04-30,535.62
2009-05-29,579.142
2009-06-30,575.965
2009-07-31,632.466
2009-08-31,668.85
2009-09-30,713.151
2009-10-30,687.439
2009-11-30,712.541
2009-12-31,746.158
2010-01-29,719.252
2010-02-26,736.366
2010-03-31,792.336
2010-04-30,814.978
2010-05-31,735.585
2010-06-30,702.92
2010-07-30,764.424
2010-08-31,731.398
2010-09-30,818.904
2010-10-29,853.33
2010-11-30,849.274
2010-12-31,922.067
2011-01-31,935.454
2011-02-28,971.569
2011-03-31,985.803
2011-04-29,1027.765
2011-05-31,1009.094
2011-06-30,982.19
2011-07-29,952.423
2011-08-31,876.354
2011-09-30,770.661
2011-10-31,873.903
2011-11-30,852.225
2011-12-30,841.826
2012-01-31,902.259
2012-02-29,947.932
2012-03-30,955.471
2012-04-30,947.93
2012-05-31,859.828
2012-06-29,891.947
2012-07-31,897.716
2012-08-31,929.546
2012-09-28,959.442
2012-10-31,955.747
2012-11-30,969.145
2012-12-31,996.889
2013-01-31,1055.262
2013-02-28,1060.386
2013-03-29,1088.837
2013-04-30,1104.333
2013-05-31,1120.915
2013-06-28,1092.159
2013-07-31,1164.763
2013-08-30,1141.859
2013-09-30,1209.03
2013-10-31,1250.408
2013-11-29,1266.723
2013-12-31,1300.499
2014-01-31,1270.127
2014-02-28,1351.2
2014-03-31,1344.938
2014-04-30,1336.949
2014-05-30,1355.892
2014-06-30,1392.254
2014-07-31,1341.289
2014-08-29,1384.675
2014-09-30,1313.44
2014-10-31,1336.751
2014-11-28,1355.739
2014-12-31,1353.464
2015-01-30,1327.06
2015-02-27,1410.282
2015-03-31,1402.154
2015-04-30,1420.988
2015-05-29,1433.519
2015-06-30,1407.376
2015-07-31,1411.32
2015-08-31,1332.752
2015-09-30,1278.52
2015-10-30,1358.002
2015-11-30,1363.475
2015-12-31,1327.406
2016-01-29,1227.199
2016-02-29,1238.991
2016-03-31,1345.421
2016-04-29,1370.319
2016-05-31,1382.383
2016-06-30,1354.179
2016-07-29,1427.063
2016-08-31,1430.387
