Date,KOKUSAI INDEX (WORLD ex JP) SMID CAP SMID (Small+Mid Cap)
2001-01-01,444.747
2001-01-02,433.362
2001-01-03,441.401
2001-01-04,439.485
2001-01-05,432.699
2001-01-08,429.941
2001-01-09,429.511
2001-01-10,435.116
2001-01-11,442.078
2001-01-12,444.136
2001-01-15,443.361
2001-01-16,444.27
2001-01-17,447.05
2001-01-18,450.122
2001-01-19,448.053
2001-01-22,448.709
2001-01-23,455.059
2001-01-24,454.293
2001-01-25,452.709
2001-01-26,452.8
2001-01-29,457.555
2001-01-30,460.566
2001-01-31,460.943
2001-02-01,462.384
2001-02-02,456.248
2001-02-05,455.861
2001-02-06,457.584
2001-02-07,455.442
2001-02-08,452.255
2001-02-09,449.33
2001-02-12,452.416
2001-02-13,449.887
2001-02-14,448.977
2001-02-15,450.509
2001-02-16,446.196
2001-02-19,446.299
2001-02-20,439.676
2001-02-21,434.645
2001-02-22,430.682
2001-02-23,429.601
2001-02-26,436.579
2001-02-27,433.839
2001-02-28,430.194
2001-03-01,429.128
2001-03-02,431.391
2001-03-05,431.217
2001-03-06,436.325
2001-03-07,437.926
2001-03-08,436.817
2001-03-09,430.686
2001-03-12,418.487
2001-03-13,415.816
2001-03-14,407.579
2001-03-15,406.645
2001-03-16,398.421
2001-03-19,402.424
2001-03-20,400.022
2001-03-21,391.648
2001-03-22,382.962
2001-03-23,391.623
2001-03-26,397.421
2001-03-27,401.587
2001-03-28,394.491
2001-03-29,392.575
2001-03-30,396.721
2001-04-02,390.999
2001-04-03,380.467
2001-04-04,381.17
2001-04-05,392.587
2001-04-06,388.661
2001-04-09,392.262
2001-04-10,399.484
2001-04-11,399.139
2001-04-12,404.816
2001-04-13,404.807
2001-04-16,402.08
2001-04-17,403.666
2001-04-18,413.308
2001-04-19,419.755
2001-04-20,419.188
2001-04-23,413.579
2001-04-24,412.488
2001-04-25,417.57
2001-04-26,421.477
2001-04-27,424.52
2001-04-30,427.671
2001-05-01,430.551
2001-05-02,432.558
2001-05-03,427.853
2001-05-04,431.482
2001-05-07,430.296
2001-05-08,430.394
2001-05-09,429.086
2001-05-10,430.243
2001-05-11,427.791
2001-05-14,426.185
2001-05-15,428.659
2001-05-16,435.432
2001-05-17,440.781
2001-05-18,441.627
2001-05-21,448.283
2001-05-22,448.587
2001-05-23,442.179
2001-05-24,442.534
2001-05-25,441.636
2001-05-28,442.113
2001-05-29,437.026
2001-05-30,430.803
2001-05-31,432.396
2001-06-01,434.738
2001-06-04,436.558
2001-06-05,441.781
2001-06-06,439.042
2001-06-07,440.923
2001-06-08,438.546
2001-06-11,433.119
2001-06-12,432.028
2001-06-13,431.396
2001-06-14,424.485
2001-06-15,423.438
2001-06-18,419.795
2001-06-19,418.733
2001-06-20,419.401
2001-06-21,421.133
2001-06-22,418.347
2001-06-25,418.0
2001-06-26,418.41
2001-06-27,419.573
2001-06-28,421.553
2001-06-29,428.096
2001-07-02,425.952
2001-07-03,424.871
2001-07-04,424.218
2001-07-05,419.729
2001-07-06,413.333
2001-07-09,413.56
2001-07-10,411.182
2001-07-11,409.594
2001-07-12,415.347
2001-07-13,416.331
2001-07-16,412.839
2001-07-17,414.11
2001-07-18,414.061
2001-07-19,415.735
2001-07-20,414.992
2001-07-23,411.685
2001-07-24,406.791
2001-07-25,409.046
2001-07-26,412.756
2001-07-27,414.545
2001-07-30,415.169
2001-07-31,416.772
2001-08-01,420.143
2001-08-02,421.828
2001-08-03,420.895
2001-08-06,416.948
2001-08-07,415.443
2001-08-08,410.778
2001-08-09,410.595
2001-08-10,411.832
2001-08-13,413.826
2001-08-14,414.719
2001-08-15,415.353
2001-08-16,414.933
2001-08-17,411.605
2001-08-20,411.066
2001-08-21,409.212
2001-08-22,412.003
2001-08-23,410.41
2001-08-24,414.451
2001-08-27,413.77
2001-08-28,410.557
2001-08-29,409.169
2001-08-30,404.463
2001-08-31,404.744
2001-09-03,403.38
2001-09-04,401.327
2001-09-05,397.65
2001-09-06,391.794
2001-09-07,387.42
2001-09-10,382.961
2001-09-11,378.549
2001-09-12,376.34
2001-09-13,377.068
2001-09-14,374.251
2001-09-17,358.744
2001-09-18,353.884
2001-09-19,349.363
2001-09-20,337.627
2001-09-21,328.378
2001-09-24,338.194
2001-09-25,341.81
2001-09-26,340.278
2001-09-27,342.549
2001-09-28,349.783
2001-10-01,346.764
2001-10-02,349.288
2001-10-03,356.149
2001-10-04,359.706
2001-10-05,359.78
2001-10-08,357.354
2001-10-09,357.195
2001-10-10,362.818
2001-10-11,369.677
2001-10-12,368.833
2001-10-15,368.603
2001-10-16,372.261
2001-10-17,368.434
2001-10-18,364.425
2001-10-19,364.98
2001-10-22,367.194
2001-10-23,367.687
2001-10-24,368.809
2001-10-25,372.512
2001-10-26,374.762
2001-10-29,370.908
2001-10-30,365.491
2001-10-31,367.501
2001-11-01,371.883
2001-11-02,371.962
2001-11-05,376.0
2001-11-06,379.445
2001-11-07,380.359
2001-11-08,379.774
2001-11-09,379.694
2001-11-12,379.082
2001-11-13,384.033
2001-11-14,386.729
2001-11-15,386.599
2001-11-16,388.184
2001-11-19,392.236
2001-11-20,389.793
2001-11-21,387.411
2001-11-22,388.287
2001-11-23,390.871
2001-11-26,393.945
2001-11-27,393.778
2001-11-28,389.688
2001-11-29,392.711
2001-11-30,393.718
2001-12-03,390.6
2001-12-04,396.589
2001-12-05,405.409
2001-12-06,407.398
2001-12-07,406.161
2001-12-10,401.566
2001-12-11,401.712
2001-12-12,401.711
2001-12-13,396.8
2001-12-14,397.782
2001-12-17,401.569
2001-12-18,404.548
2001-12-19,403.005
2001-12-20,399.244
2001-12-21,401.329
2001-12-24,401.585
2001-12-25,401.582
2001-12-26,403.951
2001-12-27,407.856
2001-12-28,409.941
2001-12-31,409.335
2002-01-01,409.333
2002-01-02,410.117
2002-01-03,414.364
2002-01-04,417.554
2002-01-07,415.573
2002-01-08,415.268
2002-01-09,414.244
2002-01-10,413.882
2002-01-11,411.612
2002-01-14,407.295
2002-01-15,407.928
2002-01-16,401.702
2002-01-17,404.378
2002-01-18,401.816
2002-01-21,401.634
2002-01-22,399.533
2002-01-23,403.418
2002-01-24,405.478
2002-01-25,404.017
2002-01-28,404.44
2002-01-29,400.221
2002-01-30,401.123
