Date,KOKUSAI INDEX (WORLD ex JP) SMID CAP SMID (Small+Mid Cap)
1994-05-31,201.07
1994-06-30,195.916
1994-07-29,202.008
1994-08-31,209.681
1994-09-30,206.451
1994-10-31,208.068
1994-11-30,198.368
1994-12-30,201.048
1995-01-31,199.529
1995-02-28,206.034
1995-03-31,211.027
1995-04-28,215.55
1995-05-31,220.343
1995-06-30,226.752
1995-07-31,238.226
1995-08-31,237.105
1995-09-29,242.169
1995-10-31,236.121
1995-11-30,240.266
1995-12-29,245.002
1996-01-31,248.419
1996-02-29,255.968
1996-03-29,260.582
1996-04-30,269.298
1996-05-31,275.569
1996-06-28,270.951
1996-07-31,257.203
1996-08-30,268.605
1996-09-30,275.827
1996-10-31,277.964
1996-11-29,289.69
1996-12-31,293.534
1997-01-31,299.113
1997-02-28,298.215
1997-03-31,290.296
1997-04-30,289.041
1997-05-30,310.172
1997-06-30,321.288
1997-07-31,334.856
1997-08-29,334.276
1997-09-30,355.431
1997-10-31,339.372
1997-11-28,337.492
1997-12-31,342.184
1998-01-30,340.518
1998-02-27,367.418
1998-03-31,389.018
1998-04-30,394.976
1998-05-29,387.454
1998-06-30,382.22
1998-07-31,369.229
1998-08-31,308.041
1998-09-30,314.983
1998-10-30,334.358
1998-11-30,349.52
1998-12-31,364.031
1999-01-29,366.536
1999-02-26,350.761
1999-03-31,357.351
1999-04-30,382.492
1999-05-31,381.522
1999-06-30,396.531
1999-07-30,395.782
1999-08-31,393.444
1999-09-30,389.203
1999-10-29,396.276
1999-11-30,416.55
1999-12-31,458.949
2000-01-31,446.159
2000-02-29,496.758
2000-03-31,492.422
2000-04-28,456.077
2000-05-31,441.055
2000-06-30,466.422
2000-07-31,458.239
2000-08-31,483.428
2000-09-29,465.492
2000-10-31,442.848
2000-11-30,405.148
2000-12-29,433.965
2001-01-31,449.814
2001-02-28,419.863
2001-03-30,387.288
2001-04-30,417.636
2001-05-31,422.462
2001-06-29,418.387
2001-07-31,407.375
2001-08-31,395.684
2001-09-28,342.024
2001-10-31,359.392
2001-11-30,385.094
2001-12-31,400.436
2002-01-31,395.861
2002-02-28,391.377
2002-03-29,417.273
2002-04-30,417.208
2002-05-31,415.082
2002-06-28,390.154
2002-07-31,348.693
2002-08-30,349.324
2002-09-30,317.168
2002-10-31,332.692
2002-11-29,354.606
2002-12-31,341.712
2003-01-31,334.213
2003-02-28,326.334
2003-03-31,328.255
2003-04-30,358.905
2003-05-30,392.672
2003-06-30,397.942
2003-07-31,412.235
2003-08-29,428.042
2003-09-30,429.289
2003-10-31,462.843
2003-11-28,477.199
2003-12-31,497.005
2004-01-30,512.699
2004-02-27,526.808
2004-03-31,525.056
2004-04-30,507.16
2004-05-31,517.78
2004-06-30,532.738
2004-07-30,511.629
2004-08-31,512.398
2004-09-30,534.879
2004-10-29,551.054
2004-11-30,592.71
2004-12-31,618.118
2005-01-31,606.338
2005-02-28,628.83
2005-03-31,616.76
2005-04-29,593.819
2005-05-31,616.489
2005-06-30,633.825
2005-07-29,666.11
2005-08-31,668.635
2005-09-30,681.217
2005-10-31,655.741
2005-11-30,684.383
2005-12-30,699.465
2006-01-31,749.785
2006-02-28,751.121
2006-03-31,778.458
2006-04-28,801.113
2006-05-31,770.208
2006-06-30,768.772
2006-07-31,758.501
2006-08-31,779.883
2006-09-29,789.823
2006-10-31,827.791
2006-11-30,863.847
2006-12-29,878.646
2007-01-31,897.986
2007-02-28,901.694
2007-03-30,925.321
2007-04-30,965.887
2007-05-31,1000.0
2007-06-29,986.608
2007-07-31,953.611
2007-08-31,944.087
2007-09-28,974.9
2007-10-31,1010.657
2007-11-30,942.938
2007-12-31,933.198
2008-01-31,857.595
2008-02-29,861.256
2008-03-31,851.964
2008-04-30,894.502
2008-05-30,927.423
2008-06-30,849.539
2008-07-31,820.179
2008-08-29,821.748
2008-09-30,703.802
2008-10-31,533.28
2008-11-28,486.052
2008-12-31,511.086
2009-01-30,472.217
2009-02-27,426.563
2009-03-31,462.667
2009-04-30,540.846
2009-05-29,585.319
2009-06-30,582.433
2009-07-31,639.702
2009-08-31,676.708
2009-09-30,721.748
2009-10-30,695.813
2009-11-30,721.473
2009-12-31,755.775
2010-01-29,728.611
2010-02-26,746.152
2010-03-31,803.234
2010-04-30,826.511
2010-05-31,746.46
2010-06-30,713.633
2010-07-30,776.21
2010-08-31,742.905
2010-09-30,832.042
2010-10-29,867.139
2010-11-30,863.287
2010-12-31,937.634
2011-01-31,951.359
2011-02-28,988.323
2011-03-31,1003.225
2011-04-29,1046.34
2011-05-31,1028.146
2011-06-30,1001.211
2011-07-29,971.032
2011-08-31,893.793
2011-09-30,786.302
2011-10-31,891.772
2011-11-30,870.011
2011-12-30,859.805
2012-01-31,921.666
2012-02-29,968.605
2012-03-30,976.854
2012-04-30,969.573
2012-05-31,880.154
2012-06-29,913.63
2012-07-31,919.72
2012-08-31,952.729
2012-09-28,983.771
2012-10-31,980.194
2012-11-30,994.41
2012-12-31,1023.695
2013-01-31,1083.779
2013-02-28,1089.34
2013-03-29,1119.107
2013-04-30,1135.616
2013-05-31,1153.521
2013-06-28,1124.542
2013-07-31,1199.573
2013-08-30,1176.375
2013-09-30,1246.031
2013-10-31,1288.851
2013-11-29,1306.098
2013-12-31,1341.494
2014-01-31,1310.4
2014-02-28,1394.476
2014-03-31,1388.638
2014-04-30,1380.917
2014-05-30,1401.471
2014-06-30,1439.827
2014-07-31,1387.34
2014-08-29,1432.655
2014-09-30,1359.476
2014-10-31,1383.834
2014-11-28,1404.1
2014-12-31,1402.364
2015-01-30,1375.205
2015-02-27,1461.89
2015-03-31,1454.155
2015-04-30,1474.232
2015-05-29,1488.185
2015-06-30,1461.761
2015-07-31,1466.105
2015-08-31,1384.924
2015-09-30,1329.107
2015-10-30,1412.018
2015-11-30,1418.298
2015-12-31,1381.441
2016-01-29,1277.435
2016-02-29,1290.162
2016-03-31,1401.746
2016-04-29,1428.332
2016-05-31,1441.975
2016-06-30,1413.309
2016-07-29,1489.655
2016-08-31,1493.646
2016-09-30,1506.825
2016-10-31,1449.787
2016-11-30,1507.488
2016-12-30,1535.484
2017-01-31,1577.821
2017-02-28,1612.079
2017-03-31,1628.698
2017-04-28,1661.994
2017-05-31,1680.407
2017-06-30,1699.164
2017-07-31,1738.404
2017-08-31,1735.705
2017-09-29,1793.782
2017-10-31,1816.888
2017-11-30,1856.275
2017-12-29,1886.1
2018-01-31,1963.077
2018-02-28,1876.561
2018-03-30,1871.589
2018-04-30,1890.804
2018-05-31,1927.808
2018-06-29,1927.854
2018-07-31,1966.391
2018-08-31,2002.156
2018-09-28,1977.893
2018-10-31,1789.031
2018-11-30,1795.796
2018-12-31,1643.177
2019-01-31,1814.366
2019-02-28,1886.435
2019-03-29,1886.137
2019-04-30,1954.083
2019-05-31,1834.253
2019-06-28,1955.515
2019-07-31,1962.995
2019-08-30,1900.864
2019-09-30,1939.282
