Date,KOKUSAI INDEX (WORLD ex JP) SMID CAP SMID (Small+Mid Cap)
2001-01-01,433.971
2001-01-02,422.865
2001-01-03,430.71
2001-01-04,428.842
2001-01-05,422.221
2001-01-08,419.532
2001-01-09,419.113
2001-01-10,424.584
2001-01-11,431.38
2001-01-12,433.389
2001-01-15,432.634
2001-01-16,433.521
2001-01-17,436.236
2001-01-18,439.235
2001-01-19,437.217
2001-01-22,437.858
2001-01-23,444.054
2001-01-24,443.309
2001-01-25,441.767
2001-01-26,441.856
2001-01-29,446.5
2001-01-30,449.442
2001-01-31,449.814
2001-02-01,451.224
2001-02-02,445.237
2001-02-05,444.864
2001-02-06,446.546
2001-02-07,444.459
2001-02-08,441.349
2001-02-09,438.496
2001-02-12,441.513
2001-02-13,439.049
2001-02-14,438.166
2001-02-15,439.663
2001-02-16,435.455
2001-02-19,435.556
2001-02-20,429.094
2001-02-21,424.187
2001-02-22,420.323
2001-02-23,419.27
2001-02-26,426.083
2001-02-27,423.414
2001-02-28,419.863
2001-03-01,418.826
2001-03-02,421.036
2001-03-05,420.87
2001-03-06,425.86
2001-03-07,427.432
2001-03-08,426.354
2001-03-09,420.375
2001-03-12,408.469
2001-03-13,405.867
2001-03-14,397.831
2001-03-15,396.921
2001-03-16,388.898
2001-03-19,392.808
2001-03-20,390.468
2001-03-21,382.3
2001-03-22,373.826
2001-03-23,382.283
2001-03-26,387.947
2001-03-27,392.014
2001-03-28,385.099
2001-03-29,383.234
2001-03-30,387.288
2001-04-02,381.704
2001-04-03,371.425
2001-04-04,372.116
2001-04-05,383.268
2001-04-06,379.45
2001-04-09,382.97
2001-04-10,390.026
2001-04-11,389.703
2001-04-12,395.248
2001-04-13,395.24
2001-04-16,392.577
2001-04-17,394.128
2001-04-18,403.544
2001-04-19,409.842
2001-04-20,409.293
2001-04-23,403.821
2001-04-24,402.761
2001-04-25,407.739
2001-04-26,411.565
2001-04-27,414.557
2001-04-30,417.636
2001-05-01,420.452
2001-05-02,422.422
2001-05-03,417.839
2001-05-04,421.396
2001-05-07,420.253
2001-05-08,420.351
2001-05-09,419.077
2001-05-10,420.213
2001-05-11,417.826
2001-05-14,416.266
2001-05-15,418.688
2001-05-16,425.322
2001-05-17,430.555
2001-05-18,431.386
2001-05-21,437.921
2001-05-22,438.227
2001-05-23,431.977
2001-05-24,432.327
2001-05-25,431.46
2001-05-28,431.928
2001-05-29,426.964
2001-05-30,420.895
2001-05-31,422.462
2001-06-01,424.762
2001-06-04,426.546
2001-06-05,431.653
2001-06-06,428.985
2001-06-07,430.828
2001-06-08,428.512
2001-06-11,423.211
2001-06-12,422.149
2001-06-13,421.542
2001-06-14,414.797
2001-06-15,413.778
2001-06-18,410.226
2001-06-19,409.192
2001-06-20,409.851
2001-06-21,411.547
2001-06-22,408.826
2001-06-25,408.495
2001-06-26,408.899
2001-06-27,410.048
2001-06-28,411.989
2001-06-29,418.387
