Date,SWITZERLAND SMALL VALUE Small Cap
1994-05-31,167.016
1994-06-30,168.859
1994-07-29,170.978
1994-08-31,174.389
1994-09-30,174.586
1994-10-31,179.466
1994-11-30,170.828
1994-12-30,172.733
1995-01-31,174.45
1995-02-28,179.07
1995-03-31,188.601
1995-04-28,190.855
1995-05-31,195.23
1995-06-30,201.831
1995-07-31,202.672
1995-08-31,190.305
1995-09-29,201.43
1995-10-31,199.573
1995-11-30,189.146
1995-12-29,194.506
1996-01-31,190.755
1996-02-29,196.741
1996-03-29,204.068
1996-04-30,199.447
1996-05-31,196.575
1996-06-28,195.283
1996-07-31,191.29
1996-08-30,196.93
1996-09-30,188.669
1996-10-31,187.545
1996-11-29,186.379
1996-12-31,180.168
1997-01-31,183.504
1997-02-28,183.701
1997-03-31,190.143
1997-04-30,191.498
1997-05-30,206.789
1997-06-30,214.363
1997-07-31,214.726
1997-08-29,216.004
1997-09-30,226.212
1997-10-31,224.889
1997-11-28,224.739
1997-12-31,224.568
1998-01-30,232.21
1998-02-27,254.507
1998-03-31,279.795
1998-04-30,292.022
1998-05-29,315.549
1998-06-30,303.553
1998-07-31,310.547
1998-08-31,272.956
1998-09-30,248.628
1998-10-30,266.801
1998-11-30,271.519
1998-12-31,277.015
1999-01-29,261.847
1999-02-26,258.097
1999-03-31,259.337
1999-04-30,269.231
1999-05-31,274.839
1999-06-30,271.204
1999-07-30,280.306
1999-08-31,281.989
1999-09-30,289.945
1999-10-29,287.972
1999-11-30,287.467
1999-12-31,299.509
2000-01-31,309.597
2000-02-29,328.034
2000-03-31,332.39
2000-04-28,311.181
2000-05-31,316.961
2000-06-30,334.962
2000-07-31,332.477
2000-08-31,328.739
2000-09-29,334.407
2000-10-31,317.754
2000-11-30,320.01
2000-12-29,346.852
2001-01-31,348.696
2001-02-28,337.174
2001-03-30,312.085
2001-04-30,310.512
2001-05-31,302.183
2001-06-29,293.605
2001-07-31,287.984
2001-08-31,286.446
2001-09-28,246.028
2001-10-31,246.761
2001-11-30,257.578
2001-12-31,256.581
2002-01-31,248.009
2002-02-28,249.159
2002-03-29,267.327
2002-04-30,280.645
2002-05-31,300.508
2002-06-28,302.139
2002-07-31,267.202
2002-08-30,262.578
2002-09-30,246.413
2002-10-31,242.697
2002-11-29,249.569
2002-12-31,261.546
2003-01-31,251.934
2003-02-28,248.205
2003-03-31,248.754
2003-04-30,277.285
2003-05-30,307.99
2003-06-30,308.345
2003-07-31,321.757
2003-08-29,335.223
2003-09-30,356.465
2003-10-31,378.595
2003-11-28,394.681
2003-12-31,420.871
2004-01-30,441.463
2004-02-27,448.184
2004-03-31,439.277
2004-04-30,430.631
2004-05-31,439.881
2004-06-30,450.679
2004-07-30,413.561
2004-08-31,408.214
2004-09-30,416.062
2004-10-29,433.556
2004-11-30,479.669
2004-12-31,493.811
2005-01-31,511.06
2005-02-28,544.499
2005-03-31,536.13
2005-04-29,517.032
2005-05-31,500.579
2005-06-30,497.176
2005-07-29,525.687
2005-08-31,539.698
2005-09-30,561.312
2005-10-31,536.677
2005-11-30,544.728
2005-12-30,571.998
2006-01-31,618.136
2006-02-28,636.775
2006-03-31,669.218
2006-04-28,722.942
2006-05-31,693.736
2006-06-30,687.151
2006-07-31,695.279
2006-08-31,714.291
2006-09-29,744.187
2006-10-31,776.488
2006-11-30,815.013
2006-12-29,846.01
2007-01-31,918.432
2007-02-28,906.327
2007-03-30,957.056
2007-04-30,1000.626
2007-05-31,1000.0
2007-06-29,978.013
2007-07-31,966.346
2007-08-31,924.995
2007-09-28,959.207
2007-10-31,1000.727
2007-11-30,947.362
2007-12-31,953.026
2008-01-31,887.875
2008-02-29,947.31
2008-03-31,983.508
2008-04-30,1002.53
2008-05-30,1013.029
2008-06-30,967.365
2008-07-31,935.216
2008-08-29,882.516
2008-09-30,840.478
2008-10-31,653.416
2008-11-28,604.215
2008-12-31,680.225
2009-01-30,598.454
2009-02-27,518.038
2009-03-31,551.911
2009-04-30,645.316
2009-05-29,731.339
2009-06-30,704.681
2009-07-31,763.322
2009-08-31,860.684
2009-09-30,911.42
2009-10-30,878.411
2009-11-30,873.175
2009-12-31,869.012
2010-01-29,881.738
2010-02-26,880.977
2010-03-31,971.446
2010-04-30,939.889
2010-05-31,838.57
2010-06-30,884.379
2010-07-30,954.609
2010-08-31,958.427
2010-09-30,1036.874
2010-10-29,1064.557
2010-11-30,1043.931
2010-12-31,1196.447
2011-01-31,1199.119
2011-02-28,1203.392
2011-03-31,1227.482
2011-04-29,1323.815
2011-05-31,1338.464
2011-06-30,1255.206
2011-07-29,1229.734
2011-08-31,1087.641
2011-09-30,905.67
2011-10-31,1002.565
2011-11-30,887.158
2011-12-30,858.607
2012-01-31,935.516
2012-02-29,1002.185
2012-03-30,1008.66
2012-04-30,1017.861
2012-05-31,886.889
2012-06-29,902.649
2012-07-31,884.181
2012-08-31,904.457
2012-09-28,950.115
2012-10-31,957.009
2012-11-30,973.24
2012-12-31,1020.929
2013-01-31,1084.795
2013-02-28,1103.886
2013-03-29,1080.392
2013-04-30,1121.581
2013-05-31,1113.008
2013-06-28,1083.201
2013-07-31,1169.351
2013-08-30,1202.988
2013-09-30,1259.48
2013-10-31,1317.939
2013-11-29,1323.057
2013-12-31,1369.044
2014-01-31,1373.748
2014-02-28,1462.19
2014-03-31,1451.181
2014-04-30,1470.416
2014-05-30,1458.56
2014-06-30,1443.389
2014-07-31,1391.961
2014-08-29,1399.803
2014-09-30,1303.588
2014-10-31,1309.89
2014-11-28,1351.668
2014-12-31,1324.772
2015-01-30,1347.78
2015-02-27,1434.121
2015-03-31,1438.781
2015-04-30,1534.979
2015-05-29,1506.491
2015-06-30,1463.007
2015-07-31,1481.445
2015-08-31,1400.871
2015-09-30,1332.633
2015-10-30,1401.999
2015-11-30,1374.612
2015-12-31,1433.323
2016-01-29,1338.751
2016-02-29,1391.599
2016-03-31,1517.005
2016-04-29,1529.495
2016-05-31,1507.52
2016-06-30,1478.07
2016-07-29,1564.359
2016-08-31,1559.81
2016-09-30,1595.02
2016-10-31,1554.859
2016-11-30,1530.672
2016-12-30,1587.98
2017-01-31,1690.265
2017-02-28,1705.585
2017-03-31,1747.689
2017-04-28,1855.589
2017-05-31,1955.984
2017-06-30,1973.566
2017-07-31,2010.474
2017-08-31,1987.987
2017-09-29,2017.785
2017-10-31,2019.336
2017-11-30,2081.277
2017-12-29,2170.269
2018-01-31,2288.364
2018-02-28,2198.209
2018-03-30,2117.403
2018-04-30,2091.41
2018-05-31,2041.235
2018-06-29,2014.427
2018-07-31,1999.642
2018-08-31,2015.703
2018-09-28,1953.936
2018-10-31,1815.881
2018-11-30,1778.433
2018-12-31,1676.168
2019-01-31,1799.52
2019-02-28,1812.459
2019-03-29,1815.779
2019-04-30,1883.237
2019-05-31,1838.935
2019-06-28,1945.53
2019-07-31,1873.654
2019-08-30,1905.54
2019-09-30,1938.585
2019-10-31,1967.429
2019-11-29,1995.973
2019-12-31,2119.9
2020-01-31,2136.295
2020-02-28,1997.426
2020-03-31,1677.795
2020-04-30,1788.459
2020-05-29,1872.373
2020-06-30,1918.635
2020-07-31,1963.537
2020-08-31,2092.33
2020-09-30,2043.871
2020-10-30,1955.602
2020-11-30,2257.538
2020-12-31,2386.154
2021-01-29,2417.373
2021-02-26,2390.338
2021-03-31,2418.932
2021-04-30,2482.643
2021-05-31,2601.877
2021-06-30,2563.966
2021-07-30,2672.13
2021-08-31,2676.43
2021-09-30,2515.962
2021-10-29,2560.767
2021-11-30,2451.382
2021-12-31,2558.297
2022-01-31,2487.51
2022-02-28,2453.467
2022-03-31,2455.23
2022-04-29,2317.617
2022-05-31,2266.532
2022-06-30,2089.614
2022-07-29,2233.173
2022-08-31,2155.457
2022-09-30,1956.294
2022-10-31,2033.803
2022-11-30,2200.766
2022-12-30,2263.9
2023-01-31,2441.133
2023-02-28,2379.576
2023-03-31,2382.316
2023-04-28,2466.1
2023-05-31,2334.92
2023-06-30,2444.196
2023-07-31,2598.632
2023-08-31,2472.528
2023-09-29,2286.471
2023-10-31,2223.919
2023-11-30,2396.982
2023-12-29,2523.013
2024-01-31,2471.74
2024-02-29,2457.775
2024-03-29,2473.152
2024-04-30,2351.325
2024-05-31,2468.302
2024-06-28,2424.829
2024-07-31,2515.075
2024-08-30,2597.726
2024-09-30,2627.157
2024-10-31,2417.86
2024-11-29,2401.145
2024-12-31,2302.681
2025-01-31,2461.428
2025-02-28,2495.483
2025-03-31,2540.972
2025-04-30,2748.46
2025-05-30,2865.605
2025-06-30,3004.099
2025-07-31,2958.795
2025-08-29,3002.944
2025-09-30,2954.185
2025-10-31,2936.761
2025-11-28,2948.134
2025-12-31,3098.826
