Date,SWITZERLAND SMALL VALUE Small Cap
1994-05-31,155.904
1994-06-30,158.135
1994-07-29,160.202
1994-08-31,163.397
1994-09-30,163.581
1994-10-31,168.191
1994-11-30,160.096
1994-12-30,161.882
1995-01-31,163.603
1995-02-28,167.936
1995-03-31,176.907
1995-04-28,179.144
1995-05-31,183.642
1995-06-30,190.442
1995-07-31,191.26
1995-08-31,179.589
1995-09-29,190.094
1995-10-31,188.342
1995-11-30,178.502
1995-12-29,183.561
1996-01-31,180.045
1996-02-29,185.725
1996-03-29,192.664
1996-04-30,188.436
1996-05-31,186.093
1996-06-28,185.548
1996-07-31,181.777
1996-08-30,187.136
1996-09-30,179.294
1996-10-31,178.228
1996-11-29,177.12
1996-12-31,171.217
1997-01-31,174.42
1997-02-28,174.66
1997-03-31,180.785
1997-04-30,182.244
1997-05-30,197.282
1997-06-30,205.036
1997-07-31,205.406
1997-08-29,206.629
1997-09-30,216.423
1997-10-31,215.167
1997-11-28,215.023
1997-12-31,214.86
1998-01-30,222.25
1998-02-27,243.592
1998-03-31,267.808
1998-04-30,279.646
1998-05-29,302.783
1998-06-30,291.839
1998-07-31,298.619
1998-08-31,262.474
1998-09-30,239.089
1998-10-30,256.565
1998-11-30,261.102
1998-12-31,266.387
1999-01-29,251.801
1999-02-26,248.194
1999-03-31,249.423
1999-04-30,259.135
1999-05-31,264.579
1999-06-30,261.234
1999-07-30,270.003
1999-08-31,271.63
1999-09-30,279.292
1999-10-29,277.393
1999-11-30,276.906
1999-12-31,288.506
2000-01-31,298.223
2000-02-29,315.993
2000-03-31,320.189
2000-04-28,299.828
2000-05-31,305.581
2000-06-30,323.12
2000-07-31,320.758
2000-08-31,317.152
2000-09-29,322.62
2000-10-31,306.554
2000-11-30,308.731
2000-12-29,334.626
2001-01-31,336.405
2001-02-28,325.29
2001-03-30,301.189
2001-04-30,300.039
2001-05-31,292.948
2001-06-29,285.04
2001-07-31,279.583
2001-08-31,278.089
2001-09-28,238.851
