Date,SWITZERLAND SMALL VALUE Small Cap
2001-01-01,334.626
2001-01-02,337.29
2001-01-03,337.25
2001-01-04,337.276
2001-01-05,338.883
2001-01-08,336.784
2001-01-09,335.314
2001-01-10,333.963
2001-01-11,333.352
2001-01-12,334.163
2001-01-15,333.341
2001-01-16,333.928
2001-01-17,333.438
2001-01-18,340.284
2001-01-19,336.485
2001-01-22,335.189
2001-01-23,336.504
2001-01-24,331.354
2001-01-25,333.515
2001-01-26,333.633
2001-01-29,333.36
2001-01-30,335.132
2001-01-31,336.405
2001-02-01,338.428
2001-02-02,333.439
2001-02-05,336.75
2001-02-06,333.709
2001-02-07,334.377
2001-02-08,330.762
2001-02-09,331.837
2001-02-12,334.102
2001-02-13,330.624
2001-02-14,329.693
2001-02-15,325.834
2001-02-16,328.562
2001-02-19,329.354
2001-02-20,326.466
2001-02-21,326.532
2001-02-22,323.598
2001-02-23,323.369
2001-02-26,323.679
2001-02-27,326.352
2001-02-28,325.29
2001-03-01,326.106
2001-03-02,328.33
2001-03-05,326.976
2001-03-06,328.378
2001-03-07,326.971
2001-03-08,328.294
2001-03-09,326.341
2001-03-12,323.93
2001-03-13,320.058
2001-03-14,314.515
2001-03-15,313.004
2001-03-16,308.58
2001-03-19,306.639
2001-03-20,308.947
2001-03-21,303.789
2001-03-22,293.66
2001-03-23,299.995
2001-03-26,301.527
2001-03-27,304.598
2001-03-28,301.188
2001-03-29,298.628
2001-03-30,301.189
2001-04-02,299.867
2001-04-03,299.702
2001-04-04,302.678
2001-04-05,303.531
2001-04-06,304.861
2001-04-09,304.71
2001-04-10,303.653
2001-04-11,302.631
2001-04-12,304.75
2001-04-13,304.75
2001-04-16,301.65
2001-04-17,300.099
2001-04-18,295.718
2001-04-19,300.94
2001-04-20,305.553
2001-04-23,304.373
2001-04-24,302.382
2001-04-25,301.842
2001-04-26,302.47
2001-04-27,300.359
2001-04-30,300.039
2001-05-01,300.932
2001-05-02,300.185
2001-05-03,302.016
2001-05-04,300.63
2001-05-07,298.654
2001-05-08,298.536
2001-05-09,297.109
2001-05-10,297.679
2001-05-11,297.265
2001-05-14,295.529
2001-05-15,297.912
2001-05-16,300.323
2001-05-17,300.76
2001-05-18,299.704
2001-05-21,300.031
2001-05-22,298.104
2001-05-23,297.264
2001-05-24,296.529
2001-05-25,295.483
2001-05-28,295.173
2001-05-29,294.381
