Date,SWITZERLAND SMALL VALUE Small Cap
2001-01-01,346.852
2001-01-02,349.613
2001-01-03,349.571
2001-01-04,349.598
2001-01-05,351.264
2001-01-08,349.088
2001-01-09,347.564
2001-01-10,346.165
2001-01-11,345.531
2001-01-12,346.372
2001-01-15,345.519
2001-01-16,346.127
2001-01-17,345.619
2001-01-18,352.716
2001-01-19,348.778
2001-01-22,347.435
2001-01-23,348.798
2001-01-24,343.46
2001-01-25,345.7
2001-01-26,345.822
2001-01-29,345.539
2001-01-30,347.376
2001-01-31,348.696
2001-02-01,350.793
2001-02-02,345.621
2001-02-05,349.053
2001-02-06,345.901
2001-02-07,346.593
2001-02-08,342.846
2001-02-09,343.961
2001-02-12,346.308
2001-02-13,342.703
2001-02-14,341.738
2001-02-15,337.738
2001-02-16,340.565
2001-02-19,341.386
2001-02-20,338.393
2001-02-21,338.462
2001-02-22,335.421
2001-02-23,335.183
2001-02-26,335.505
2001-02-27,338.275
2001-02-28,337.174
2001-03-01,338.02
2001-03-02,340.326
2001-03-05,338.921
2001-03-06,340.375
2001-03-07,338.917
2001-03-08,340.288
2001-03-09,338.263
2001-03-12,335.764
2001-03-13,331.751
2001-03-14,326.006
2001-03-15,324.439
2001-03-16,319.854
2001-03-19,317.842
2001-03-20,320.124
2001-03-21,314.78
2001-03-22,304.284
2001-03-23,310.849
2001-03-26,312.435
2001-03-27,315.618
2001-03-28,312.084
2001-03-29,309.432
2001-03-30,312.085
2001-04-02,310.715
2001-04-03,310.545
2001-04-04,313.612
2001-04-05,314.495
2001-04-06,315.873
2001-04-09,315.717
2001-04-10,314.622
2001-04-11,313.564
2001-04-12,315.758
2001-04-13,315.758
2001-04-16,312.547
2001-04-17,310.939
2001-04-18,306.4
2001-04-19,311.811
2001-04-20,316.59
2001-04-23,315.368
2001-04-24,313.305
2001-04-25,312.746
2001-04-26,313.397
2001-04-27,310.843
2001-04-30,310.512
2001-05-01,311.437
2001-05-02,310.663
2001-05-03,312.559
2001-05-04,311.124
2001-05-07,309.079
2001-05-08,308.88
2001-05-09,307.455
2001-05-10,308.002
2001-05-11,307.574
2001-05-14,305.767
2001-05-15,308.119
2001-05-16,310.196
2001-05-17,310.648
2001-05-18,309.372
2001-05-21,309.709
2001-05-22,307.71
2001-05-23,306.736
2001-05-24,305.977
2001-05-25,304.837
2001-05-28,304.478
2001-05-29,303.661
2001-05-30,304.515
2001-05-31,302.183
2001-06-01,302.675
2001-06-04,303.368
2001-06-05,304.82
2001-06-06,302.535
2001-06-07,304.528
2001-06-08,302.747
2001-06-11,300.976
2001-06-12,300.966
2001-06-13,300.989
2001-06-14,300.972
2001-06-15,300.951
2001-06-18,299.812
2001-06-19,296.943
2001-06-20,293.043
2001-06-21,294.855
2001-06-22,295.143
2001-06-25,297.029
2001-06-26,295.335
2001-06-27,295.545
2001-06-28,292.28
2001-06-29,293.605
2001-07-02,291.746
2001-07-03,289.46
2001-07-04,290.115
2001-07-05,286.533
2001-07-06,287.151
2001-07-09,287.83
2001-07-10,290.85
2001-07-11,291.687
2001-07-12,288.572
2001-07-13,284.272
2001-07-16,285.542
2001-07-17,283.317
2001-07-18,291.408
2001-07-19,291.822
2001-07-20,291.604
2001-07-23,289.024
2001-07-24,289.856
2001-07-25,289.613
2001-07-26,287.109
2001-07-27,285.407
2001-07-30,285.95
2001-07-31,287.984
2001-08-01,291.51
2001-08-02,292.36
2001-08-03,292.574
2001-08-06,289.4
2001-08-07,288.286
2001-08-08,287.87
2001-08-09,290.196
2001-08-10,290.493
2001-08-13,291.499
2001-08-14,290.627
2001-08-15,295.087
2001-08-16,294.534
2001-08-17,295.731
2001-08-20,294.057
2001-08-21,293.195
2001-08-22,293.623
2001-08-23,291.094
2001-08-24,290.87
2001-08-27,289.481
2001-08-28,286.407
2001-08-29,286.617
2001-08-30,288.145
2001-08-31,286.446
2001-09-03,282.932
2001-09-04,277.704
2001-09-05,275.685
2001-09-06,274.358
2001-09-07,276.592
2001-09-10,273.179
2001-09-11,267.589
2001-09-12,267.619
2001-09-13,266.578
2001-09-14,268.336
2001-09-17,266.545
2001-09-18,266.744
2001-09-19,268.101
2001-09-20,259.859
2001-09-21,254.637
2001-09-24,252.363
2001-09-25,252.667
2001-09-26,250.382
2001-09-27,246.502
2001-09-28,246.028
2001-10-01,248.675
2001-10-02,245.729
2001-10-03,241.57
2001-10-04,239.265
2001-10-05,243.844
2001-10-08,241.229
2001-10-09,239.035
2001-10-10,236.097
2001-10-11,238.401
2001-10-12,240.054
2001-10-15,241.613
2001-10-16,243.575
2001-10-17,246.193
2001-10-18,245.53
2001-10-19,244.094
2001-10-22,241.786
2001-10-23,243.138
2001-10-24,244.368
2001-10-25,246.197
2001-10-26,247.392
2001-10-29,248.353
2001-10-30,248.328
2001-10-31,246.761
2001-11-01,247.961
2001-11-02,246.207
2001-11-05,244.408
2001-11-06,244.918
2001-11-07,245.221
2001-11-08,243.938
2001-11-09,245.127
2001-11-12,247.31
2001-11-13,244.474
2001-11-14,247.38
2001-11-15,251.956
2001-11-16,254.81
2001-11-19,257.917
2001-11-20,260.866
2001-11-21,257.699
2001-11-22,257.514
2001-11-23,254.843
2001-11-26,255.865
2001-11-27,256.33
2001-11-28,257.417
2001-11-29,255.341
2001-11-30,257.578
2001-12-03,254.623
2001-12-04,255.415
2001-12-05,254.472
2001-12-06,255.637
2001-12-07,258.224
2001-12-10,256.056
2001-12-11,255.176
2001-12-12,258.115
2001-12-13,255.005
2001-12-14,257.304
2001-12-17,257.994
2001-12-18,255.994
2001-12-19,252.403
2001-12-20,251.657
2001-12-21,252.504
2001-12-24,247.083
2001-12-25,247.083
