Date,FRANCE MID CAP Mid Cap
1994-05-31,180.043
1994-06-30,175.085
1994-07-29,186.88
1994-08-31,189.22
1994-09-30,181.415
1994-10-31,183.578
1994-11-30,177.923
1994-12-30,176.195
1995-01-31,172.809
1995-02-28,178.042
1995-03-31,194.344
1995-04-28,193.848
1995-05-31,198.928
1995-06-30,200.892
1995-07-31,206.612
1995-08-31,193.921
1995-09-29,197.339
1995-10-31,196.22
1995-11-30,189.542
1995-12-29,192.191
1996-01-31,203.521
1996-02-29,217.434
1996-03-29,223.484
1996-04-30,224.464
1996-05-31,227.277
1996-06-28,233.819
1996-07-31,231.783
1996-08-30,227.425
1996-09-30,225.21
1996-10-31,229.196
1996-11-29,233.349
1996-12-31,238.603
1997-01-31,240.671
1997-02-28,240.623
1997-03-31,244.214
1997-04-30,232.508
1997-05-30,231.596
1997-06-30,242.047
1997-07-31,241.389
1997-08-29,233.607
1997-09-30,242.948
1997-10-31,236.2
1997-11-28,236.789
1997-12-31,242.754
1998-01-30,248.834
1998-02-27,272.708
1998-03-31,296.204
1998-04-30,310.91
1998-05-29,332.139
1998-06-30,333.01
1998-07-31,332.034
1998-08-31,304.309
1998-09-30,286.279
1998-10-30,305.259
1998-11-30,313.312
1998-12-31,326.703
1999-01-29,326.561
1999-02-26,306.03
1999-03-31,306.316
1999-04-30,321.393
1999-05-31,324.294
1999-06-30,332.156
1999-07-30,335.282
1999-08-31,349.264
1999-09-30,351.772
1999-10-29,355.385
1999-11-30,370.033
1999-12-31,436.119
2000-01-31,425.045
2000-02-29,472.375
2000-03-31,464.741
2000-04-28,426.761
2000-05-31,422.236
2000-06-30,440.967
2000-07-31,437.098
2000-08-31,443.68
2000-09-29,399.215
2000-10-31,380.173
2000-11-30,376.776
2000-12-29,419.228
2001-01-31,422.716
2001-02-28,407.95
2001-03-30,364.5
2001-04-30,382.967
2001-05-31,365.555
2001-06-29,342.645
2001-07-31,354.389
2001-08-31,354.716
2001-09-28,290.343
2001-10-31,316.419
2001-11-30,331.933
2001-12-31,339.611
2002-01-31,332.391
2002-02-28,338.016
2002-03-29,363.161
2002-04-30,362.856
2002-05-31,364.77
2002-06-28,349.203
2002-07-31,309.642
2002-08-30,300.48
2002-09-30,258.598
2002-10-31,289.461
2002-11-29,315.014
2002-12-31,290.374
2003-01-31,282.997
2003-02-28,269.488
2003-03-31,254.439
2003-04-30,299.054
2003-05-30,325.062
2003-06-30,331.757
2003-07-31,345.527
2003-08-29,349.977
2003-09-30,352.191
2003-10-31,378.872
2003-11-28,399.785
2003-12-31,422.118
2004-01-30,432.701
2004-02-27,442.473
2004-03-31,428.046
2004-04-30,424.811
2004-05-31,433.867
2004-06-30,450.248
2004-07-30,434.598
2004-08-31,432.93
2004-09-30,443.137
2004-10-29,462.047
2004-11-30,502.107
2004-12-31,531.83
2005-01-31,525.655
2005-02-28,550.613
2005-03-31,538.649
2005-04-29,518.499
2005-05-31,527.565
2005-06-30,535.485
2005-07-29,557.979
2005-08-31,568.097
2005-09-30,576.168
2005-10-31,548.338
2005-11-30,565.856
2005-12-30,590.992
2006-01-31,646.305
2006-02-28,649.526
2006-03-31,685.857
2006-04-28,720.317
2006-05-31,690.106
2006-06-30,694.506
2006-07-31,676.849
2006-08-31,713.641
2006-09-29,732.617
2006-10-31,767.633
2006-11-30,821.244
2006-12-29,861.044
2007-01-31,860.417
2007-02-28,884.244
2007-03-30,945.065
2007-04-30,985.425
2007-05-31,1000.0
2007-06-29,988.697
2007-07-31,956.77
2007-08-31,939.855
2007-09-28,964.712
2007-10-31,991.587
2007-11-30,941.968
2007-12-31,915.061
2008-01-31,819.549
2008-02-29,868.384
2008-03-31,883.93
2008-04-30,910.035
2008-05-30,924.233
2008-06-30,823.462
2008-07-31,794.445
2008-08-29,806.153
2008-09-30,680.62
2008-10-31,510.805
2008-11-28,487.289
2008-12-31,540.459
2009-01-30,489.571
2009-02-27,440.491
2009-03-31,461.854
2009-04-30,535.621
2009-05-29,593.147
2009-06-30,582.193
2009-07-31,646.718
2009-08-31,702.586
2009-09-30,763.782
2009-10-30,723.983
2009-11-30,728.615
2009-12-31,749.309
2010-01-29,728.964
2010-02-26,729.541
2010-03-31,779.446
2010-04-30,770.484
2010-05-31,679.218
2010-06-30,671.866
2010-07-30,737.288
2010-08-31,689.09
2010-09-30,791.301
2010-10-29,833.699
2010-11-30,763.942
2010-12-31,840.969
2011-01-31,877.159
2011-02-28,929.449
2011-03-31,953.453
2011-04-29,1019.512
2011-05-31,992.359
2011-06-30,994.582
2011-07-29,910.385
2011-08-31,821.904
2011-09-30,683.367
2011-10-31,750.906
2011-11-30,699.08
2011-12-30,673.916
2012-01-31,719.716
2012-02-29,789.239
2012-03-30,803.507
2012-04-30,758.116
2012-05-31,655.272
2012-06-29,709.153
2012-07-31,700.751
2012-08-31,727.04
2012-09-28,763.215
2012-10-31,762.352
2012-11-30,799.446
2012-12-31,817.04
2013-01-31,865.128
2013-02-28,866.35
2013-03-29,847.655
2013-04-30,871.819
2013-05-31,890.491
2013-06-28,854.929
2013-07-31,930.266
2013-08-30,917.079
2013-09-30,980.514
2013-10-31,1001.317
2013-11-29,998.081
2013-12-31,1019.021
2014-01-31,974.847
2014-02-28,1070.159
2014-03-31,1084.919
2014-04-30,1095.174
2014-05-30,1107.197
2014-06-30,1083.179
2014-07-31,1022.551
2014-08-29,1002.72
2014-09-30,940.787
2014-10-31,914.828
2014-11-28,962.699
2014-12-31,939.486
2015-01-30,964.916
2015-02-27,1013.173
2015-03-31,988.54
2015-04-30,1047.596
2015-05-29,1043.692
2015-06-30,1005.415
2015-07-31,1020.265
2015-08-31,957.485
2015-09-30,929.004
2015-10-30,990.207
2015-11-30,984.787
2015-12-31,974.507
2016-01-29,929.391
2016-02-29,901.94
2016-03-31,1000.629
2016-04-29,1022.826
2016-05-31,992.643
2016-06-30,926.529
2016-07-29,1006.987
2016-08-31,1006.052
2016-09-30,1036.956
2016-10-31,1007.096
2016-11-30,978.064
2016-12-30,1021.293
2017-01-31,1044.529
2017-02-28,1058.193
2017-03-31,1128.82
2017-04-28,1190.952
2017-05-31,1265.057
2017-06-30,1244.361
2017-07-31,1282.714
2017-08-31,1298.362
2017-09-29,1358.178
2017-10-31,1357.986
2017-11-30,1365.28
2017-12-29,1374.889
2018-01-31,1466.444
2018-02-28,1375.8
2018-03-30,1355.11
2018-04-30,1384.796
2018-05-31,1349.657
2018-06-29,1335.031
2018-07-31,1368.463
2018-08-31,1341.808
2018-09-28,1328.882
2018-10-31,1193.8
2018-11-30,1158.022
2018-12-31,1086.004
2019-01-31,1165.399
2019-02-28,1214.598
2019-03-29,1194.938
2019-04-30,1270.495
2019-05-31,1184.061
2019-06-28,1282.198
2019-07-31,1278.759
2019-08-30,1245.274
2019-09-30,1264.081
2019-10-31,1324.124
2019-11-29,1339.237
2019-12-31,1374.461
2020-01-31,1362.982
2020-02-28,1267.653
2020-03-31,999.422
2020-04-30,1090.812
2020-05-29,1134.191
2020-06-30,1210.301
2020-07-31,1257.614
2020-08-31,1333.961
2020-09-30,1265.379
2020-10-30,1194.565
2020-11-30,1471.558
2020-12-31,1535.014
2021-01-29,1518.615
2021-02-26,1541.496
2021-03-31,1558.157
2021-04-30,1641.792
2021-05-31,1689.543
2021-06-30,1660.893
2021-07-30,1678.598
2021-08-31,1725.292
2021-09-30,1630.485
2021-10-29,1673.437
2021-11-30,1589.293
2021-12-31,1687.143
2022-01-31,1582.997
2022-02-28,1548.123
2022-03-31,1525.199
2022-04-29,1438.129
2022-05-31,1440.927
2022-06-30,1264.934
2022-07-29,1349.208
2022-08-31,1251.33
2022-09-30,1102.125
2022-10-31,1224.113
2022-11-30,1315.214
2022-12-30,1315.726
2023-01-31,1457.051
2023-02-28,1471.512
2023-03-31,1452.639
2023-04-28,1497.351
2023-05-31,1381.502
2023-06-30,1462.163
2023-07-31,1500.621
2023-08-31,1432.563
2023-09-29,1345.16
2023-10-31,1239.388
2023-11-30,1367.842
2023-12-29,1458.579
2024-01-31,1459.05
2024-02-29,1438.259
2024-03-29,1499.938
2024-04-30,1464.801
2024-05-31,1546.663
2024-06-28,1399.839
2024-07-31,1469.907
2024-08-30,1520.787
2024-09-30,1533.242
2024-10-31,1463.513
2024-11-29,1421.788
2024-12-31,1402.81
2025-01-31,1448.499
2025-02-28,1444.679
2025-03-31,1460.971
