Date,SPAIN LARGE CAP Large Cap
2001-01-01,416.914
2001-01-02,418.26
2001-01-03,422.696
2001-01-04,441.166
2001-01-05,444.396
2001-01-08,444.341
2001-01-09,436.769
2001-01-10,437.76
2001-01-11,446.599
2001-01-12,454.747
2001-01-15,451.296
2001-01-16,442.639
2001-01-17,451.747
2001-01-18,460.679
2001-01-19,451.832
2001-01-22,454.835
2001-01-23,458.511
2001-01-24,452.628
2001-01-25,449.614
2001-01-26,447.932
2001-01-29,439.819
2001-01-30,445.47
2001-01-31,451.51
2001-02-01,455.558
2001-02-02,440.78
2001-02-05,443.855
2001-02-06,444.417
2001-02-07,441.565
2001-02-08,439.894
2001-02-09,437.328
2001-02-12,446.035
2001-02-13,439.296
2001-02-14,422.678
2001-02-15,420.531
2001-02-16,422.321
2001-02-19,427.543
2001-02-20,412.856
2001-02-21,408.911
2001-02-22,399.602
2001-02-23,395.857
2001-02-26,404.305
2001-02-27,411.818
2001-02-28,411.265
2001-03-01,414.438
2001-03-02,421.933
2001-03-05,424.173
2001-03-06,434.893
2001-03-07,434.049
2001-03-08,430.511
2001-03-09,426.462
2001-03-12,414.071
2001-03-13,409.876
2001-03-14,402.317
2001-03-15,404.485
2001-03-16,392.005
2001-03-19,390.358
2001-03-20,391.566
2001-03-21,374.543
2001-03-22,354.333
2001-03-23,369.063
2001-03-26,381.615
2001-03-27,392.815
2001-03-28,384.356
2001-03-29,383.851
2001-03-30,389.168
2001-04-02,388.726
2001-04-03,376.722
2001-04-04,391.545
2001-04-05,397.316
2001-04-06,398.16
2001-04-09,404.902
2001-04-10,407.35
2001-04-11,406.493
2001-04-12,412.987
2001-04-13,412.987
2001-04-16,408.758
2001-04-17,401.61
2001-04-18,408.946
2001-04-19,416.098
2001-04-20,411.032
2001-04-23,395.351
2001-04-24,400.686
2001-04-25,397.845
2001-04-26,407.318
2001-04-27,408.144
2001-04-30,411.456
2001-05-01,413.637
2001-05-02,407.052
2001-05-03,401.554
2001-05-04,404.943
2001-05-07,405.133
2001-05-08,405.647
2001-05-09,404.762
2001-05-10,410.359
2001-05-11,401.852
2001-05-14,396.114
2001-05-15,401.263
2001-05-16,401.407
2001-05-17,402.96
2001-05-18,404.364
2001-05-21,400.559
2001-05-22,393.661
2001-05-23,391.138
2001-05-24,388.328
2001-05-25,381.525
2001-05-28,386.436
2001-05-29,381.04
2001-05-30,379.672
2001-05-31,378.495
2001-06-01,373.215
2001-06-04,380.732
2001-06-05,381.885
2001-06-06,378.223
2001-06-07,379.074
2001-06-08,380.955
2001-06-11,377.561
2001-06-12,374.47
2001-06-13,379.339
2001-06-14,379.846
2001-06-15,376.324
2001-06-18,361.368
2001-06-19,360.876
2001-06-20,356.662
2001-06-21,353.127
2001-06-22,354.045
2001-06-25,358.639
2001-06-26,351.028
2001-06-27,349.478
2001-06-28,348.722
2001-06-29,350.131
2001-07-02,360.004
2001-07-03,357.439
2001-07-04,351.269
2001-07-05,343.505
2001-07-06,334.493
2001-07-09,337.401
2001-07-10,336.954
2001-07-11,330.103
2001-07-12,322.789
2001-07-13,327.349
2001-07-16,328.572
2001-07-17,330.456
2001-07-18,330.684
2001-07-19,335.698
2001-07-20,335.209
2001-07-23,336.521
2001-07-24,338.523
2001-07-25,330.823
2001-07-26,333.031
2001-07-27,330.316
2001-07-30,339.97
2001-07-31,342.956
2001-08-01,346.803
2001-08-02,350.457
2001-08-03,349.885
2001-08-06,351.421
2001-08-07,347.041
2001-08-08,341.388
2001-08-09,338.761
2001-08-10,336.058
2001-08-13,343.146
2001-08-14,347.847
2001-08-15,353.157
2001-08-16,348.846
2001-08-17,344.999
2001-08-20,343.108
2001-08-21,343.221
2001-08-22,350.704
2001-08-23,351.814
2001-08-24,357.317
2001-08-27,355.488
2001-08-28,348.762
2001-08-29,351.441
2001-08-30,342.869
2001-08-31,346.209
2001-09-03,337.838
2001-09-04,338.91
2001-09-05,330.479
2001-09-06,321.144
2001-09-07,317.953
2001-09-10,314.504
2001-09-11,303.027
2001-09-12,305.296
2001-09-13,308.249
2001-09-14,296.291
2001-09-17,307.994
2001-09-18,306.956
2001-09-19,304.369
2001-09-20,296.296
2001-09-21,283.812
2001-09-24,300.851
2001-09-25,308.172
2001-09-26,308.794
2001-09-27,314.921
2001-09-28,315.771
2001-10-01,310.807
2001-10-02,315.886
2001-10-03,313.507
2001-10-04,321.182
2001-10-05,309.763
2001-10-08,312.786
2001-10-09,317.531
2001-10-10,327.415
2001-10-11,324.762
2001-10-12,326.202
2001-10-15,323.83
2001-10-16,330.01
2001-10-17,340.615
2001-10-18,333.865
2001-10-19,322.568
2001-10-22,329.884
2001-10-23,337.119
2001-10-24,344.046
2001-10-25,335.687
2001-10-26,337.295
2001-10-29,333.789
2001-10-30,323.61
2001-10-31,330.714
2001-11-01,331.785
2001-11-02,328.085
2001-11-05,337.483
2001-11-06,341.797
2001-11-07,348.693
2001-11-08,356.507
2001-11-09,350.65
2001-11-12,344.986
2001-11-13,354.723
2001-11-14,360.348
2001-11-15,362.018
2001-11-16,365.485
2001-11-19,369.892
2001-11-20,364.057
2001-11-21,355.733
2001-11-22,359.786
2001-11-23,360.291
2001-11-26,363.187
2001-11-27,358.565
2001-11-28,355.623
2001-11-29,351.537
2001-11-30,358.655
2001-12-03,354.867
2001-12-04,363.798
2001-12-05,378.015
2001-12-06,379.314
2001-12-07,373.639
2001-12-10,365.466
2001-12-11,369.613
2001-12-12,367.892
2001-12-13,358.26
2001-12-14,359.059
2001-12-17,371.319
2001-12-18,366.524
2001-12-19,358.114
2001-12-20,353.009
2001-12-21,351.771
2001-12-24,348.261
2001-12-25,348.261
2001-12-26,348.558
2001-12-27,357.382
2001-12-28,352.564
2001-12-31,356.003
2002-01-01,356.003
2002-01-02,361.912
2002-01-03,370.093
2002-01-04,363.61
2002-01-07,349.664
2002-01-08,348.79
2002-01-09,342.02
2002-01-10,338.78
2002-01-11,339.378
2002-01-14,331.361
2002-01-15,336.411
2002-01-16,326.843
2002-01-17,333.503
2002-01-18,336.568
2002-01-21,331.25
2002-01-22,336.576
2002-01-23,339.741
2002-01-24,343.729
2002-01-25,337.041
2002-01-28,339.313
2002-01-29,334.47
2002-01-30,327.525
2002-01-31,328.503
2002-02-01,333.599
2002-02-04,328.733
2002-02-05,321.42
2002-02-06,315.683
2002-02-07,322.953
2002-02-08,322.233
2002-02-11,324.022
2002-02-12,321.166
2002-02-13,323.217
2002-02-14,328.86
2002-02-15,325.604
2002-02-18,320.354
2002-02-19,315.575
2002-02-20,315.971
2002-02-21,316.376
2002-02-22,315.227
2002-02-25,318.926
2002-02-26,321.381
2002-02-27,331.25
2002-02-28,332.732
2002-03-01,336.977
2002-03-04,345.011
2002-03-05,341.463
2002-03-06,344.549
2002-03-07,349.036
2002-03-08,346.004
2002-03-11,342.482
2002-03-12,336.792
2002-03-13,336.424
2002-03-14,341.78
2002-03-15,344.273
2002-03-18,346.388
2002-03-19,350.252
2002-03-20,347.325
2002-03-21,344.438
2002-03-22,343.204
2002-03-25,334.791
2002-03-26,331.82
2002-03-27,331.694
2002-03-28,335.296
2002-03-29,335.296
2002-04-01,338.044
2002-04-02,336.762
2002-04-03,337.722
2002-04-04,335.517
2002-04-05,334.496
2002-04-08,324.499
2002-04-09,327.307
2002-04-10,330.829
2002-04-11,326.035
2002-04-12,326.644
2002-04-15,332.121
2002-04-16,343.88
2002-04-17,348.506
2002-04-18,346.762
2002-04-19,348.894
2002-04-22,345.715
2002-04-23,346.093
2002-04-24,345.003
2002-04-25,341.368
2002-04-26,341.353
2002-04-29,340.812
2002-04-30,340.821
2002-05-01,342.75
2002-05-02,335.621
2002-05-03,337.336
2002-05-06,334.975
2002-05-07,332.113
2002-05-08,340.514
2002-05-09,337.538
2002-05-10,333.602
2002-05-13,337.366
2002-05-14,337.821
2002-05-15,342.466
2002-05-16,340.181
2002-05-17,345.195
2002-05-20,340.47
2002-05-21,336.547
2002-05-22,334.933
2002-05-23,334.967
2002-05-24,337.562
2002-05-27,338.582
2002-05-28,338.282
2002-05-29,339.539
2002-05-30,337.098
2002-05-31,340.803
2002-06-03,339.744
2002-06-04,329.994
2002-06-05,325.513
2002-06-06,325.135
2002-06-07,319.345
2002-06-10,319.363
2002-06-11,321.825
2002-06-12,313.39
2002-06-13,308.035
2002-06-14,301.24
2002-06-17,310.688
2002-06-18,314.456
2002-06-19,308.965
2002-06-20,305.153
2002-06-21,299.217
2002-06-24,288.151
2002-06-25,291.688
2002-06-26,293.546
2002-06-27,292.069
2002-06-28,303.13
2002-07-01,303.32
2002-07-02,292.525
2002-07-03,284.729
2002-07-04,289.741
2002-07-05,310.147
2002-07-08,318.296
2002-07-09,311.6
2002-07-10,303.526
2002-07-11,294.873
2002-07-12,299.345
2002-07-15,288.31
2002-07-16,290.364
2002-07-17,304.398
2002-07-18,308.203
2002-07-19,293.025
2002-07-22,282.766
2002-07-23,274.55
2002-07-24,266.71
2002-07-25,287.527
2002-07-26,283.51
2002-07-29,297.811
2002-07-30,279.043
2002-07-31,270.779
2002-08-01,261.985
2002-08-02,266.764
2002-08-05,259.126
2002-08-06,264.482
2002-08-07,262.73
2002-08-08,280.451
2002-08-09,281.657
2002-08-12,272.981
2002-08-13,275.082
2002-08-14,268.01
2002-08-15,266.014
2002-08-16,279.6
2002-08-19,292.089
2002-08-20,287.14
2002-08-21,291.425
2002-08-22,295.74
