Date,SPAIN LARGE CAP Large Cap
1994-05-31,140.234
1994-06-30,132.433
1994-07-29,142.549
1994-08-31,141.284
1994-09-30,138.161
1994-10-31,144.797
1994-11-30,141.976
1994-12-30,133.628
1995-01-31,134.128
1995-02-28,137.795
1995-03-31,135.697
1995-04-28,144.567
1995-05-31,150.231
1995-06-30,152.674
1995-07-31,164.162
1995-08-31,158.049
1995-09-29,159.382
1995-10-31,157.293
1995-11-30,167.611
1995-12-29,176.407
1996-01-31,178.308
1996-02-29,190.34
1996-03-29,187.185
1996-04-30,193.196
1996-05-31,191.884
1996-06-28,200.65
1996-07-31,192.681
1996-08-30,196.074
1996-09-30,199.768
1996-10-31,206.198
1996-11-29,220.723
1996-12-31,239.671
1997-01-31,237.569
1997-02-28,229.416
1997-03-31,237.651
1997-04-30,254.151
1997-05-30,274.195
1997-06-30,293.933
1997-07-31,277.971
1997-08-29,272.176
1997-09-30,309.361
1997-10-31,277.097
1997-11-28,293.065
1997-12-31,302.496
1998-01-30,331.144
1998-02-27,376.249
1998-03-31,422.891
1998-04-30,430.108
1998-05-29,434.899
1998-06-30,439.602
1998-07-31,467.579
1998-08-31,362.61
1998-09-30,352.179
1998-10-30,409.62
1998-11-30,442.827
1998-12-31,454.29
1999-01-29,447.584
1999-02-26,437.861
1999-03-31,425.569
1999-04-30,428.915
1999-05-31,427.269
1999-06-30,430.903
1999-07-30,411.852
1999-08-31,421.421
1999-09-30,414.894
1999-10-29,423.848
1999-11-30,467.103
1999-12-31,508.367
2000-01-31,491.652
2000-02-29,560.218
2000-03-31,525.862
2000-04-28,479.183
2000-05-31,455.725
2000-06-30,468.102
2000-07-31,458.197
2000-08-31,453.223
2000-09-29,455.68
2000-10-31,410.991
2000-11-30,371.821
2000-12-29,404.123
2001-01-31,438.124
2001-02-28,399.072
2001-03-30,377.63
2001-04-30,399.441
2001-05-31,367.442
2001-06-29,339.907
2001-07-31,333.332
2001-08-31,336.493
2001-09-28,306.91
2001-10-31,321.607
2001-11-30,348.778
2001-12-31,346.199
2002-01-31,319.777
2002-02-28,323.893
2002-03-29,326.374
2002-04-30,331.928
2002-05-31,331.911
2002-06-28,295.221
2002-07-31,264.012
2002-08-30,279.107
2002-09-30,227.93
2002-10-31,269.866
2002-11-29,299.407
2002-12-31,282.046
2003-01-31,284.153
2003-02-28,287.199
2003-03-31,284.685
2003-04-30,329.897
2003-05-30,342.176
2003-06-30,358.867
2003-07-31,366.813
2003-08-29,362.997
2003-09-30,357.494
2003-10-31,387.808
2003-11-28,407.158
2003-12-31,462.37
2004-01-30,466.25
2004-02-27,483.422
2004-03-31,460.438
2004-04-30,455.514
2004-05-31,456.489
2004-06-30,462.122
2004-07-30,450.401
2004-08-31,449.183
2004-09-30,464.827
2004-10-29,508.947
2004-11-30,550.547
2004-12-31,586.663
2005-01-31,568.17
2005-02-28,587.115
2005-03-31,565.793
2005-04-29,547.024
2005-05-31,545.73
2005-06-30,553.061
2005-07-29,580.443
2005-08-31,576.982
2005-09-30,613.055
2005-10-31,592.817
2005-11-30,588.483
2005-12-30,599.383
2006-01-31,636.907
2006-02-28,661.612
2006-03-31,670.988
2006-04-28,701.695
2006-05-31,686.274
2006-06-30,697.688
2006-07-31,720.578
2006-08-31,746.214
2006-09-29,784.489
2006-10-31,843.324
2006-11-30,879.514
2006-12-29,892.634
2007-01-31,911.45
2007-02-28,905.401
2007-03-30,929.612
2007-04-30,944.348
2007-05-31,1000.0
2007-06-29,975.619
2007-07-31,995.56
2007-08-31,974.467
2007-09-28,1026.869
2007-10-31,1147.449
2007-11-30,1161.297
2007-12-31,1126.052
2008-01-31,991.868
2008-02-29,1008.072
2008-03-31,1058.794
2008-04-30,1094.171
2008-05-30,1083.884
2008-06-30,974.317
2008-07-31,972.459
2008-08-29,897.554
2008-09-30,809.918
2008-10-31,601.948
2008-11-28,595.334
2008-12-31,677.699
2009-01-30,573.76
2009-02-27,512.89
2009-03-31,555.271
2009-04-30,644.752
2009-05-29,728.723
2009-06-30,766.779
2009-07-31,883.689
2009-08-31,939.321
2009-09-30,986.326
2009-10-30,989.509
2009-11-30,1036.902
2009-12-31,1014.584
2010-01-29,889.845
2010-02-26,826.32
2010-03-31,852.154
2010-04-30,815.768
2010-05-31,685.17
2010-06-30,686.173
2010-07-30,837.787
2010-08-31,794.165
2010-09-30,878.346
2010-10-29,919.933
2010-11-30,730.279
2010-12-31,801.484
2011-01-31,914.287
2011-02-28,922.677
2011-03-31,910.693
2011-04-29,983.802
2011-05-31,932.352
2011-06-30,930.468
