Date,SPAIN LARGE CAP Large Cap
1994-05-31,150.526
1994-06-30,142.071
1994-07-29,152.505
1994-08-31,151.12
1994-09-30,147.78
1994-10-31,154.706
1994-11-30,151.659
1994-12-30,142.742
1995-01-31,142.9
1995-02-28,146.682
1995-03-31,144.449
1995-04-28,153.749
1995-05-31,159.721
1995-06-30,162.23
1995-07-31,173.882
1995-08-31,167.407
1995-09-29,168.818
1995-10-31,166.415
1995-11-30,177.332
1995-12-29,186.638
1996-01-31,188.128
1996-02-29,200.786
1996-03-29,197.409
1996-04-30,203.576
1996-05-31,202.193
1996-06-28,211.118
1996-07-31,202.346
1996-08-30,205.909
1996-09-30,209.788
1996-10-31,216.343
1996-11-29,231.549
1996-12-31,251.374
1997-01-31,248.627
1997-02-28,240.062
1997-03-31,248.644
1997-04-30,265.726
1997-05-30,286.683
1997-06-30,307.081
1997-07-31,289.926
1997-08-29,283.881
1997-09-30,322.633
1997-10-31,288.87
1997-11-28,305.481
1997-12-31,315.28
1998-01-30,344.605
1998-02-27,391.489
1998-03-31,439.942
1998-04-30,447.305
1998-05-29,452.059
1998-06-30,456.678
1998-07-31,485.358
1998-08-31,376.397
1998-09-30,365.537
1998-10-30,425.157
1998-11-30,459.623
1998-12-31,471.521
1999-01-29,464.12
1999-02-26,454.038
1999-03-31,441.256
1999-04-30,444.693
1999-05-31,442.987
1999-06-30,446.719
1999-07-30,426.434
1999-08-31,436.341
1999-09-30,429.583
1999-10-29,438.756
1999-11-30,483.495
1999-12-31,526.146
2000-01-31,508.198
2000-02-29,579.072
2000-03-31,543.559
2000-04-28,495.282
2000-05-31,471.036
2000-06-30,483.829
2000-07-31,472.929
2000-08-31,467.795
2000-09-29,470.33
2000-10-31,423.998
2000-11-30,383.589
2000-12-29,416.914
2001-01-31,451.51
2001-02-28,411.265
2001-03-30,389.168
2001-04-30,411.456
2001-05-31,378.495
2001-06-29,350.131
2001-07-31,342.956
2001-08-31,346.209
2001-09-28,315.771
2001-10-31,330.714
2001-11-30,358.655
2001-12-31,356.003
2002-01-31,328.503
2002-02-28,332.732
2002-03-29,335.296
2002-04-30,340.821
2002-05-31,340.803
2002-06-28,303.13
2002-07-31,270.779
2002-08-30,286.126
2002-09-30,233.663
2002-10-31,276.536
2002-11-29,306.679
2002-12-31,288.897
2003-01-31,290.79
2003-02-28,293.799
2003-03-31,291.227
2003-04-30,337.393
2003-05-30,349.855
2003-06-30,366.921
2003-07-31,374.402
2003-08-29,370.387
2003-09-30,364.772
2003-10-31,395.382
2003-11-28,414.979
2003-12-31,471.251
2004-01-30,474.828
2004-02-27,492.181
2004-03-31,468.781
2004-04-30,463.614
2004-05-31,464.133
2004-06-30,469.84
2004-07-30,457.426
2004-08-31,456.056
2004-09-30,471.94
2004-10-29,516.574
2004-11-30,558.263
2004-12-31,594.885
2005-01-31,575.699
2005-02-28,594.709
2005-03-31,573.072
2005-04-29,553.875
2005-05-31,552.023
2005-06-30,559.372
2005-07-29,586.47
2005-08-31,582.783
2005-09-30,619.218
2005-10-31,598.622
2005-11-30,593.652
2005-12-30,604.647
2006-01-31,642.01
2006-02-28,666.715
2006-03-31,676.121
2006-04-28,706.803
2006-05-31,690.576
2006-06-30,702.006
2006-07-31,723.723
2006-08-31,749.226
2006-09-29,787.655
2006-10-31,846.526
2006-11-30,882.104
2006-12-29,895.262
2007-01-31,913.324
2007-02-28,906.984
2007-03-30,931.178
2007-04-30,945.504
2007-05-31,1000.0
2007-06-29,975.594
2007-07-31,994.283
2007-08-31,972.791
2007-09-28,1025.103
2007-10-31,1144.997
2007-11-30,1157.598
2007-12-31,1122.465
2008-01-31,987.813
2008-02-29,1003.516
2008-03-31,1054.009
2008-04-30,1088.481
2008-05-30,1075.923
2008-06-30,967.457
2008-07-31,964.291
2008-08-29,889.387
2008-09-30,802.54
2008-10-31,596.072
2008-11-28,587.972
2008-12-31,669.27
2009-01-30,565.732
2009-02-27,505.249
2009-03-31,546.999
2009-04-30,635.069
2009-05-29,715.153
2009-06-30,752.501
2009-07-31,866.078
2009-08-31,919.909
2009-09-30,965.943
2009-10-30,968.172
2009-11-30,1013.149
2009-12-31,990.548
2010-01-29,868.649
2010-02-26,806.06
2010-03-31,831.261
2010-04-30,795.439
2010-05-31,665.636
2010-06-30,666.138
2010-07-30,812.734
2010-08-31,769.807
2010-09-30,851.374
2010-10-29,890.754
2010-11-30,705.642
2010-12-31,774.061
2011-01-31,881.669
