Date,SPAIN LARGE CAP Large Cap
2001-01-01,404.123
2001-01-02,405.608
2001-01-03,409.91
2001-01-04,427.822
2001-01-05,430.954
2001-01-08,430.901
2001-01-09,423.558
2001-01-10,424.587
2001-01-11,433.259
2001-01-12,441.164
2001-01-15,437.816
2001-01-16,429.417
2001-01-17,438.254
2001-01-18,446.918
2001-01-19,438.336
2001-01-22,441.249
2001-01-23,444.815
2001-01-24,439.108
2001-01-25,436.184
2001-01-26,434.552
2001-01-29,426.682
2001-01-30,432.164
2001-01-31,438.124
2001-02-01,442.052
2001-02-02,427.712
2001-02-05,430.696
2001-02-06,431.241
2001-02-07,428.474
2001-02-08,426.853
2001-02-09,424.362
2001-02-12,432.811
2001-02-13,426.272
2001-02-14,410.147
2001-02-15,408.064
2001-02-16,409.8
2001-02-19,414.867
2001-02-20,400.616
2001-02-21,396.788
2001-02-22,387.755
2001-02-23,384.121
2001-02-26,392.318
2001-02-27,399.609
2001-02-28,399.072
2001-03-01,402.152
2001-03-02,409.424
2001-03-05,411.597
2001-03-06,422.0
2001-03-07,421.181
2001-03-08,417.747
2001-03-09,413.819
2001-03-12,401.795
2001-03-13,397.724
2001-03-14,390.39
2001-03-15,392.493
2001-03-16,380.383
2001-03-19,378.785
2001-03-20,379.957
2001-03-21,363.439
2001-03-22,343.828
2001-03-23,358.122
2001-03-26,370.301
2001-03-27,381.169
2001-03-28,372.961
2001-03-29,372.471
2001-03-30,377.63
2001-04-02,377.201
2001-04-03,365.574
2001-04-04,379.959
2001-04-05,385.559
2001-04-06,386.378
2001-04-09,392.921
2001-04-10,395.378
2001-04-11,394.546
2001-04-12,400.849
2001-04-13,400.849
2001-04-16,396.744
2001-04-17,389.807
2001-04-18,396.927
2001-04-19,403.869
2001-04-20,398.952
2001-04-23,383.732
2001-04-24,388.909
2001-04-25,386.152
2001-04-26,395.346
2001-04-27,396.149
2001-04-30,399.441
2001-05-01,401.559
2001-05-02,395.166
2001-05-03,389.829
2001-05-04,393.119
2001-05-07,393.303
2001-05-08,393.802
2001-05-09,392.943
2001-05-10,398.376
2001-05-11,390.117
2001-05-14,384.548
2001-05-15,389.546
2001-05-16,389.685
2001-05-17,391.194
2001-05-18,392.556
2001-05-21,388.863
2001-05-22,382.166
2001-05-23,379.716
2001-05-24,376.989
2001-05-25,370.384
2001-05-28,375.152
2001-05-29,369.914
2001-05-30,368.585
2001-05-31,367.442
2001-06-01,362.317
2001-06-04,369.615
2001-06-05,370.734
2001-06-06,367.179
2001-06-07,368.005
2001-06-08,369.831
2001-06-11,366.536
2001-06-12,363.535
2001-06-13,368.262
2001-06-14,368.755
2001-06-15,365.335
2001-06-18,350.816
2001-06-19,350.338
2001-06-20,346.248
2001-06-21,342.816
2001-06-22,343.707
2001-06-25,348.166
2001-06-26,340.778
2001-06-27,339.273
2001-06-28,338.539
2001-06-29,339.907
2001-07-02,349.672
2001-07-03,347.181
2001-07-04,341.188
2001-07-05,333.647
2001-07-06,324.894
2001-07-09,327.718
2001-07-10,327.342
2001-07-11,320.686
2001-07-12,313.662
2001-07-13,318.093
2001-07-16,319.281
2001-07-17,321.112
2001-07-18,321.333
2001-07-19,326.205
2001-07-20,325.73
2001-07-23,327.005
2001-07-24,328.95
2001-07-25,321.468
2001-07-26,323.614
2001-07-27,320.976
2001-07-30,330.356
2001-07-31,333.332
2001-08-01,337.071
2001-08-02,340.623
2001-08-03,340.067
2001-08-06,341.559
2001-08-07,337.302
2001-08-08,331.808
2001-08-09,329.255
2001-08-10,326.628
2001-08-13,333.517
2001-08-14,338.085
2001-08-15,343.247
2001-08-16,339.056
2001-08-17,335.318
2001-08-20,333.48
2001-08-21,333.589
2001-08-22,340.863
2001-08-23,341.942
2001-08-24,347.29
2001-08-27,345.512
2001-08-28,338.975
2001-08-29,341.579
2001-08-30,333.247
2001-08-31,336.493
2001-09-03,328.357
2001-09-04,329.399
2001-09-05,321.206
2001-09-06,312.132
2001-09-07,309.031
2001-09-10,305.678
2001-09-11,294.524
2001-09-12,296.729
2001-09-13,299.599
2001-09-14,287.977
2001-09-17,299.351
2001-09-18,298.343
2001-09-19,295.828
2001-09-20,287.981
2001-09-21,275.848
2001-09-24,292.409
2001-09-25,299.524
2001-09-26,300.128
2001-09-27,306.083
2001-09-28,306.91
2001-10-01,302.118
2001-10-02,307.055
2001-10-03,304.742
2001-10-04,312.202
2001-10-05,301.103
2001-10-08,304.041
2001-10-09,308.654
2001-10-10,318.323
2001-10-11,315.744
2001-10-12,317.144
2001-10-15,314.838
2001-10-16,320.846
2001-10-17,331.157
2001-10-18,324.594
2001-10-19,313.611
2001-10-22,320.723
2001-10-23,327.757
2001-10-24,334.492
2001-10-25,326.365
2001-10-26,327.929
2001-10-29,324.52
2001-10-30,314.623
2001-10-31,321.607
2001-11-01,322.648
2001-11-02,319.05
2001-11-05,328.189
2001-11-06,332.384
2001-11-07,339.09
