Date,SWEDEN SMALL GROWTH Small Cap
1994-05-31,192.308
1994-06-30,182.205
1994-07-29,183.917
1994-08-31,182.383
1994-09-30,187.394
1994-10-31,204.175
1994-11-30,199.132
1994-12-30,201.785
1995-01-31,207.473
1995-02-28,206.429
1995-03-31,188.078
1995-04-28,197.813
1995-05-31,195.535
1995-06-30,200.761
1995-07-31,215.846
1995-08-31,215.179
1995-09-29,232.325
1995-10-31,223.742
1995-11-30,224.734
1995-12-29,217.099
1996-01-31,209.873
1996-02-29,220.441
1996-03-29,229.433
1996-04-30,243.848
1996-05-31,259.446
1996-06-28,268.043
1996-07-31,261.415
1996-08-30,266.095
1996-09-30,270.854
1996-10-31,283.463
1996-11-29,308.576
1996-12-31,318.363
1997-01-31,321.189
1997-02-28,317.996
1997-03-31,319.068
1997-04-30,292.29
1997-05-30,305.617
1997-06-30,307.233
1997-07-31,314.407
1997-08-29,317.565
1997-09-30,349.157
1997-10-31,335.37
1997-11-28,333.935
1997-12-31,325.399
1998-01-30,321.447
1998-02-27,342.487
1998-03-31,370.273
1998-04-30,387.794
1998-05-29,399.205
1998-06-30,382.017
1998-07-31,382.209
1998-08-31,311.756
1998-09-30,295.444
1998-10-30,292.896
1998-11-30,316.573
1998-12-31,318.537
1999-01-29,311.841
1999-02-26,301.772
1999-03-31,304.002
1999-04-30,316.785
1999-05-31,320.068
1999-06-30,325.199
1999-07-30,331.089
1999-08-31,336.071
1999-09-30,346.37
1999-10-29,344.752
1999-11-30,398.44
1999-12-31,551.648
2000-01-31,576.054
2000-02-29,700.222
2000-03-31,648.613
2000-04-28,574.608
2000-05-31,538.68
2000-06-30,494.249
2000-07-31,488.401
2000-08-31,511.395
2000-09-29,469.687
2000-10-31,395.149
2000-11-30,346.722
2000-12-29,368.595
2001-01-31,388.465
2001-02-28,311.534
2001-03-30,259.941
2001-04-30,271.034
2001-05-31,268.198
2001-06-29,240.446
2001-07-31,225.025
2001-08-31,217.164
2001-09-28,184.546
2001-10-31,206.474
2001-11-30,233.127
2001-12-31,244.529
2002-01-31,245.528
2002-02-28,249.798
2002-03-29,262.342
2002-04-30,252.367
2002-05-31,259.822
2002-06-28,254.531
2002-07-31,225.998
2002-08-30,215.347
2002-09-30,187.216
2002-10-31,217.706
2002-11-29,240.094
2002-12-31,233.848
2003-01-31,220.97
2003-02-28,223.182
2003-03-31,218.915
2003-04-30,250.333
2003-05-30,268.817
2003-06-30,273.047
2003-07-31,271.636
2003-08-29,279.415
2003-09-30,296.289
2003-10-31,316.658
2003-11-28,338.605
2003-12-31,366.313
2004-01-30,369.296
2004-02-27,379.423
2004-03-31,374.616
2004-04-30,375.037
2004-05-31,386.598
2004-06-30,383.071
2004-07-30,363.591
2004-08-31,361.112
2004-09-30,391.068
2004-10-29,403.115
2004-11-30,446.491
2004-12-31,462.768
2005-01-31,456.9
2005-02-28,495.466
2005-03-31,492.454
2005-04-29,470.636
2005-05-31,478.112
2005-06-30,476.348
2005-07-29,507.468
2005-08-31,522.517
2005-09-30,542.259
2005-10-31,509.916
2005-11-30,533.097
2005-12-30,567.064
2006-01-31,614.93
2006-02-28,615.872
2006-03-31,660.122
2006-04-28,732.292
2006-05-31,708.824
2006-06-30,706.676
2006-07-31,695.543
2006-08-31,714.424
2006-09-29,735.651
2006-10-31,759.982
2006-11-30,821.058
2006-12-29,909.238
2007-01-31,896.769
2007-02-28,863.566
2007-03-30,905.535
2007-04-30,984.243
2007-05-31,1000.0
2007-06-29,955.966
2007-07-31,955.524
2007-08-31,915.961
2007-09-28,947.367
2007-10-31,974.117
2007-11-30,928.023
2007-12-31,903.441
2008-01-31,799.02
2008-02-29,900.348
2008-03-31,914.001
2008-04-30,903.006
2008-05-30,961.921
2008-06-30,877.72
2008-07-31,791.667
2008-08-29,748.171
2008-09-30,565.501
2008-10-31,379.336
2008-11-28,333.275
2008-12-31,333.878
2009-01-30,321.479
2009-02-27,297.787
2009-03-31,327.646
2009-04-30,431.813
2009-05-29,489.258
2009-06-30,464.867
2009-07-31,534.902
2009-08-31,571.03
2009-09-30,610.257
2009-10-30,639.45
2009-11-30,660.872
2009-12-31,666.57
2010-01-29,666.102
2010-02-26,688.088
2010-03-31,743.035
2010-04-30,733.195
2010-05-31,624.702
2010-06-30,600.601
2010-07-30,680.181
2010-08-31,638.213
2010-09-30,774.536
2010-10-29,777.154
2010-11-30,733.634
2010-12-31,838.328
2011-01-31,852.648
2011-02-28,851.254
2011-03-31,888.288
2011-04-29,939.225
2011-05-31,908.145
2011-06-30,870.409
2011-07-29,839.605
2011-08-31,759.347
2011-09-30,665.07
2011-10-31,783.842
2011-11-30,739.748
2011-12-30,747.48
2012-01-31,796.718
2012-02-29,847.211
2012-03-30,847.906
2012-04-30,841.899
2012-05-31,755.45
2012-06-29,788.627
