Date,SWEDEN SMALL GROWTH Small Cap
1994-05-31,183.993
1994-06-30,174.327
1994-07-29,175.965
1994-08-31,174.497
1994-09-30,179.292
1994-10-31,195.347
1994-11-30,190.522
1994-12-30,193.061
1995-01-31,198.503
1995-02-28,197.504
1995-03-31,179.946
1995-04-28,189.285
1995-05-31,187.463
1995-06-30,192.487
1995-07-31,206.951
1995-08-31,206.312
1995-09-29,222.75
1995-10-31,214.521
1995-11-30,215.473
1995-12-29,208.152
1996-01-31,201.224
1996-02-29,211.357
1996-03-29,219.978
1996-04-30,234.221
1996-05-31,249.323
1996-06-28,257.585
1996-07-31,251.215
1996-08-30,255.713
1996-09-30,260.285
1996-10-31,272.403
1996-11-29,296.536
1996-12-31,305.94
1997-01-31,308.656
1997-02-28,305.588
1997-03-31,306.618
1997-04-30,281.356
1997-05-30,294.366
1997-06-30,295.922
1997-07-31,302.832
1997-08-29,305.874
1997-09-30,336.303
1997-10-31,323.023
1997-11-28,321.642
1997-12-31,313.42
1998-01-30,309.613
1998-02-27,329.879
1998-03-31,356.867
1998-04-30,374.423
1998-05-29,385.641
1998-06-30,369.076
1998-07-31,369.261
1998-08-31,301.195
1998-09-30,285.436
1998-10-30,282.974
1998-11-30,305.849
1998-12-31,307.746
1999-01-29,301.277
1999-02-26,291.55
1999-03-31,293.844
1999-04-30,306.627
1999-05-31,309.805
1999-06-30,314.771
1999-07-30,320.473
1999-08-31,325.294
1999-09-30,335.264
1999-10-29,333.698
1999-11-30,385.664
1999-12-31,533.96
2000-01-31,557.582
2000-02-29,677.77
2000-03-31,627.837
2000-04-28,556.244
2000-05-31,521.537
2000-06-30,478.519
2000-07-31,472.858
2000-08-31,495.12
2000-09-29,454.74
2000-10-31,382.573
2000-11-30,335.688
2000-12-29,356.864
2001-01-31,376.123
2001-02-28,301.636
2001-03-30,251.764
2001-04-30,262.767
2001-05-31,260.144
2001-06-29,233.226
2001-07-31,218.268
2001-08-31,210.643
2001-09-28,179.004
2001-10-31,200.274
2001-11-30,226.127
2001-12-31,237.186
2002-01-31,238.178
2002-02-28,242.32
2002-03-29,254.488
2002-04-30,245.223
2002-05-31,252.545
2002-06-28,247.402
2002-07-31,219.668
2002-08-30,209.316
2002-09-30,181.983
2002-10-31,211.621
2002-11-29,233.383
2002-12-31,227.312
2003-01-31,214.821
2003-02-28,216.972
2003-03-31,212.844
2003-04-30,244.709
2003-05-30,263.057
2003-06-30,267.196
2003-07-31,265.815
2003-08-29,273.428
2003-09-30,289.966
2003-10-31,309.9
2003-11-28,331.378
2003-12-31,358.495
2004-01-30,361.5
2004-02-27,371.413
2004-03-31,367.536
2004-04-30,368.768
2004-05-31,380.624
2004-06-30,377.152
2004-07-30,357.973
2004-08-31,355.532
2004-09-30,385.065
2004-10-29,396.928
2004-11-30,439.638
2004-12-31,455.732
2005-01-31,449.953
2005-02-28,487.933
2005-03-31,485.457
2005-04-29,465.396
2005-05-31,473.24
2005-06-30,471.494
2005-07-29,502.297
2005-08-31,517.192
2005-09-30,536.896
2005-10-31,504.873
2005-11-30,527.825
2005-12-30,561.49
2006-01-31,608.885
2006-02-28,609.818
2006-03-31,654.077
2006-04-28,727.89
2006-05-31,705.098
2006-06-30,703.206
2006-07-31,692.128
2006-08-31,710.917
2006-09-29,732.206
2006-10-31,756.515
2006-11-30,817.313
2006-12-29,905.489
2007-01-31,893.088
