Date,SWEDEN SMALL GROWTH Small Cap
2001-01-01,356.864
2001-01-02,346.486
2001-01-03,328.028
2001-01-04,336.718
2001-01-05,339.606
2001-01-08,327.506
2001-01-09,321.107
2001-01-10,320.555
2001-01-11,320.685
2001-01-12,328.519
2001-01-15,330.724
2001-01-16,328.462
2001-01-17,341.944
2001-01-18,355.378
2001-01-19,358.643
2001-01-22,355.586
2001-01-23,354.799
2001-01-24,354.65
2001-01-25,348.077
2001-01-26,350.259
2001-01-29,356.679
2001-01-30,364.188
2001-01-31,376.123
2001-02-01,371.692
2001-02-02,367.167
2001-02-05,361.553
2001-02-06,360.534
2001-02-07,351.572
2001-02-08,346.572
2001-02-09,337.608
2001-02-12,331.163
2001-02-13,326.055
2001-02-14,312.218
2001-02-15,318.374
2001-02-16,313.381
2001-02-19,314.16
2001-02-20,311.673
2001-02-21,304.252
2001-02-22,292.927
2001-02-23,288.014
2001-02-26,298.036
2001-02-27,300.034
2001-02-28,301.636
2001-03-01,300.091
2001-03-02,304.419
2001-03-05,304.781
2001-03-06,310.131
2001-03-07,307.108
2001-03-08,305.483
2001-03-09,301.366
2001-03-12,285.207
2001-03-13,272.962
2001-03-14,264.743
2001-03-15,265.254
2001-03-16,256.839
2001-03-19,254.033
2001-03-20,258.275
2001-03-21,250.32
2001-03-22,237.363
2001-03-23,247.346
2001-03-26,259.617
2001-03-27,263.756
2001-03-28,257.379
2001-03-29,249.527
2001-03-30,251.764
2001-04-02,251.458
2001-04-03,244.152
2001-04-04,243.302
2001-04-05,252.056
2001-04-06,248.576
2001-04-09,248.581
2001-04-10,252.971
2001-04-11,251.845
2001-04-12,255.414
2001-04-13,255.414
2001-04-16,252.737
2001-04-17,245.93
2001-04-18,252.844
2001-04-19,262.326
2001-04-20,261.343
2001-04-23,260.13
2001-04-24,258.963
2001-04-25,256.719
2001-04-26,257.496
2001-04-27,258.756
2001-04-30,262.767
2001-05-01,263.867
2001-05-02,267.028
2001-05-03,265.624
2001-05-04,267.448
2001-05-07,265.174
2001-05-08,261.085
2001-05-09,260.082
2001-05-10,264.732
2001-05-11,262.922
2001-05-14,259.789
2001-05-15,260.558
2001-05-16,257.369
2001-05-17,261.067
2001-05-18,262.762
2001-05-21,267.269
2001-05-22,268.126
2001-05-23,266.206
2001-05-24,265.348
2001-05-25,266.608
2001-05-28,266.903
2001-05-29,265.804
2001-05-30,263.138
2001-05-31,260.144
2001-06-01,256.965
2001-06-04,255.628
2001-06-05,256.625
2001-06-06,254.435
2001-06-07,254.21
2001-06-08,252.803
2001-06-11,249.019
2001-06-12,243.217
2001-06-13,245.924
2001-06-14,242.992
2001-06-15,244.296
2001-06-18,243.181
2001-06-19,239.849
2001-06-20,231.364
2001-06-21,233.129
2001-06-22,233.616
2001-06-25,235.359
2001-06-26,230.517
2001-06-27,231.317
2001-06-28,232.753
2001-06-29,233.226
2001-07-02,232.816
2001-07-03,231.73
2001-07-04,229.619
2001-07-05,223.871
2001-07-06,222.511
2001-07-09,220.009
2001-07-10,221.685
2001-07-11,222.964
2001-07-12,224.771
2001-07-13,222.07
2001-07-16,220.673
2001-07-17,215.436
2001-07-18,218.048
2001-07-19,219.19
2001-07-20,218.06
2001-07-23,213.808
2001-07-24,212.092
2001-07-25,212.565
2001-07-26,211.296
2001-07-27,213.709
2001-07-30,217.076
2001-07-31,218.268
2001-08-01,219.749
2001-08-02,224.084
2001-08-03,226.48
2001-08-06,224.163
2001-08-07,223.057
2001-08-08,222.549
2001-08-09,222.673
2001-08-10,224.239
2001-08-13,224.535
2001-08-14,226.239
2001-08-15,228.317
2001-08-16,223.198
2001-08-17,220.749
2001-08-20,209.646
2001-08-21,213.157
2001-08-22,214.96
2001-08-23,214.757
2001-08-24,218.374
2001-08-27,216.74
2001-08-28,214.975
