Date,HONG KONG LARGE CAP Large Cap
1994-05-31,363.047
1994-06-30,332.803
1994-07-29,358.508
1994-08-31,378.761
1994-09-30,366.03
1994-10-31,369.166
1994-11-30,328.063
1994-12-30,319.69
1995-01-31,287.536
1995-02-28,330.417
1995-03-31,338.704
1995-04-28,330.819
1995-05-31,374.855
1995-06-30,370.766
1995-07-31,376.983
1995-08-31,365.435
1995-09-29,389.439
1995-10-31,392.495
1995-11-30,396.351
1995-12-29,407.801
1996-01-31,456.021
1996-02-29,451.179
1996-03-29,449.752
1996-04-30,458.296
1996-05-31,472.505
1996-06-28,459.416
1996-07-31,436.838
1996-08-30,452.918
1996-09-30,484.194
1996-10-31,505.42
1996-11-29,552.786
1996-12-31,550.327
1997-01-31,537.403
1997-02-28,533.478
1997-03-31,497.599
1997-04-30,504.187
1997-05-30,571.926
1997-06-30,601.433
1997-07-31,643.33
1997-08-29,559.13
1997-09-30,589.948
1997-10-31,431.996
1997-11-28,423.545
1997-12-31,432.552
1998-01-30,376.133
1998-02-27,452.341
1998-03-31,451.136
1998-04-30,410.521
1998-05-29,361.992
1998-06-30,347.783
1998-07-31,318.101
1998-08-31,301.327
1998-09-30,353.265
1998-10-30,467.324
1998-11-30,460.042
1998-12-31,449.793
1999-01-29,418.551
1999-02-26,418.145
1999-03-31,470.905
1999-04-30,574.24
1999-05-31,526.305
1999-06-30,573.564
1999-07-30,554.604
1999-08-31,559.725
1999-09-30,532.445
1999-10-29,557.7
1999-11-30,631.217
1999-12-31,722.089
2000-01-31,666.071
2000-02-29,710.3
2000-03-31,713.057
2000-04-28,635.808
2000-05-31,581.047
2000-06-30,623.267
2000-07-31,669.685
2000-08-31,692.346
2000-09-29,619.769
2000-10-31,574.873
2000-11-30,558.056
2000-12-29,625.713
2001-01-31,634.735
2001-02-28,615.552
2001-03-30,547.864
2001-04-30,546.647
2001-05-31,541.873
2001-06-29,523.874
2001-07-31,513.44
2001-08-31,484.259
2001-09-28,420.797
2001-10-31,437.304
2001-11-30,487.289
2001-12-31,512.173
2002-01-31,498.571
2002-02-28,471.82
2002-03-29,498.428
2002-04-30,525.439
2002-05-31,507.243
2002-06-28,475.43
2002-07-31,462.144
2002-08-30,440.826
2002-09-30,412.662
2002-10-31,425.853
2002-11-29,451.589
2002-12-31,417.905
2003-01-31,418.975
2003-02-28,414.641
2003-03-31,392.032
2003-04-30,389.022
2003-05-30,423.173
2003-06-30,423.927
2003-07-31,449.019
2003-08-29,502.782
2003-09-30,526.792
