Date,NETHERLANDS SMID VALUE SMID (Small+Mid Cap)
2001-01-01,342.982
2001-01-02,347.373
2001-01-03,341.919
2001-01-04,345.424
2001-01-05,346.169
2001-01-08,344.399
2001-01-09,343.065
2001-01-10,341.713
2001-01-11,348.936
2001-01-12,351.604
2001-01-15,353.451
2001-01-16,352.786
2001-01-17,353.053
2001-01-18,358.706
2001-01-19,355.477
2001-01-22,354.502
2001-01-23,355.911
2001-01-24,352.317
2001-01-25,353.106
2001-01-26,352.725
2001-01-29,351.5
2001-01-30,354.159
2001-01-31,360.816
2001-02-01,365.602
2001-02-02,363.249
2001-02-05,365.728
2001-02-06,362.994
2001-02-07,364.392
2001-02-08,359.929
2001-02-09,360.896
2001-02-12,365.407
2001-02-13,365.651
2001-02-14,361.138
2001-02-15,358.099
2001-02-16,364.535
2001-02-19,368.159
2001-02-20,362.927
2001-02-21,360.404
2001-02-22,356.271
2001-02-23,353.31
2001-02-26,355.983
2001-02-27,361.792
2001-02-28,359.203
2001-03-01,361.724
2001-03-02,364.131
2001-03-05,361.664
2001-03-06,362.855
2001-03-07,362.552
2001-03-08,364.746
2001-03-09,363.859
2001-03-12,359.342
2001-03-13,351.884
2001-03-14,343.405
2001-03-15,342.135
2001-03-16,336.136
2001-03-19,335.117
2001-03-20,336.971
2001-03-21,328.74
2001-03-22,311.423
2001-03-23,317.14
2001-03-26,320.939
2001-03-27,324.27
2001-03-28,323.18
2001-03-29,320.039
2001-03-30,322.4
2001-04-02,321.707
2001-04-03,319.569
2001-04-04,321.985
2001-04-05,323.98
2001-04-06,323.899
2001-04-09,324.394
2001-04-10,322.517
2001-04-11,323.621
2001-04-12,330.096
2001-04-13,330.096
2001-04-16,326.715
2001-04-17,323.224
2001-04-18,313.416
2001-04-19,317.972
2001-04-20,322.291
2001-04-23,320.345
2001-04-24,319.509
2001-04-25,321.7
2001-04-26,323.568
2001-04-27,322.207
2001-04-30,319.988
2001-05-01,325.662
2001-05-02,330.381
2001-05-03,330.962
2001-05-04,332.961
2001-05-07,332.889
2001-05-08,332.005
2001-05-09,331.919
2001-05-10,332.482
2001-05-11,330.397
2001-05-14,329.766
2001-05-15,332.015
2001-05-16,333.9
2001-05-17,333.601
2001-05-18,334.799
2001-05-21,334.883
2001-05-22,335.641
2001-05-23,332.403
2001-05-24,331.068
2001-05-25,329.96
2001-05-28,332.423
2001-05-29,329.911
2001-05-30,329.425
2001-05-31,325.156
2001-06-01,324.524
2001-06-04,324.962
2001-06-05,328.438
2001-06-06,326.42
2001-06-07,325.778
2001-06-08,324.593
2001-06-11,321.499
2001-06-12,321.119
2001-06-13,321.594
2001-06-14,321.257
2001-06-15,317.513
2001-06-18,316.678
2001-06-19,314.247
2001-06-20,307.249
2001-06-21,306.391
2001-06-22,305.165
2001-06-25,308.566
2001-06-26,306.015
2001-06-27,298.539
2001-06-28,297.298
2001-06-29,300.393
2001-07-02,297.693
2001-07-03,297.796
2001-07-04,297.81
2001-07-05,292.794
2001-07-06,292.607
2001-07-09,291.828
2001-07-10,295.666
2001-07-11,295.033
2001-07-12,293.499
2001-07-13,292.825
2001-07-16,291.533
2001-07-17,289.771
2001-07-18,293.868
2001-07-19,293.431
2001-07-20,294.024
2001-07-23,292.828
2001-07-24,294.634
2001-07-25,293.923
2001-07-26,291.871
2001-07-27,291.494
2001-07-30,293.525
2001-07-31,293.935
2001-08-01,296.275
2001-08-02,298.678
2001-08-03,299.542
2001-08-06,297.532
2001-08-07,296.33
2001-08-08,294.284
2001-08-09,295.961
2001-08-10,297.374
2001-08-13,297.877
2001-08-14,296.599
2001-08-15,298.5
2001-08-16,297.752
2001-08-17,296.71
2001-08-20,292.614
2001-08-21,293.38
2001-08-22,297.016
2001-08-23,293.828
2001-08-24,295.317
2001-08-27,294.51
2001-08-28,293.361
2001-08-29,294.15
2001-08-30,292.225
2001-08-31,289.933
2001-09-03,286.063
2001-09-04,278.959
2001-09-05,276.361
2001-09-06,273.073
2001-09-07,272.959
2001-09-10,266.278
2001-09-11,259.471
2001-09-12,257.147
2001-09-13,258.419
2001-09-14,253.747
2001-09-17,251.899
2001-09-18,249.648
2001-09-19,251.664
2001-09-20,242.234
2001-09-21,228.645
2001-09-24,237.287
2001-09-25,246.279
2001-09-26,248.012
2001-09-27,245.59
2001-09-28,250.289
2001-10-01,249.208
2001-10-02,246.03
2001-10-03,246.416
2001-10-04,248.876
2001-10-05,250.967
2001-10-08,251.66
2001-10-09,253.292
2001-10-10,255.248
2001-10-11,257.302
2001-10-12,256.59
2001-10-15,254.531
2001-10-16,255.502
2001-10-17,257.054
2001-10-18,253.64
2001-10-19,252.205
2001-10-22,250.548
2001-10-23,253.612
2001-10-24,255.695
2001-10-25,256.856
2001-10-26,257.315
2001-10-29,261.548
2001-10-30,259.446
2001-10-31,258.02
2001-11-01,259.182
2001-11-02,258.372
2001-11-05,258.513
2001-11-06,259.007
2001-11-07,259.514
2001-11-08,257.749
2001-11-09,255.782
2001-11-12,253.925
2001-11-13,253.603
2001-11-14,254.322
2001-11-15,256.977
2001-11-16,264.547
2001-11-19,265.08
2001-11-20,264.608
2001-11-21,262.594
2001-11-22,262.924
2001-11-23,264.062
2001-11-26,265.739
2001-11-27,265.111
2001-11-28,265.504
2001-11-29,265.17
2001-11-30,269.01
2001-12-03,266.925
2001-12-04,267.209
2001-12-05,270.247
2001-12-06,271.739
2001-12-07,271.997
2001-12-10,270.15
2001-12-11,269.174
2001-12-12,269.704
2001-12-13,268.8
2001-12-14,270.376
2001-12-17,272.74
2001-12-18,272.863
2001-12-19,271.607
2001-12-20,271.444
2001-12-21,271.325
2001-12-24,270.859
2001-12-25,270.859
2001-12-26,271.091
2001-12-27,276.896
2001-12-28,275.147
2001-12-31,277.831
2002-01-01,277.831
2002-01-02,282.114
2002-01-03,282.992
2002-01-04,285.324
2002-01-07,287.115
2002-01-08,286.266
2002-01-09,287.627
2002-01-10,286.554
2002-01-11,287.171
2002-01-14,286.625
2002-01-15,285.882
2002-01-16,281.589
2002-01-17,280.898
2002-01-18,280.537
2002-01-21,280.769
2002-01-22,281.074
2002-01-23,280.591
2002-01-24,280.758
2002-01-25,276.489
2002-01-28,276.44
2002-01-29,276.207
2002-01-30,274.861
2002-01-31,276.268
2002-02-01,276.889
2002-02-04,279.726
2002-02-05,281.211
2002-02-06,281.34
2002-02-07,281.323
2002-02-08,281.767
2002-02-11,284.888
2002-02-12,283.908
2002-02-13,284.088
2002-02-14,283.778
2002-02-15,286.182
2002-02-18,285.131
2002-02-19,284.094
2002-02-20,283.61
2002-02-21,283.746
2002-02-22,283.043
2002-02-25,280.961
2002-02-26,281.261
2002-02-27,281.15
2002-02-28,281.583
2002-03-01,283.152
2002-03-04,288.858
2002-03-05,289.8
2002-03-06,292.59
2002-03-07,300.241
2002-03-08,300.07
2002-03-11,301.935
2002-03-12,299.648
2002-03-13,300.987
2002-03-14,302.864
2002-03-15,302.678
2002-03-18,304.317
2002-03-19,306.749
2002-03-20,305.832
2002-03-21,304.12
2002-03-22,304.42
2002-03-25,301.525
2002-03-26,302.111
2002-03-27,302.64
2002-03-28,305.223
2002-03-29,305.223
2002-04-01,307.725
2002-04-02,309.699
2002-04-03,310.893
2002-04-04,310.306
2002-04-05,308.608
2002-04-08,304.385
2002-04-09,305.362
2002-04-10,307.086
2002-04-11,307.313
2002-04-12,305.961
2002-04-15,305.493
2002-04-16,308.694
2002-04-17,312.466
2002-04-18,314.072
2002-04-19,315.063
2002-04-22,314.347
2002-04-23,314.682
2002-04-24,314.917
2002-04-25,314.537
2002-04-26,315.97
2002-04-29,317.222
2002-04-30,316.289
2002-05-01,318.079
2002-05-02,317.959
2002-05-03,319.281
2002-05-06,319.448
2002-05-07,317.003
2002-05-08,318.352
2002-05-09,318.84
2002-05-10,321.044
2002-05-13,321.115
2002-05-14,319.275
2002-05-15,321.914
2002-05-16,323.477
2002-05-17,326.562
2002-05-20,326.417
2002-05-21,322.458
2002-05-22,321.718
2002-05-23,320.299
2002-05-24,322.291
2002-05-27,320.329
2002-05-28,323.241
2002-05-29,323.932
2002-05-30,322.89
2002-05-31,321.737
2002-06-03,322.347
2002-06-04,320.908
2002-06-05,317.779
2002-06-06,318.385
2002-06-07,313.866
2002-06-10,315.912
2002-06-11,315.627
2002-06-12,311.427
2002-06-13,309.217
2002-06-14,303.877
2002-06-17,306.107
2002-06-18,308.017
2002-06-19,306.825
2002-06-20,305.132
2002-06-21,305.885
2002-06-24,304.714
2002-06-25,301.579
2002-06-26,302.829
2002-06-27,302.717
2002-06-28,305.633
2002-07-01,310.338
2002-07-02,307.936
2002-07-03,302.435
2002-07-04,303.568
2002-07-05,305.489
2002-07-08,310.278
2002-07-09,311.608
2002-07-10,304.897
2002-07-11,300.298
2002-07-12,298.245
2002-07-15,293.927
2002-07-16,292.025
2002-07-17,295.362
2002-07-18,300.688
2002-07-19,297.486
2002-07-22,285.965
2002-07-23,277.808
2002-07-24,266.372
2002-07-25,272.331
2002-07-26,270.291
2002-07-29,273.692
2002-07-30,277.302
2002-07-31,278.433
2002-08-01,274.298
2002-08-02,271.166
2002-08-05,261.861
2002-08-06,256.357
2002-08-07,258.385
2002-08-08,260.988
2002-08-09,262.719
2002-08-12,262.098
2002-08-13,260.407
2002-08-14,261.939
2002-08-15,264.726
2002-08-16,265.831
2002-08-19,266.851
2002-08-20,266.216
2002-08-21,269.977
2002-08-22,271.661
2002-08-23,271.299
2002-08-26,270.425
2002-08-27,274.059
2002-08-28,271.481
2002-08-29,267.986
2002-08-30,268.813
2002-09-02,269.838
2002-09-03,268.203
2002-09-04,268.058
2002-09-05,265.421
2002-09-06,264.64
2002-09-09,259.472
2002-09-10,258.673
2002-09-11,259.267
2002-09-12,258.498
2002-09-13,257.567
2002-09-16,253.875
2002-09-17,251.761
2002-09-18,249.648
2002-09-19,248.89
2002-09-20,250.676
2002-09-23,244.102
2002-09-24,234.904
2002-09-25,234.034
2002-09-26,235.423
2002-09-27,234.386
2002-09-30,232.701
2002-10-01,231.428
2002-10-02,233.867
2002-10-03,235.857
2002-10-04,232.527
2002-10-07,226.414
2002-10-08,223.332
2002-10-09,223.491
2002-10-10,224.613
2002-10-11,228.724
2002-10-14,231.15
2002-10-15,236.314
2002-10-16,237.508
2002-10-17,241.076
2002-10-18,239.43
2002-10-21,242.014
2002-10-22,245.216
2002-10-23,241.095
2002-10-24,241.347
2002-10-25,241.814
2002-10-28,246.491
2002-10-29,241.853
2002-10-30,244.735
2002-10-31,250.085
2002-11-01,251.848
2002-11-04,254.118
2002-11-05,254.398
2002-11-06,252.202
2002-11-07,253.03
2002-11-08,251.307
2002-11-11,249.923
2002-11-12,251.077
2002-11-13,250.292
2002-11-14,250.709
2002-11-15,251.991
2002-11-18,252.451
2002-11-19,253.016
2002-11-20,247.518
2002-11-21,250.286
2002-11-22,251.166
2002-11-25,250.887
2002-11-26,250.232
2002-11-27,250.65
2002-11-28,255.741
2002-11-29,259.846
2002-12-02,263.005
2002-12-03,260.167
2002-12-04,258.294
2002-12-05,258.846
2002-12-06,258.465
2002-12-09,255.447
2002-12-10,255.632
2002-12-11,255.359
2002-12-12,255.799
2002-12-13,256.396
2002-12-16,258.211
2002-12-17,259.257
2002-12-18,257.756
2002-12-19,255.532
2002-12-20,255.666
2002-12-23,255.967
2002-12-24,256.705
2002-12-25,256.705
2002-12-26,257.352
2002-12-27,257.892
2002-12-30,258.715
2002-12-31,261.322
2003-01-01,261.322
2003-01-02,263.112
2003-01-03,267.637
2003-01-06,268.069
2003-01-07,264.877
2003-01-08,262.868
2003-01-09,264.948
2003-01-10,266.773
2003-01-13,267.619
2003-01-14,268.432
2003-01-15,266.648
2003-01-16,266.392
2003-01-17,266.659
2003-01-20,265.897
2003-01-21,263.286
2003-01-22,260.902
2003-01-23,259.511
2003-01-24,258.534
2003-01-27,254.18
2003-01-28,252.46
2003-01-29,249.07
2003-01-30,248.072
2003-01-31,248.94
2003-02-03,250.56
2003-02-04,250.324
2003-02-05,250.147
2003-02-06,249.297
2003-02-07,246.983
2003-02-10,243.669
2003-02-11,243.414
2003-02-12,238.252
2003-02-13,239.117
2003-02-14,238.274
2003-02-17,238.096
2003-02-18,236.218
2003-02-19,235.105
2003-02-20,236.673
2003-02-21,237.198
2003-02-24,232.17
2003-02-25,224.419
2003-02-26,219.939
2003-02-27,220.019
2003-02-28,223.307
2003-03-03,226.59
2003-03-04,221.735
2003-03-05,220.668
2003-03-06,218.199
2003-03-07,215.428
2003-03-10,210.408
2003-03-11,208.192
2003-03-12,204.325
2003-03-13,209.971
2003-03-14,214.275
2003-03-17,215.297
2003-03-18,216.764
2003-03-19,219.693
2003-03-20,218.908
2003-03-21,222.916
2003-03-24,221.032
2003-03-25,224.68
2003-03-26,222.09
2003-03-27,221.025
2003-03-28,222.705
2003-03-31,220.683
2003-04-01,223.269
2003-04-02,226.55
2003-04-03,226.981
2003-04-04,228.665
2003-04-07,232.903
2003-04-08,232.34
2003-04-09,230.912
2003-04-10,233.615
2003-04-11,232.827
2003-04-14,233.719
2003-04-15,237.787
2003-04-16,239.887
2003-04-17,241.284
2003-04-18,241.284
2003-04-21,240.243
2003-04-22,242.507
2003-04-23,247.065
2003-04-24,249.117
2003-04-25,248.596
