Date,NETHERLANDS SMID VALUE SMID (Small+Mid Cap)
1994-05-31,260.582
1994-06-30,259.056
1994-07-29,269.694
1994-08-31,269.035
1994-09-30,265.95
1994-10-31,270.235
1994-11-30,258.226
1994-12-30,263.796
1995-01-31,269.992
1995-02-28,276.294
1995-03-31,274.518
1995-04-28,283.023
1995-05-31,289.874
1995-06-30,294.967
1995-07-31,303.97
1995-08-31,289.711
1995-09-29,294.101
1995-10-31,286.885
1995-11-30,284.653
1995-12-29,291.08
1996-01-31,293.907
1996-02-29,314.197
1996-03-29,324.32
1996-04-30,319.803
1996-05-31,330.892
1996-06-28,336.931
1996-07-31,332.96
1996-08-30,342.425
1996-09-30,347.848
1996-10-31,355.617
1996-11-29,368.529
1996-12-31,378.164
1997-01-31,392.68
1997-02-28,398.56
1997-03-31,410.824
1997-04-30,400.151
1997-05-30,418.322
1997-06-30,428.438
1997-07-31,441.003
1997-08-29,419.345
1997-09-30,454.047
1997-10-31,412.215
1997-11-28,389.096
1997-12-31,390.262
1998-01-30,399.687
1998-02-27,437.379
1998-03-31,448.485
1998-04-30,458.767
1998-05-29,474.325
1998-06-30,460.362
1998-07-31,462.132
1998-08-31,416.792
1998-09-30,369.01
1998-10-30,393.701
1998-11-30,384.119
1998-12-31,392.23
1999-01-29,366.265
1999-02-26,366.443
1999-03-31,370.918
1999-04-30,394.355
1999-05-31,382.581
1999-06-30,389.146
1999-07-30,400.143
1999-08-31,390.503
1999-09-30,381.199
1999-10-29,369.32
1999-11-30,350.055
1999-12-31,364.931
2000-01-31,338.782
2000-02-29,344.765
2000-03-31,349.418
2000-04-28,329.355
2000-05-31,349.925
2000-06-30,369.035
2000-07-31,365.443
2000-08-31,358.094
2000-09-29,343.56
2000-10-31,344.354
2000-11-30,343.141
2000-12-29,360.964
2001-01-31,379.734
2001-02-28,377.979
2001-03-30,338.978
2001-04-30,335.907
2001-05-31,340.548
2001-06-29,314.476
2001-07-31,307.567
2001-08-31,303.282
2001-09-28,261.751
2001-10-31,269.81
2001-11-30,281.302
2001-12-31,290.58
2002-01-31,288.895
2002-02-28,294.453
2002-03-29,318.948
2002-04-30,329.425
2002-05-31,334.507
2002-06-28,317.676
2002-07-31,289.256
2002-08-30,279.161
2002-09-30,241.6
2002-10-31,259.377
2002-11-29,269.5
2002-12-31,271.031
2003-01-31,258.189
2003-02-28,231.603
2003-03-31,228.551
2003-04-30,268.657
2003-05-30,318.49
2003-06-30,320.411
2003-07-31,325.271
2003-08-29,341.82
2003-09-30,354.57
2003-10-31,357.166
2003-11-28,373.608
2003-12-31,398.544
2004-01-30,409.526
2004-02-27,429.308
2004-03-31,429.066
2004-04-30,418.617
2004-05-31,417.116
2004-06-30,426.152
2004-07-30,419.234
2004-08-31,417.271
2004-09-30,438.049
2004-10-29,445.066
2004-11-30,494.571
2004-12-31,520.974
2005-01-31,520.073
2005-02-28,556.025
2005-03-31,540.128
2005-04-29,512.946
2005-05-31,526.492
2005-06-30,549.323
2005-07-29,577.746
2005-08-31,584.527
2005-09-30,597.23
2005-10-31,562.429
2005-11-30,576.288
2005-12-30,600.624
2006-01-31,651.528
2006-02-28,672.638
2006-03-31,708.562
2006-04-28,746.281
2006-05-31,719.549
2006-06-30,714.26
2006-07-31,725.74
2006-08-31,730.795
2006-09-29,754.132
2006-10-31,788.832
2006-11-30,813.787
2006-12-29,868.671
2007-01-31,875.247
2007-02-28,873.628
2007-03-30,913.414
2007-04-30,975.407
2007-05-31,1000.0
2007-06-29,993.525
2007-07-31,1001.323
2007-08-31,956.012
2007-09-28,980.872
2007-10-31,1047.861
2007-11-30,986.325
2007-12-31,963.283
2008-01-31,877.735
2008-02-29,954.481
2008-03-31,998.331
2008-04-30,1041.567
2008-05-30,1069.753
2008-06-30,953.513
2008-07-31,914.474
2008-08-29,901.01
2008-09-30,743.264
2008-10-31,528.35
2008-11-28,455.793
2008-12-31,488.885
2009-01-30,446.946
2009-02-27,402.316
2009-03-31,428.005
2009-04-30,504.849
2009-05-29,585.342
2009-06-30,573.289
2009-07-31,637.356
2009-08-31,715.661
2009-09-30,775.168
2009-10-30,761.155
2009-11-30,798.786
2009-12-31,810.034
2010-01-29,778.533
2010-02-26,736.057
2010-03-31,791.864
2010-04-30,792.376
2010-05-31,686.903
2010-06-30,693.085
2010-07-30,777.149
2010-08-31,728.439
2010-09-30,841.797
2010-10-29,887.951
2010-11-30,800.518
2010-12-31,906.543
2011-01-31,938.868
2011-02-28,954.767
2011-03-31,991.105
