Date,CANADA IMI VALUE IMI (Large+Mid+Small Cap)
1998-05-29,277.958
1998-06-30,267.257
1998-07-31,246.532
1998-08-31,193.733
1998-09-30,206.89
1998-10-30,221.195
1998-11-30,226.281
1998-12-31,228.69
1999-01-29,237.405
1999-02-26,225.872
1999-03-31,233.432
1999-04-30,258.08
1999-05-31,245.509
1999-06-30,250.003
1999-07-30,249.223
1999-08-31,250.4
1999-09-30,246.031
1999-10-29,247.313
1999-11-30,242.103
1999-12-31,250.439
2000-01-31,246.792
2000-02-29,246.318
2000-03-31,252.978
2000-04-28,257.28
2000-05-31,262.661
2000-06-30,271.615
2000-07-31,271.587
2000-08-31,289.739
2000-09-29,291.16
2000-10-31,291.774
2000-11-30,281.218
2000-12-29,310.512
2001-01-31,309.983
2001-02-28,301.546
2001-03-30,287.175
2001-04-30,301.024
2001-05-31,314.13
2001-06-29,307.268
2001-07-31,304.068
2001-08-31,296.565
2001-09-28,272.17
2001-10-31,266.949
2001-11-30,289.44
2001-12-31,295.287
2002-01-31,298.59
2002-02-28,298.931
2002-03-29,307.894
2002-04-30,311.189
2002-05-31,323.247
2002-06-28,304.104
2002-07-31,271.729
2002-08-30,279.685
2002-09-30,258.382
2002-10-31,267.629
2002-11-29,285.453
2002-12-31,287.521
2003-01-31,293.868
2003-02-28,302.971
2003-03-31,297.044
2003-04-30,319.856
2003-05-30,343.297
2003-06-30,358.495
2003-07-31,362.108
2003-08-29,379.435
2003-09-30,387.574
2003-10-31,421.498
2003-11-28,429.233
2003-12-31,449.336
2004-01-30,448.207
2004-02-27,453.875
2004-03-31,462.942
2004-04-30,435.074
2004-05-31,441.225
2004-06-30,454.307
2004-07-30,463.451
2004-08-31,464.252
2004-09-30,496.657
2004-10-29,529.007
2004-11-30,551.688
2004-12-31,569.585
2005-01-31,540.24
2005-02-28,570.186
2005-03-31,577.843
2005-04-29,551.123
2005-05-31,557.604
2005-06-30,588.823
2005-07-29,618.661
2005-08-31,645.009
2005-09-30,690.073
2005-10-31,647.616
2005-11-30,688.051
2005-12-30,709.5
2006-01-31,753.1
2006-02-28,760.371
2006-03-31,765.491
2006-04-28,796.734
2006-05-31,784.308
2006-06-30,760.883
2006-07-31,763.109
2006-08-31,801.822
2006-09-29,796.011
2006-10-31,824.523
2006-11-30,837.017
2006-12-29,841.511
2007-01-31,834.186
2007-02-28,842.169
2007-03-30,867.33
2007-04-30,923.403
2007-05-31,1000.0
2007-06-29,990.83
2007-07-31,978.258
2007-08-31,981.785
2007-09-28,1065.541
2007-10-31,1134.395
2007-11-30,1020.076
2007-12-31,1013.489
2008-01-31,955.58
2008-02-29,985.216
2008-03-31,932.536
2008-04-30,979.826
2008-05-30,1029.606
2008-06-30,963.355
2008-07-31,938.066
2008-08-29,926.568
2008-09-30,846.589
2008-10-31,630.551
2008-11-28,578.531
2008-12-31,546.723
2009-01-30,516.418
2009-02-27,478.917
2009-03-31,527.358
2009-04-30,619.258
2009-05-29,737.403
2009-06-30,716.937
2009-07-31,830.928
2009-08-31,835.292
2009-09-30,890.943
2009-10-30,845.975
2009-11-30,905.588
2009-12-31,941.36
2010-01-29,890.377
2010-02-26,943.784
2010-03-31,1042.436
2010-04-30,1044.194
2010-05-31,972.125
2010-06-30,922.87
2010-07-30,996.765
2010-08-31,953.188
2010-09-30,1038.833
2010-10-29,1072.466
2010-11-30,1080.151
2010-12-31,1156.035
2011-01-31,1161.213
2011-02-28,1247.464
2011-03-31,1266.325
2011-04-29,1284.181
2011-05-31,1254.326
2011-06-30,1222.054
2011-07-29,1192.544
2011-08-31,1139.664
2011-09-30,1001.947
2011-10-31,1096.809
2011-11-30,1060.622
2011-12-30,1069.544
2012-01-31,1132.837
2012-02-29,1188.182
2012-03-30,1166.44
2012-04-30,1178.71
2012-05-31,1036.209
2012-06-29,1067.653
2012-07-31,1107.125
2012-08-31,1147.547
2012-09-28,1184.702
2012-10-31,1182.118
2012-11-30,1199.378
2012-12-31,1221.547
2013-01-31,1249.163
