Date,EM (EMERGING MARKETS) SMID VALUE SMID (Small+Mid Cap)
1994-05-31,340.627
1994-06-30,343.108
1994-07-29,355.627
1994-08-31,399.684
1994-09-30,413.246
1994-10-31,416.623
1994-11-30,403.135
1994-12-30,391.414
1995-01-31,351.131
1995-02-28,353.172
1995-03-31,350.238
1995-04-28,352.186
1995-05-31,381.847
1995-06-30,384.544
1995-07-31,399.74
1995-08-31,382.455
1995-09-29,372.881
1995-10-31,358.432
1995-11-30,341.385
1995-12-29,354.844
1996-01-31,376.874
1996-02-29,377.028
1996-03-29,378.838
1996-04-30,392.354
1996-05-31,383.021
1996-06-28,380.379
1996-07-31,355.294
1996-08-30,358.1
1996-09-30,359.615
1996-10-31,349.813
1996-11-29,347.883
1996-12-31,347.927
1997-01-31,369.377
1997-02-28,388.24
1997-03-31,375.415
1997-04-30,369.579
1997-05-30,366.397
1997-06-30,375.199
1997-07-31,377.476
1997-08-29,335.488
1997-09-30,333.896
1997-10-31,280.036
1997-11-28,251.691
1997-12-31,246.164
1998-01-30,223.149
1998-02-27,246.679
1998-03-31,258.73
1998-04-30,254.988
1998-05-29,222.299
1998-06-30,197.436
1998-07-31,196.741
1998-08-31,152.186
1998-09-30,153.988
1998-10-30,166.217
1998-11-30,188.103
1998-12-31,188.188
1999-01-29,177.259
1999-02-26,175.718
1999-03-31,199.439
1999-04-30,231.355
1999-05-31,232.086
1999-06-30,251.698
1999-07-30,248.74
1999-08-31,249.954
1999-09-30,239.446
1999-10-29,239.913
1999-11-30,254.658
1999-12-31,282.303
2000-01-31,295.489
2000-02-29,287.741
2000-03-31,285.773
2000-04-28,259.944
2000-05-31,243.505
2000-06-30,244.586
2000-07-31,241.037
2000-08-31,240.052
2000-09-29,217.399
2000-10-31,199.365
2000-11-30,188.83
2000-12-29,190.415
2001-01-31,213.515
2001-02-28,204.536
2001-03-30,188.724
2001-04-30,191.643
2001-05-31,195.887
2001-06-29,193.692
2001-07-31,182.127
2001-08-31,187.469
2001-09-28,160.805
2001-10-31,167.242
2001-11-30,186.891
2001-12-31,200.436
2002-01-31,212.944
2002-02-28,217.039
2002-03-29,235.027
2002-04-30,241.094
2002-05-31,236.236
2002-06-28,221.715
2002-07-31,213.628
2002-08-30,214.854
2002-09-30,190.096
2002-10-31,199.939
2002-11-29,214.092
2002-12-31,208.659
2003-01-31,216.957
2003-02-28,210.748
2003-03-31,202.693
2003-04-30,218.42
2003-05-30,238.734
2003-06-30,253.733
2003-07-31,267.955
2003-08-29,284.257
2003-09-30,286.054
2003-10-31,314.763
2003-11-28,322.161
2003-12-31,345.517
2004-01-30,359.727
2004-02-27,383.662
2004-03-31,388.969
2004-04-30,365.698
2004-05-31,354.49
2004-06-30,360.002
2004-07-30,353.598
2004-08-31,368.22
2004-09-30,392.031
2004-10-29,405.922
2004-11-30,446.453
2004-12-31,474.634
2005-01-31,476.641
2005-02-28,517.187
2005-03-31,484.429
2005-04-29,470.952
2005-05-31,481.134
2005-06-30,497.869
2005-07-29,524.341
2005-08-31,519.854
2005-09-30,556.937
2005-10-31,522.496
2005-11-30,569.07
2005-12-30,606.923
2006-01-31,660.793
2006-02-28,663.696
2006-03-31,670.843
2006-04-28,725.261
2006-05-31,657.02
2006-06-30,633.798
2006-07-31,638.915
2006-08-31,654.129
2006-09-29,673.798
2006-10-31,712.232
2006-11-30,775.87
2006-12-29,808.616
2007-01-31,804.923
2007-02-28,823.875
2007-03-30,855.03
2007-04-30,919.943
2007-05-31,1000.0
2007-06-29,1045.625
2007-07-31,1130.494
2007-08-31,1088.988
2007-09-28,1177.698
2007-10-31,1272.088
2007-11-30,1158.371
2007-12-31,1170.968
2008-01-31,1031.18
2008-02-29,1099.658
2008-03-31,1049.742
2008-04-30,1115.085
2008-05-30,1110.977
2008-06-30,980.882
2008-07-31,972.959
2008-08-29,907.679
2008-09-30,736.144
2008-10-31,534.224
2008-11-28,504.984
2008-12-31,570.506
2009-01-30,532.315
2009-02-27,499.81
2009-03-31,578.081
2009-04-30,701.416
2009-05-29,847.791
2009-06-30,845.621
2009-07-31,960.836
2009-08-31,968.448
2009-09-30,1048.418
2009-10-30,1047.73
2009-11-30,1093.19
2009-12-31,1164.228
2010-01-29,1120.859
2010-02-26,1127.032
2010-03-31,1225.912
2010-04-30,1251.832
2010-05-31,1126.835
2010-06-30,1145.707
2010-07-30,1240.762
2010-08-31,1241.81
2010-09-30,1391.927
2010-10-29,1445.563
2010-11-30,1404.481
2010-12-31,1510.61
2011-01-31,1465.872
2011-02-28,1406.706
2011-03-31,1487.801
2011-04-29,1555.233
2011-05-31,1512.408
2011-06-30,1483.52
2011-07-29,1497.385
2011-08-31,1339.521
2011-09-30,1116.879
2011-10-31,1235.515
2011-11-30,1128.592
2011-12-30,1127.901
2012-01-31,1272.17
2012-02-29,1385.243
2012-03-30,1330.437
2012-04-30,1294.816
2012-05-31,1170.147
2012-06-29,1211.195
2012-07-31,1209.355
2012-08-31,1225.424
2012-09-28,1305.815
2012-10-31,1281.767
2012-11-30,1305.359
2012-12-31,1380.926
2013-01-31,1413.151
2013-02-28,1409.43
2013-03-29,1387.33
2013-04-30,1400.911
2013-05-31,1374.661
2013-06-28,1270.831
2013-07-31,1278.926
2013-08-30,1251.236
2013-09-30,1331.637
2013-10-31,1380.643
2013-11-29,1359.02
2013-12-31,1347.654
2014-01-31,1282.388
2014-02-28,1325.917
2014-03-31,1364.097
2014-04-30,1372.09
2014-05-30,1409.643
2014-06-30,1435.145
2014-07-31,1458.252
2014-08-29,1486.273
2014-09-30,1396.383
2014-10-31,1383.565
2014-11-28,1368.208
2014-12-31,1317.626
2015-01-30,1327.009
2015-02-27,1357.292
2015-03-31,1338.146
2015-04-30,1461.769
2015-05-29,1434.01
2015-06-30,1358.797
2015-07-31,1253.341
2015-08-31,1126.506
2015-09-30,1119.13
2015-10-30,1187.674
2015-11-30,1136.438
2015-12-31,1122.414
2016-01-29,1037.035
2016-02-29,1046.224
2016-03-31,1180.86
2016-04-29,1202.928
2016-05-31,1142.027
2016-06-30,1177.008
2016-07-29,1251.877
2016-08-31,1265.957
2016-09-30,1277.133
2016-10-31,1270.64
2016-11-30,1217.817
2016-12-30,1217.273
2017-01-31,1282.473
2017-02-28,1346.283
2017-03-31,1377.37
2017-04-28,1390.716
2017-05-31,1409.813
2017-06-30,1420.225
2017-07-31,1483.21
2017-08-31,1508.272
2017-09-29,1497.397
2017-10-31,1538.654
2017-11-30,1538.513
2017-12-29,1613.098
2018-01-31,1716.323
2018-02-28,1636.692
2018-03-30,1612.794
2018-04-30,1625.809
2018-05-31,1587.918
2018-06-29,1484.761
2018-07-31,1511.144
2018-08-31,1478.318
2018-09-28,1450.663
2018-10-31,1312.239
2018-11-30,1375.066
2018-12-31,1358.336
2019-01-31,1453.924
2019-02-28,1454.774
2019-03-29,1470.643
2019-04-30,1474.099
2019-05-31,1394.833
2019-06-28,1461.946
2019-07-31,1436.129
2019-08-30,1348.002
2019-09-30,1368.017
2019-10-31,1410.669
2019-11-29,1414.088
2019-12-31,1506.08
2020-01-31,1427.352
2020-02-28,1313.208
2020-03-31,1019.211
2020-04-30,1141.379
2020-05-29,1155.936
2020-06-30,1242.298
2020-07-31,1322.032
2020-08-31,1357.63
2020-09-30,1344.05
2020-10-30,1336.891
2020-11-30,1522.396
2020-12-31,1640.224
2021-01-29,1635.335
2021-02-26,1718.081
2021-03-31,1758.146
2021-04-30,1858.942
2021-05-31,1913.841
2021-06-30,1914.791
2021-07-30,1868.217
2021-08-31,1920.928
2021-09-30,1876.796
2021-10-29,1871.639
2021-11-30,1797.009
2021-12-31,1863.25
2022-01-31,1816.672
2022-02-28,1798.548
2022-03-31,1819.424
2022-04-29,1742.063
2022-05-31,1732.399
2022-06-30,1576.596
2022-07-29,1602.119
2022-08-31,1625.668
2022-09-30,1461.354
2022-10-31,1472.756
2022-11-30,1633.161
2022-12-30,1628.582
2023-01-31,1720.355
2023-02-28,1663.373
2023-03-31,1670.099
2023-04-28,1689.208
2023-05-31,1677.804
2023-06-30,1744.193
2023-07-31,1866.306
2023-08-31,1795.351
2023-09-29,1772.705
2023-10-31,1704.258
2023-11-30,1858.673
2023-12-29,1951.877
2024-01-31,1896.92
2024-02-29,1955.976
2024-03-29,1958.585
2024-04-30,1990.089
2024-05-31,2014.558
2024-06-28,2057.772
2024-07-31,2077.92
2024-08-30,2118.811
2024-09-30,2211.629
2024-10-31,2106.368
2024-11-29,2050.27
2024-12-31,2023.899
2025-01-31,2017.833
2025-02-28,1998.077
2025-03-31,1997.693
2025-04-30,2053.7
2025-05-30,2190.11
2025-06-30,2299.226
2025-07-31,2330.557
