Date,EM (EMERGING MARKETS) SMID VALUE SMID (Small+Mid Cap)
2001-01-01,186.81
2001-01-02,187.24
2001-01-03,187.703
2001-01-04,192.904
2001-01-05,194.539
2001-01-08,195.542
2001-01-09,197.438
2001-01-10,196.92
2001-01-11,196.897
2001-01-12,197.601
2001-01-15,198.201
2001-01-16,199.358
2001-01-17,200.161
2001-01-18,201.999
2001-01-19,204.642
2001-01-22,206.592
2001-01-23,207.017
2001-01-24,207.029
2001-01-25,207.288
2001-01-26,206.644
2001-01-29,206.004
2001-01-30,206.835
2001-01-31,209.366
2001-02-01,208.473
2001-02-02,210.421
2001-02-05,208.488
2001-02-06,208.371
2001-02-07,205.115
2001-02-08,206.654
2001-02-09,208.012
2001-02-12,208.557
2001-02-13,209.251
2001-02-14,208.957
2001-02-15,210.234
2001-02-16,208.722
2001-02-19,206.955
2001-02-20,208.461
2001-02-21,204.703
2001-02-22,200.473
2001-02-23,199.498
2001-02-26,201.689
2001-02-27,201.054
2001-02-28,200.567
2001-03-01,199.649
2001-03-02,198.043
2001-03-05,198.379
2001-03-06,199.28
2001-03-07,199.532
2001-03-08,199.485
2001-03-09,197.502
2001-03-12,192.098
2001-03-13,189.131
2001-03-14,188.136
2001-03-15,188.622
2001-03-16,187.323
2001-03-19,185.804
2001-03-20,186.627
2001-03-21,186.039
2001-03-22,183.907
2001-03-23,185.063
2001-03-26,188.174
2001-03-27,187.716
2001-03-28,187.126
2001-03-29,185.718
2001-03-30,185.18
2001-04-02,181.92
2001-04-03,178.927
2001-04-04,177.812
2001-04-05,179.404
2001-04-06,180.382
2001-04-09,179.0
2001-04-10,179.257
2001-04-11,180.668
2001-04-12,181.495
2001-04-13,182.017
2001-04-16,181.251
2001-04-17,180.828
2001-04-18,184.699
2001-04-19,185.57
2001-04-20,184.684
2001-04-23,184.735
2001-04-24,185.416
2001-04-25,185.313
2001-04-26,186.036
2001-04-27,186.655
2001-04-30,188.072
2001-05-01,188.022
2001-05-02,188.899
2001-05-03,189.442
2001-05-04,189.091
2001-05-07,189.323
2001-05-08,188.358
2001-05-09,188.116
2001-05-10,188.193
2001-05-11,188.494
2001-05-14,187.6
2001-05-15,187.265
2001-05-16,187.606
2001-05-17,190.473
2001-05-18,191.045
2001-05-21,191.167
2001-05-22,192.107
2001-05-23,193.733
2001-05-24,194.656
2001-05-25,194.152
2001-05-28,193.757
2001-05-29,193.104
2001-05-30,191.957
2001-05-31,192.328
2001-06-01,191.467
2001-06-04,192.045
2001-06-05,191.802
2001-06-06,192.927
2001-06-07,192.732
2001-06-08,194.865
2001-06-11,194.06
2001-06-12,193.576
2001-06-13,193.675
2001-06-14,192.424
2001-06-15,192.236
2001-06-18,189.625
2001-06-19,189.147
2001-06-20,188.642
2001-06-21,189.82
2001-06-22,190.482
2001-06-25,190.385
2001-06-26,189.828
2001-06-27,189.669
2001-06-28,188.812
2001-06-29,190.254
2001-07-02,189.821
2001-07-03,189.424
2001-07-04,188.065
2001-07-05,187.04
2001-07-06,184.782
2001-07-09,183.805
2001-07-10,182.753
2001-07-11,178.808
2001-07-12,180.667
2001-07-13,179.455
2001-07-16,178.374
2001-07-17,178.476
2001-07-18,178.071
2001-07-19,177.973
2001-07-20,178.205
2001-07-23,178.253
2001-07-24,177.349
2001-07-25,176.805
2001-07-26,178.943
2001-07-27,179.109
2001-07-30,179.468
2001-07-31,178.984
2001-08-01,179.379
2001-08-02,181.021
2001-08-03,182.048
2001-08-06,181.152
2001-08-07,180.841
2001-08-08,181.606
2001-08-09,180.198
2001-08-10,180.6
2001-08-13,181.701
2001-08-14,183.392
2001-08-15,183.845
2001-08-16,185.296
2001-08-17,184.497
2001-08-20,183.225
2001-08-21,183.556
2001-08-22,184.096
2001-08-23,183.9
2001-08-24,184.228
2001-08-27,185.403
2001-08-28,185.266
2001-08-29,185.462
2001-08-30,185.056
2001-08-31,184.281
2001-09-03,182.943
2001-09-04,183.39
2001-09-05,183.245
2001-09-06,182.689
2001-09-07,182.136
2001-09-10,180.481
2001-09-11,175.996
2001-09-12,171.662
2001-09-13,168.643
2001-09-14,163.066
2001-09-17,157.771
2001-09-18,159.384
2001-09-19,161.596
2001-09-20,158.356
2001-09-21,154.705
2001-09-24,156.087
2001-09-25,155.601
2001-09-26,155.946
2001-09-27,156.213
2001-09-28,158.095
2001-10-01,157.345
