Date,EM (EMERGING MARKETS) SMID VALUE SMID (Small+Mid Cap)
1994-05-31,328.778
1994-06-30,331.204
1994-07-29,343.382
1994-08-31,385.986
1994-09-30,399.125
1994-10-31,402.419
1994-11-30,389.433
1994-12-30,378.15
1995-01-31,339.325
1995-02-28,341.325
1995-03-31,338.621
1995-04-28,340.565
1995-05-31,369.394
1995-06-30,372.035
1995-07-31,386.885
1995-08-31,370.22
1995-09-29,361.07
1995-10-31,347.152
1995-11-30,330.652
1995-12-29,343.735
1996-01-31,365.165
1996-02-29,365.322
1996-03-29,367.218
1996-04-30,380.457
1996-05-31,371.53
1996-06-28,369.043
1996-07-31,344.827
1996-08-30,347.616
1996-09-30,349.115
1996-10-31,339.621
1996-11-29,337.77
1996-12-31,337.876
1997-01-31,358.836
1997-02-28,377.168
1997-03-31,364.762
1997-04-30,359.141
1997-05-30,356.221
1997-06-30,364.882
1997-07-31,367.205
1997-08-29,326.398
1997-09-30,324.866
1997-10-31,272.487
1997-11-28,244.926
1997-12-31,239.588
1998-01-30,217.225
1998-02-27,240.141
1998-03-31,251.905
1998-04-30,248.336
1998-05-29,216.573
1998-06-30,192.403
1998-07-31,191.767
1998-08-31,148.361
1998-09-30,150.131
1998-10-30,162.077
1998-11-30,183.44
1998-12-31,183.545
1999-01-29,172.97
1999-02-26,171.488
1999-03-31,194.687
1999-04-30,225.894
1999-05-31,226.733
1999-06-30,245.948
1999-07-30,243.131
1999-08-31,244.35
1999-09-30,234.094
1999-10-29,234.567
1999-11-30,249.014
1999-12-31,276.062
2000-01-31,289.042
2000-02-29,281.484
2000-03-31,279.71
2000-04-28,254.523
2000-05-31,238.49
2000-06-30,239.59
2000-07-31,236.157
2000-08-31,235.244
2000-09-29,213.068
2000-10-31,195.419
2000-11-30,185.102
2000-12-29,186.683
2001-01-31,209.366
2001-02-28,200.567
2001-03-30,185.18
2001-04-30,188.072
2001-05-31,192.328
2001-06-29,190.254
2001-07-31,178.984
2001-08-31,184.281
2001-09-28,158.095
2001-10-31,164.433
2001-11-30,183.769
2001-12-31,197.13
2002-01-31,209.446
2002-02-28,213.504
2002-03-29,231.286
2002-04-30,237.28
2002-05-31,232.57
2002-06-28,218.323
2002-07-31,210.461
2002-08-30,211.723
2002-09-30,187.359
2002-10-31,197.076
2002-11-29,211.029
2002-12-31,205.706
2003-01-31,213.901
2003-02-28,207.89
2003-03-31,200.011
2003-04-30,215.582
2003-05-30,235.669
2003-06-30,250.528
2003-07-31,264.713
2003-08-29,280.91
2003-09-30,282.714
2003-10-31,311.1
2003-11-28,318.416
2003-12-31,341.624
2004-01-30,355.787
2004-02-27,379.567
2004-03-31,384.882
2004-04-30,361.936
2004-05-31,350.914
2004-06-30,356.475
2004-07-30,350.354
2004-08-31,364.989
2004-09-30,388.668
2004-10-29,402.468
2004-11-30,442.665
2004-12-31,470.694
2005-01-31,472.873
2005-02-28,513.255
2005-03-31,480.877
2005-04-29,467.617
2005-05-31,477.924
2005-06-30,494.751
2005-07-29,521.388
2005-08-31,517.269
2005-09-30,554.227
2005-10-31,519.994
2005-11-30,566.382
2005-12-30,604.292
2006-01-31,658.171
2006-02-28,661.197
2006-03-31,668.452
2006-04-28,722.749
2006-05-31,654.899
2006-06-30,631.994
2006-07-31,637.403
2006-08-31,653.016
2006-09-29,672.71
2006-10-31,711.112
2006-11-30,774.681
2006-12-29,807.507
2007-01-31,804.07
2007-02-28,823.292
2007-03-30,854.547
2007-04-30,919.576
2007-05-31,1000.0
2007-06-29,1045.769
2007-07-31,1131.455
2007-08-31,1090.362
2007-09-28,1179.333
2007-10-31,1273.93
2007-11-30,1160.129
2007-12-31,1172.848
2008-01-31,1033.115
2008-02-29,1102.054
2008-03-31,1052.171
2008-04-30,1117.878
2008-05-30,1114.089
2008-06-30,983.756
2008-07-31,976.688
2008-08-29,911.835
2008-09-30,739.682
2008-10-31,536.905
2008-11-28,507.551
2008-12-31,573.476
2009-01-30,535.19
2009-02-27,502.744
2009-03-31,581.603
2009-04-30,705.844
2009-05-29,853.434
2009-06-30,851.432
2009-07-31,967.924
2009-08-31,975.946
2009-09-30,1056.681
2009-10-30,1056.055
2009-11-30,1101.999
2009-12-31,1173.713
2010-01-29,1130.126
2010-02-26,1136.702
2010-03-31,1236.635
2010-04-30,1263.046
2010-05-31,1137.246
2010-06-30,1156.432
2010-07-30,1253.33
2010-08-31,1254.835
2010-09-30,1406.647
2010-10-29,1460.878
2010-11-30,1419.412
2010-12-31,1526.866
2011-01-31,1481.811
2011-02-28,1422.418
2011-03-31,1504.694
2011-04-29,1573.155
2011-05-31,1530.323
2011-06-30,1501.392
2011-07-29,1517.028
2011-08-31,1358.113
2011-09-30,1132.682
2011-10-31,1253.104
2011-11-30,1144.682
2011-12-30,1144.064
2012-01-31,1290.433
2012-02-29,1405.79
2012-03-30,1350.376
2012-04-30,1314.434
2012-05-31,1188.359
2012-06-29,1230.493
2012-07-31,1229.907
2012-08-31,1247.136
2012-09-28,1329.116
2012-10-31,1304.854
2012-11-30,1328.956
2012-12-31,1406.025
2013-01-31,1438.972
2013-02-28,1435.593
2013-03-29,1413.567
2013-04-30,1427.686
2013-05-31,1401.716
2013-06-28,1296.173
2013-07-31,1305.664
2013-08-30,1278.111
2013-09-30,1360.453
2013-10-31,1410.782
2013-11-29,1388.81
2013-12-31,1377.333
2014-01-31,1310.831
2014-02-28,1355.795
2014-03-31,1395.334
2014-04-30,1403.764
2014-05-30,1442.679
2014-06-30,1469.226
2014-07-31,1494.483
2014-08-29,1524.333
2014-09-30,1432.515
2014-10-31,1419.464
2014-11-28,1403.848
2014-12-31,1352.684
2015-01-30,1362.467
2015-02-27,1393.668
2015-03-31,1374.366
2015-04-30,1501.672
2015-05-29,1473.678
2015-06-30,1396.898
2015-07-31,1289.776
2015-08-31,1160.085
2015-09-30,1152.808
2015-10-30,1223.473
2015-11-30,1170.782
2015-12-31,1157.064
2016-01-29,1069.14
2016-02-29,1078.713
2016-03-31,1217.862
2016-04-29,1240.828
2016-05-31,1178.448
2016-06-30,1214.96
