Date,EM (EMERGING MARKETS) SMID VALUE SMID (Small+Mid Cap)
2001-01-01,190.545
2001-01-02,190.974
2001-01-03,191.444
2001-01-04,196.748
2001-01-05,198.415
2001-01-08,199.428
2001-01-09,201.36
2001-01-10,200.832
2001-01-11,200.809
2001-01-12,201.526
2001-01-15,202.138
2001-01-16,203.318
2001-01-17,204.135
2001-01-18,206.009
2001-01-19,208.704
2001-01-22,210.69
2001-01-23,211.124
2001-01-24,211.136
2001-01-25,211.401
2001-01-26,210.743
2001-01-29,210.088
2001-01-30,210.934
2001-01-31,213.515
2001-02-01,212.605
2001-02-02,214.591
2001-02-05,212.619
2001-02-06,212.499
2001-02-07,209.178
2001-02-08,210.748
2001-02-09,212.133
2001-02-12,212.689
2001-02-13,213.397
2001-02-14,213.097
2001-02-15,214.398
2001-02-16,212.856
2001-02-19,211.054
2001-02-20,212.589
2001-02-21,208.757
2001-02-22,204.442
2001-02-23,203.447
2001-02-26,205.68
2001-02-27,205.033
2001-02-28,204.536
2001-03-01,203.6
2001-03-02,201.962
2001-03-05,202.305
2001-03-06,203.224
2001-03-07,203.468
2001-03-08,203.407
2001-03-09,201.386
2001-03-12,195.873
2001-03-13,192.845
2001-03-14,191.826
2001-03-15,192.322
2001-03-16,190.995
2001-03-19,189.434
2001-03-20,190.273
2001-03-21,189.657
2001-03-22,187.484
2001-03-23,188.66
2001-03-26,191.794
2001-03-27,191.326
2001-03-28,190.713
2001-03-29,189.278
2001-03-30,188.724
2001-04-02,185.399
2001-04-03,182.347
2001-04-04,181.209
2001-04-05,182.831
2001-04-06,183.827
2001-04-09,182.418
2001-04-10,182.684
2001-04-11,184.118
2001-04-12,184.959
2001-04-13,185.491
2001-04-16,184.71
2001-04-17,184.275
2001-04-18,188.218
2001-04-19,189.105
2001-04-20,188.201
2001-04-23,188.252
2001-04-24,188.946
2001-04-25,188.839
2001-04-26,189.571
2001-04-27,190.201
2001-04-30,191.643
2001-05-01,191.592
2001-05-02,192.478
2001-05-03,193.031
2001-05-04,192.671
2001-05-07,192.899
2001-05-08,191.914
2001-05-09,191.668
2001-05-10,191.739
2001-05-11,192.046
2001-05-14,191.129
2001-05-15,190.787
2001-05-16,191.133
2001-05-17,194.048
2001-05-18,194.621
2001-05-21,194.734
2001-05-22,195.685
2001-05-23,197.339
2001-05-24,198.278
2001-05-25,197.764
2001-05-28,197.354
2001-05-29,196.686
2001-05-30,195.518
2001-05-31,195.887
2001-06-01,195.01
2001-06-04,195.595
2001-06-05,195.343
2001-06-06,196.482
2001-06-07,196.284
2001-06-08,198.456
2001-06-11,197.631
2001-06-12,197.136
2001-06-13,197.221
2001-06-14,195.947
2001-06-15,195.753
2001-06-18,193.083
2001-06-19,192.586
2001-06-20,192.066
2001-06-21,193.263
2001-06-22,193.937
2001-06-25,193.836
2001-06-26,193.268
2001-06-27,193.106
2001-06-28,192.225
2001-06-29,193.692
2001-07-02,193.239
2001-07-03,192.83
2001-07-04,191.44
2001-07-05,190.396
2001-07-06,188.096
2001-07-09,187.097
2001-07-10,186.01
2001-07-11,181.992
2001-07-12,183.881
2001-07-13,182.645
2001-07-16,181.533
2001-07-17,181.635
2001-07-18,181.223
2001-07-19,181.123
2001-07-20,181.359
2001-07-23,181.405
2001-07-24,180.482
2001-07-25,179.924
2001-07-26,182.098
2001-07-27,182.262
2001-07-30,182.626
2001-07-31,182.127
2001-08-01,182.528
2001-08-02,184.189
2001-08-03,185.232
2001-08-06,184.32
2001-08-07,183.999
2001-08-08,184.776
