Date,IRELAND SMALL VALUE Small Cap
2001-01-01,144.352
2001-01-02,143.409
2001-01-03,137.9
2001-01-04,140.819
2001-01-05,141.561
2001-01-08,142.027
2001-01-09,140.507
2001-01-10,138.843
2001-01-11,141.96
2001-01-12,142.186
2001-01-15,140.905
2001-01-16,140.941
2001-01-17,140.657
2001-01-18,142.668
2001-01-19,141.952
2001-01-22,142.322
2001-01-23,144.52
2001-01-24,140.812
2001-01-25,143.785
2001-01-26,140.555
2001-01-29,142.13
2001-01-30,139.94
2001-01-31,140.006
2001-02-01,143.694
2001-02-02,141.287
2001-02-05,140.606
2001-02-06,140.173
2001-02-07,142.758
2001-02-08,141.307
2001-02-09,141.985
2001-02-12,141.687
2001-02-13,140.22
2001-02-14,140.778
2001-02-15,139.275
2001-02-16,143.099
2001-02-19,142.747
2001-02-20,143.31
2001-02-21,143.431
2001-02-22,143.589
2001-02-23,145.172
2001-02-26,143.398
2001-02-27,145.945
2001-02-28,144.773
2001-03-01,145.232
2001-03-02,143.352
2001-03-05,146.136
2001-03-06,144.657
2001-03-07,146.788
2001-03-08,146.985
2001-03-09,146.407
2001-03-12,144.071
2001-03-13,141.442
2001-03-14,139.438
2001-03-15,137.689
2001-03-16,134.354
2001-03-19,133.858
2001-03-20,134.511
2001-03-21,130.371
2001-03-22,122.542
2001-03-23,125.75
2001-03-26,126.703
2001-03-27,128.305
2001-03-28,126.619
2001-03-29,123.869
2001-03-30,122.702
2001-04-02,121.999
2001-04-03,121.772
2001-04-04,122.973
2001-04-05,121.787
2001-04-06,123.974
2001-04-09,125.319
2001-04-10,125.51
2001-04-11,126.874
2001-04-12,128.465
2001-04-13,128.465
2001-04-16,127.15
2001-04-17,127.671
2001-04-18,125.857
2001-04-19,128.82
2001-04-20,131.221
2001-04-23,130.251
2001-04-24,128.823
2001-04-25,130.527
2001-04-26,131.504
2001-04-27,131.733
2001-04-30,131.333
2001-05-01,132.618
2001-05-02,132.799
2001-05-03,133.655
2001-05-04,135.58
2001-05-07,135.027
2001-05-08,134.644
2001-05-09,134.991
2001-05-10,135.237
2001-05-11,133.732
2001-05-14,134.58
2001-05-15,134.134
2001-05-16,135.95
2001-05-17,136.688
2001-05-18,135.924
2001-05-21,135.687
2001-05-22,135.726
2001-05-23,137.965
2001-05-24,134.947
2001-05-25,133.762
2001-05-28,132.872
2001-05-29,132.823
2001-05-30,132.805
2001-05-31,131.382
2001-06-01,132.705
2001-06-04,132.885
2001-06-05,134.222
2001-06-06,135.523
2001-06-07,135.308
2001-06-08,135.01
2001-06-11,132.528
2001-06-12,134.486
2001-06-13,135.207
2001-06-14,136.44
2001-06-15,136.831
2001-06-18,138.699
2001-06-19,137.089
2001-06-20,136.278
2001-06-21,138.348
2001-06-22,137.65
2001-06-25,139.434
2001-06-26,137.628
2001-06-27,138.116
2001-06-28,135.065
2001-06-29,134.925
2001-07-02,135.272
2001-07-03,134.568
2001-07-04,134.861
2001-07-05,133.036
2001-07-06,135.19
2001-07-09,135.907
2001-07-10,135.608
2001-07-11,135.894
2001-07-12,135.334
2001-07-13,136.626
2001-07-16,137.485
2001-07-17,136.049
2001-07-18,139.485
2001-07-19,138.46
2001-07-20,138.988
2001-07-23,138.687
2001-07-24,139.05
2001-07-25,138.869
2001-07-26,137.34
2001-07-27,138.31
2001-07-30,138.513
2001-07-31,136.445
2001-08-01,137.169
2001-08-02,138.646
2001-08-03,138.646
2001-08-06,137.363
2001-08-07,137.877
2001-08-08,138.283
2001-08-09,137.789
2001-08-10,139.479
2001-08-13,139.636
2001-08-14,139.643
2001-08-15,143.864
2001-08-16,143.304
2001-08-17,141.574
2001-08-20,141.944
2001-08-21,139.601
2001-08-22,141.008
2001-08-23,140.986
2001-08-24,139.781
2001-08-27,140.358
2001-08-28,141.273
2001-08-29,141.519
2001-08-30,140.85
2001-08-31,140.927
2001-09-03,142.589
2001-09-04,140.67
2001-09-05,138.845
2001-09-06,137.082
2001-09-07,138.639
2001-09-10,134.164
