Date,IRELAND SMALL VALUE Small Cap
1994-05-31,47.184
1994-06-30,44.716
1994-07-29,47.37
1994-08-31,49.788
1994-09-30,51.089
1994-10-31,52.478
1994-11-30,49.972
1994-12-30,49.721
1995-01-31,49.328
1995-02-28,51.307
1995-03-31,52.761
1995-04-28,53.897
1995-05-31,55.19
1995-06-30,59.033
1995-07-31,59.702
1995-08-31,60.858
1995-09-29,63.452
1995-10-31,62.562
1995-11-30,61.65
1995-12-29,64.082
1996-01-31,65.217
1996-02-29,66.438
1996-03-29,68.415
1996-04-30,68.848
1996-05-31,72.389
1996-06-28,76.296
1996-07-31,71.397
1996-08-30,74.429
1996-09-30,78.151
1996-10-31,81.877
1996-11-29,85.045
1996-12-31,86.318
1997-01-31,86.12
1997-02-28,96.167
1997-03-31,95.385
1997-04-30,93.057
1997-05-30,100.581
1997-06-30,101.58
1997-07-31,105.634
1997-08-29,104.605
1997-09-30,104.143
1997-10-31,106.773
1997-11-28,106.94
1997-12-31,110.458
1998-01-30,119.043
1998-02-27,137.816
1998-03-31,142.003
1998-04-30,154.071
1998-05-29,147.365
1998-06-30,138.658
1998-07-31,140.401
1998-08-31,116.125
1998-09-30,123.3
1998-10-30,127.143
1998-11-30,131.728
1998-12-31,134.205
1999-01-29,133.8
1999-02-26,135.726
1999-03-31,132.76
1999-04-30,138.167
1999-05-31,131.373
1999-06-30,121.132
1999-07-30,126.93
1999-08-31,128.042
1999-09-30,124.34
1999-10-29,117.739
1999-11-30,125.48
1999-12-31,133.682
2000-01-31,142.849
2000-02-29,148.084
2000-03-31,141.029
2000-04-28,132.855
2000-05-31,131.672
2000-06-30,130.072
2000-07-31,128.494
2000-08-31,131.013
2000-09-29,128.82
2000-10-31,126.511
2000-11-30,122.827
2000-12-29,142.235
2001-01-31,137.953
2001-02-28,142.649
2001-03-30,120.903
2001-04-30,129.415
2001-05-31,129.562
2001-06-29,133.106
2001-07-31,134.657
2001-08-31,139.123
2001-09-28,113.012
2001-10-31,116.632
2001-11-30,126.984
2001-12-31,135.12
2002-01-31,129.073
2002-02-28,131.135
2002-03-29,142.007
2002-04-30,154.342
2002-05-31,161.081
2002-06-28,161.72
2002-07-31,148.294
2002-08-30,154.11
2002-09-30,133.747
2002-10-31,138.138
2002-11-29,148.635
2002-12-31,153.506
2003-01-31,153.182
2003-02-28,142.662
2003-03-31,151.28
2003-04-30,161.496
2003-05-30,184.577
2003-06-30,182.64
2003-07-31,188.099
2003-08-29,184.069
2003-09-30,204.378
2003-10-31,221.937
2003-11-28,237.012
2003-12-31,258.078
2004-01-30,284.411
2004-02-27,324.674
2004-03-31,368.898
2004-04-30,383.68
2004-05-31,397.162
2004-06-30,401.521
2004-07-30,389.036
2004-08-31,401.053
2004-09-30,417.964
2004-10-29,447.869
2004-11-30,487.462
2004-12-31,513.022
2005-01-31,507.532
2005-02-28,535.652
2005-03-31,525.426
2005-04-29,519.936
2005-05-31,529.872
2005-06-30,546.175
2005-07-29,559.423
2005-08-31,587.744
2005-09-30,603.685
2005-10-31,589.465
2005-11-30,575.58
2005-12-30,622.669
2006-01-31,649.268
2006-02-28,663.078
2006-03-31,679.609
2006-04-28,702.608
2006-05-31,691.859
2006-06-30,685.807
2006-07-31,694.023
2006-08-31,740.287
2006-09-29,727.614
2006-10-31,794.223
2006-11-30,861.095
2006-12-29,946.293
2007-01-31,906.479
2007-02-28,969.805
2007-03-30,1018.39
2007-04-30,984.994
2007-05-31,1000.0
2007-06-29,1012.222
2007-07-31,966.15
2007-08-31,930.524
2007-09-28,919.291
2007-10-31,985.342
2007-11-30,925.105
2007-12-31,964.355
2008-01-31,991.966
2008-02-29,1001.862
2008-03-31,1013.863
2008-04-30,960.471
2008-05-30,995.487
2008-06-30,746.458
2008-07-31,699.842
2008-08-29,653.647
2008-09-30,517.38
2008-10-31,311.852
2008-11-28,296.842
2008-12-31,335.374
2009-01-30,241.648
2009-02-27,179.209
2009-03-31,266.634
2009-04-30,407.151
2009-05-29,652.676
2009-06-30,678.527
2009-07-31,726.409
2009-08-31,968.055
2009-09-30,1163.326
2009-10-30,823.226
2009-11-30,752.245
2009-12-31,706.506
2010-01-29,672.029
2010-02-26,588.894
2010-03-31,703.234
2010-04-30,740.895
2010-05-31,542.815
2010-06-30,545.293
2010-07-30,607.186
2010-08-31,551.023
2010-09-30,586.164
2010-10-29,578.415
2010-11-30,512.476
2010-12-31,574.259
2011-01-31,582.087
2011-02-28,622.645
2011-03-31,589.714
2011-04-29,631.967
2011-05-31,605.519
2011-06-30,579.213
2011-07-29,544.892
2011-08-31,479.938
2011-09-30,420.969
2011-10-31,485.072
2011-11-30,442.878
2011-12-30,405.48
2012-01-31,489.398
2012-02-29,580.613
2012-03-30,553.992
2012-04-30,535.602
2012-05-31,440.999
2012-06-29,464.915
