Date,IRELAND SMALL VALUE Small Cap
2001-01-01,142.235
2001-01-02,141.306
2001-01-03,135.878
2001-01-04,138.754
2001-01-05,139.485
2001-01-08,139.944
2001-01-09,138.446
2001-01-10,136.807
2001-01-11,139.878
2001-01-12,140.101
2001-01-15,138.838
2001-01-16,138.874
2001-01-17,138.595
2001-01-18,140.575
2001-01-19,139.87
2001-01-22,140.235
2001-01-23,142.401
2001-01-24,138.747
2001-01-25,141.676
2001-01-26,138.494
2001-01-29,140.045
2001-01-30,137.887
2001-01-31,137.953
2001-02-01,141.586
2001-02-02,139.215
2001-02-05,138.544
2001-02-06,138.118
2001-02-07,140.664
2001-02-08,139.235
2001-02-09,139.902
2001-02-12,139.609
2001-02-13,138.164
2001-02-14,138.713
2001-02-15,137.232
2001-02-16,141.001
2001-02-19,140.654
2001-02-20,141.209
2001-02-21,141.328
2001-02-22,141.483
2001-02-23,143.043
2001-02-26,141.295
2001-02-27,143.804
2001-02-28,142.649
2001-03-01,143.102
2001-03-02,141.249
2001-03-05,143.992
2001-03-06,142.535
2001-03-07,144.635
2001-03-08,144.83
2001-03-09,144.26
2001-03-12,141.958
2001-03-13,139.368
2001-03-14,137.393
2001-03-15,135.67
2001-03-16,132.383
2001-03-19,131.895
2001-03-20,132.539
2001-03-21,128.459
2001-03-22,120.745
2001-03-23,123.906
2001-03-26,124.845
2001-03-27,126.423
2001-03-28,124.762
2001-03-29,122.052
2001-03-30,120.903
2001-04-02,120.21
2001-04-03,119.986
2001-04-04,121.169
2001-04-05,120.001
2001-04-06,122.156
2001-04-09,123.481
2001-04-10,123.67
2001-04-11,125.021
2001-04-12,126.589
2001-04-13,126.589
2001-04-16,125.293
2001-04-17,125.806
2001-04-18,124.019
2001-04-19,126.938
2001-04-20,129.304
2001-04-23,128.348
2001-04-24,126.942
2001-04-25,128.621
2001-04-26,129.584
2001-04-27,129.809
2001-04-30,129.415
2001-05-01,130.681
2001-05-02,130.86
2001-05-03,131.703
2001-05-04,133.6
2001-05-07,133.055
2001-05-08,132.678
2001-05-09,133.042
2001-05-10,133.285
2001-05-11,131.801
2001-05-14,132.637
2001-05-15,132.197
2001-05-16,133.987
2001-05-17,134.714
2001-05-18,133.962
2001-05-21,133.728
2001-05-22,133.766
2001-05-23,136.038
2001-05-24,133.063
2001-05-25,131.894
2001-05-28,131.017
2001-05-29,130.968
2001-05-30,130.965
2001-05-31,129.562
2001-06-01,130.866
2001-06-04,131.044
2001-06-05,132.362
2001-06-06,133.646
2001-06-07,133.433
2001-06-08,133.14
2001-06-11,130.692
2001-06-12,132.623
2001-06-13,133.376
2001-06-14,134.592
2001-06-15,134.978
2001-06-18,136.821
2001-06-19,135.232
2001-06-20,134.44
2001-06-21,136.482
2001-06-22,135.794
2001-06-25,137.554
2001-06-26,135.772
2001-06-27,136.254
2001-06-28,133.243
2001-06-29,133.106
2001-07-02,133.448
2001-07-03,132.754
2001-07-04,133.043
2001-07-05,131.242
2001-07-06,133.367
2001-07-09,134.074
2001-07-10,133.779
2001-07-11,134.074
2001-07-12,133.521
2001-07-13,134.797
2001-07-16,135.644
2001-07-17,134.226
2001-07-18,137.617
2001-07-19,136.605
2001-07-20,137.127
2001-07-23,136.83
2001-07-24,137.187
2001-07-25,137.049
2001-07-26,135.54
2001-07-27,136.497
2001-07-30,136.698
2001-07-31,134.657
2001-08-01,135.371
2001-08-02,136.828
2001-08-03,136.828
2001-08-06,135.562
2001-08-07,136.069
2001-08-08,136.512
2001-08-09,136.025
2001-08-10,137.693
2001-08-13,137.848
2001-08-14,137.855
2001-08-15,142.022
2001-08-16,141.47
2001-08-17,139.762
2001-08-20,140.127
2001-08-21,137.813
2001-08-22,139.202
2001-08-23,139.181
2001-08-24,137.991
2001-08-27,138.561
2001-08-28,139.464
2001-08-29,139.707
2001-08-30,139.046
2001-08-31,139.123
2001-09-03,140.763
2001-09-04,138.869
2001-09-05,137.067
2001-09-06,135.327
2001-09-07,136.864
2001-09-10,132.446
2001-09-11,127.01
2001-09-12,125.813
2001-09-13,128.409
2001-09-14,130.416
2001-09-17,124.606
2001-09-18,125.482
2001-09-19,121.739
2001-09-20,114.19
2001-09-21,107.16
2001-09-24,112.471
2001-09-25,114.249
2001-09-26,114.785
2001-09-27,112.626
2001-09-28,113.012
2001-10-01,112.921
2001-10-02,111.968
2001-10-03,111.738
2001-10-04,113.023
2001-10-05,114.351
2001-10-08,112.786
2001-10-09,113.697
2001-10-10,112.952
2001-10-11,113.819
2001-10-12,115.68
2001-10-15,114.964
2001-10-16,116.151
2001-10-17,117.162
2001-10-18,117.691
2001-10-19,115.086
2001-10-22,115.296
2001-10-23,117.999
2001-10-24,117.171
2001-10-25,117.275
2001-10-26,116.724
2001-10-29,118.458
2001-10-30,118.145
2001-10-31,116.632
2001-11-01,117.38
2001-11-02,117.242
2001-11-05,118.661
2001-11-06,121.438
2001-11-07,120.57
2001-11-08,119.175
2001-11-09,118.006
2001-11-12,118.748
2001-11-13,118.45
2001-11-14,119.832
2001-11-15,122.409
2001-11-16,124.143
2001-11-19,124.406
2001-11-20,126.519
2001-11-21,123.134
2001-11-22,125.9
2001-11-23,127.395
2001-11-26,128.613
2001-11-27,128.203
2001-11-28,128.442
2001-11-29,126.163
2001-11-30,126.984
2001-12-03,126.695
2001-12-04,128.105
