Date,IRELAND SMALL VALUE Small Cap
1994-05-31,47.886
1994-06-30,45.381
1994-07-29,48.075
1994-08-31,50.529
1994-09-30,51.849
1994-10-31,53.259
1994-11-30,50.715
1994-12-30,50.461
1995-01-31,50.062
1995-02-28,52.071
1995-03-31,53.546
1995-04-28,54.699
1995-05-31,56.012
1995-06-30,59.911
1995-07-31,60.591
1995-08-31,61.764
1995-09-29,64.397
1995-10-31,63.493
1995-11-30,62.567
1995-12-29,65.036
1996-01-31,66.188
1996-02-29,67.427
1996-03-29,69.433
1996-04-30,69.873
1996-05-31,73.466
1996-06-28,77.431
1996-07-31,72.459
1996-08-30,75.537
1996-09-30,79.315
1996-10-31,83.095
1996-11-29,86.31
1996-12-31,87.603
1997-01-31,87.401
1997-02-28,97.598
1997-03-31,96.805
1997-04-30,94.442
1997-05-30,102.078
1997-06-30,103.092
1997-07-31,107.206
1997-08-29,106.162
1997-09-30,105.693
1997-10-31,108.362
1997-11-28,108.532
1997-12-31,112.102
1998-01-30,120.815
1998-02-27,139.867
1998-03-31,144.116
1998-04-30,156.364
1998-05-29,149.558
1998-06-30,140.721
1998-07-31,142.49
1998-08-31,117.854
1998-09-30,125.136
1998-10-30,129.035
1998-11-30,133.689
1998-12-31,136.203
1999-01-29,135.791
1999-02-26,137.746
1999-03-31,134.736
1999-04-30,140.223
1999-05-31,133.329
1999-06-30,122.935
1999-07-30,128.819
1999-08-31,129.948
1999-09-30,126.19
1999-10-29,119.491
1999-11-30,127.348
1999-12-31,135.671
2000-01-31,144.975
2000-02-29,150.288
2000-03-31,143.128
2000-04-28,134.832
2000-05-31,133.632
2000-06-30,132.007
2000-07-31,130.406
2000-08-31,132.963
2000-09-29,130.737
2000-10-31,128.394
2000-11-30,124.655
2000-12-29,144.352
2001-01-31,140.006
2001-02-28,144.773
2001-03-30,122.702
2001-04-30,131.333
2001-05-31,131.382
2001-06-29,134.925
2001-07-31,136.445
2001-08-31,140.927
2001-09-28,114.478
2001-10-31,118.144
2001-11-30,128.631
2001-12-31,136.872
2002-01-31,130.747
2002-02-28,132.836
2002-03-29,143.849
2002-04-30,156.344
2002-05-31,163.171
2002-06-28,163.817
2002-07-31,150.217
2002-08-30,156.109
2002-09-30,135.482
2002-10-31,139.93
2002-11-29,150.563
2002-12-31,155.497
2003-01-31,155.169
2003-02-28,144.513
2003-03-31,153.242
2003-04-30,163.591
2003-05-30,186.971
2003-06-30,185.009
2003-07-31,190.539
2003-08-29,186.457
2003-09-30,207.029
2003-10-31,224.816
2003-11-28,240.086
2003-12-31,261.425
2004-01-30,288.1
2004-02-27,328.885
2004-03-31,373.682
2004-04-30,388.656
2004-05-31,402.313
2004-06-30,406.728
2004-07-30,394.081
2004-08-31,406.254
2004-09-30,423.385
2004-10-29,453.678
2004-11-30,493.784
2004-12-31,519.676
2005-01-31,514.114
2005-02-28,542.6
2005-03-31,532.241
2005-04-29,526.679
2005-05-31,536.745
2005-06-30,553.259
2005-07-29,566.306
2005-08-31,594.975
2005-09-30,610.479
2005-10-31,595.696
2005-11-30,580.917
2005-12-30,628.443
2006-01-31,655.29
2006-02-28,668.832
2006-03-31,685.506
2006-04-28,707.814
2006-05-31,695.08
2006-06-30,688.773
2006-07-31,697.025
2006-08-31,743.335
2006-09-29,729.914
2006-10-31,796.585
2006-11-30,863.113
2006-12-29,947.951
2007-01-31,908.067
2007-02-28,971.504
