Date,WORLD SMALL CAP Small Cap
2001-01-01,100.0
2001-01-02,98.884
2001-01-03,99.861
2001-01-04,99.453
2001-01-05,99.015
2001-01-08,98.926
2001-01-09,98.28
2001-01-10,98.793
2001-01-11,99.134
2001-01-12,99.613
2001-01-15,99.676
2001-01-16,100.563
2001-01-17,100.602
2001-01-18,101.511
2001-01-19,101.449
2001-01-22,101.627
2001-01-23,102.562
2001-01-24,101.838
2001-01-25,102.124
2001-01-26,101.926
2001-01-29,102.725
2001-01-30,103.269
2001-01-31,103.721
2001-02-01,104.697
2001-02-02,104.087
2001-02-05,104.172
2001-02-06,104.148
2001-02-07,104.054
2001-02-08,103.081
2001-02-09,102.629
2001-02-12,103.535
2001-02-13,103.424
2001-02-14,103.305
2001-02-15,103.431
2001-02-16,102.999
2001-02-19,102.815
2001-02-20,102.22
2001-02-21,101.172
2001-02-22,100.131
2001-02-23,100.412
2001-02-26,101.484
2001-02-27,101.422
2001-02-28,100.72
2001-03-01,100.579
2001-03-02,100.587
2001-03-05,100.481
2001-03-06,101.519
2001-03-07,101.77
2001-03-08,101.91
2001-03-09,101.253
2001-03-12,98.907
2001-03-13,97.809
2001-03-14,96.336
2001-03-15,96.005
2001-03-16,94.553
2001-03-19,95.036
2001-03-20,94.753
2001-03-21,94.164
2001-03-22,92.057
2001-03-23,94.03
2001-03-26,95.461
2001-03-27,96.133
2001-03-28,95.381
2001-03-29,94.574
2001-03-30,95.214
2001-04-02,94.125
2001-04-03,93.074
2001-04-04,93.598
2001-04-05,95.711
2001-04-06,95.345
2001-04-09,95.576
2001-04-10,96.347
2001-04-11,96.553
2001-04-12,97.73
2001-04-13,97.869
2001-04-16,97.294
2001-04-17,97.587
2001-04-18,98.63
2001-04-19,99.875
2001-04-20,99.89
2001-04-23,99.585
2001-04-24,99.943
2001-04-25,101.084
2001-04-26,101.999
2001-04-27,102.262
2001-04-30,102.762
2001-05-01,104.121
2001-05-02,104.371
2001-05-03,104.339
2001-05-04,104.79
2001-05-07,104.515
2001-05-08,104.091
2001-05-09,103.664
2001-05-10,103.925
2001-05-11,103.493
2001-05-14,102.963
2001-05-15,103.43
2001-05-16,103.823
2001-05-17,104.957
2001-05-18,104.985
2001-05-21,106.082
2001-05-22,106.107
2001-05-23,105.658
2001-05-24,105.675
2001-05-25,105.545
2001-05-28,105.461
2001-05-29,105.103
2001-05-30,104.061
2001-05-31,103.934
2001-06-01,104.456
2001-06-04,105.003
2001-06-05,105.656
2001-06-06,105.259
2001-06-07,105.719
2001-06-08,105.528
2001-06-11,104.818
2001-06-12,104.174
2001-06-13,104.436
2001-06-14,103.794
2001-06-15,103.178
2001-06-18,102.415
2001-06-19,102.103
2001-06-20,101.698
2001-06-21,102.176
2001-06-22,101.97
2001-06-25,102.03
2001-06-26,102.549
2001-06-27,102.437
2001-06-28,102.155
2001-06-29,103.708
2001-07-02,102.666
2001-07-03,102.607
2001-07-04,102.315
2001-07-05,101.583
2001-07-06,100.461
2001-07-09,100.136
2001-07-10,100.317
2001-07-11,99.964
2001-07-12,100.934
2001-07-13,101.103
2001-07-16,100.643
2001-07-17,100.58
2001-07-18,100.744
2001-07-19,101.276
2001-07-20,101.369
2001-07-23,100.008
2001-07-24,99.607
2001-07-25,99.759
2001-07-26,100.219
2001-07-27,100.32
2001-07-30,99.878
2001-07-31,100.279
2001-08-01,101.024
2001-08-02,101.908
2001-08-03,101.762
2001-08-06,101.151
2001-08-07,100.981
2001-08-08,100.389
2001-08-09,100.233
2001-08-10,100.708
2001-08-13,100.607
2001-08-14,101.299
2001-08-15,102.235
2001-08-16,102.402
2001-08-17,101.968
2001-08-20,101.521
2001-08-21,101.461
2001-08-22,102.274
2001-08-23,101.557
2001-08-24,102.029
2001-08-27,101.958
2001-08-28,101.341
2001-08-29,101.258
2001-08-30,100.414
2001-08-31,100.08
2001-09-03,99.272
2001-09-04,99.026
2001-09-05,98.144
2001-09-06,97.259
2001-09-07,96.447
2001-09-10,94.416
2001-09-11,93.623
2001-09-12,91.516
2001-09-13,92.08
2001-09-14,92.284
2001-09-17,88.559
2001-09-18,88.16
2001-09-19,87.667
2001-09-20,85.077
2001-09-21,82.655
2001-09-24,84.371
2001-09-25,85.5
2001-09-26,85.269
2001-09-27,85.251
2001-09-28,86.986
2001-10-01,86.297
2001-10-02,86.902
2001-10-03,88.434
2001-10-04,89.775
2001-10-05,89.605
2001-10-08,89.058
2001-10-09,88.736
2001-10-10,90.248
2001-10-11,92.311
2001-10-12,92.308
2001-10-15,92.358
2001-10-16,93.342
2001-10-17,92.657
2001-10-18,91.637
2001-10-19,91.775
2001-10-22,92.364
2001-10-23,92.494
2001-10-24,92.908
2001-10-25,94.298
2001-10-26,94.73
2001-10-29,93.858
2001-10-30,92.334
2001-10-31,92.816
2001-11-01,93.765
2001-11-02,93.673
2001-11-05,94.292
2001-11-06,95.253
2001-11-07,95.353
2001-11-08,95.338
2001-11-09,94.971
2001-11-12,94.873
2001-11-13,95.898
2001-11-14,96.763
2001-11-15,96.543
2001-11-16,97.008
2001-11-19,98.253
2001-11-20,97.619
2001-11-21,97.154
2001-11-22,97.323
2001-11-23,97.915
2001-11-26,98.827
2001-11-27,98.875
2001-11-28,97.656
2001-11-29,98.457
2001-11-30,98.677
2001-12-03,97.625
2001-12-04,99.012
2001-12-05,101.154
2001-12-06,101.864
2001-12-07,101.563
2001-12-10,100.43
2001-12-11,100.285
2001-12-12,100.524
2001-12-13,99.244
2001-12-14,99.089
2001-12-17,99.667
2001-12-18,100.092
2001-12-19,99.424
2001-12-20,98.525
2001-12-21,99.344
2001-12-24,99.49
2001-12-25,99.52
2001-12-26,99.993
2001-12-27,100.926
2001-12-28,101.511
2001-12-31,101.231
2002-01-01,101.231
2002-01-02,101.458
2002-01-03,102.666
2002-01-04,103.58
2002-01-07,103.104
2002-01-08,103.009
2002-01-09,102.745
2002-01-10,102.574
2002-01-11,101.898
2002-01-14,100.811
2002-01-15,100.683
2002-01-16,99.179
2002-01-17,99.56
2002-01-18,98.953
2002-01-21,99.082
2002-01-22,98.326
2002-01-23,99.168
2002-01-24,99.545
2002-01-25,99.09
2002-01-28,99.241
2002-01-29,98.314
2002-01-30,98.579
2002-01-31,99.16
2002-02-01,98.915
2002-02-04,97.738
2002-02-05,96.997
2002-02-06,96.185
2002-02-07,95.775
2002-02-08,96.971
2002-02-11,97.998
2002-02-12,98.382
2002-02-13,98.974
2002-02-14,98.666
2002-02-15,98.306
2002-02-18,98.243
2002-02-19,96.65
2002-02-20,97.17
2002-02-21,96.529
2002-02-22,96.999
2002-02-25,97.44
2002-02-26,98.023
2002-02-27,98.482
2002-02-28,98.321
2002-03-01,99.921
2002-03-04,102.523
