Date,SINGAPORE SMID VALUE SMID (Small+Mid Cap)
2001-01-01,201.365
2001-01-02,196.901
2001-01-03,193.987
2001-01-04,200.421
2001-01-05,203.675
2001-01-08,201.978
2001-01-09,200.93
2001-01-10,199.8
2001-01-11,194.718
2001-01-12,195.528
2001-01-15,194.181
2001-01-16,194.716
2001-01-17,194.273
2001-01-18,192.0
2001-01-19,193.35
2001-01-22,193.693
2001-01-23,193.414
2001-01-24,193.414
2001-01-25,193.587
2001-01-26,192.991
2001-01-29,194.365
2001-01-30,197.487
2001-01-31,200.934
2001-02-01,202.587
2001-02-02,203.739
2001-02-05,201.967
2001-02-06,202.575
2001-02-07,203.063
2001-02-08,205.895
2001-02-09,204.782
2001-02-12,206.512
2001-02-13,205.247
2001-02-14,202.542
2001-02-15,202.812
2001-02-16,202.637
2001-02-19,201.586
2001-02-20,204.682
2001-02-21,204.504
2001-02-22,204.055
2001-02-23,203.867
2001-02-26,204.222
2001-02-27,202.461
2001-02-28,203.269
2001-03-01,201.486
2001-03-02,201.617
2001-03-05,200.467
2001-03-06,200.632
2001-03-07,200.217
2001-03-08,199.929
2001-03-09,199.932
2001-03-12,195.011
2001-03-13,192.139
2001-03-14,189.817
2001-03-15,189.295
2001-03-16,187.136
2001-03-19,184.373
2001-03-20,185.021
2001-03-21,183.725
2001-03-22,180.19
2001-03-23,182.297
2001-03-26,181.684
2001-03-27,179.569
2001-03-28,176.103
2001-03-29,171.527
2001-03-30,172.469
2001-04-02,169.66
2001-04-03,170.301
2001-04-04,168.723
2001-04-05,174.434
2001-04-06,175.526
2001-04-09,169.751
2001-04-10,170.722
2001-04-11,172.585
2001-04-12,173.668
2001-04-13,173.655
2001-04-16,173.245
2001-04-17,170.682
2001-04-18,174.196
2001-04-19,175.408
2001-04-20,174.812
2001-04-23,175.924
2001-04-24,175.915
2001-04-25,174.886
2001-04-26,177.028
2001-04-27,176.812
2001-04-30,179.907
2001-05-01,180.668
2001-05-02,183.911
2001-05-03,183.297
2001-05-04,182.179
2001-05-07,181.94
2001-05-08,181.694
2001-05-09,180.293
2001-05-10,182.675
2001-05-11,184.752
2001-05-14,183.728
2001-05-15,184.153
2001-05-16,180.788
2001-05-17,183.144
2001-05-18,181.459
2001-05-21,181.754
2001-05-22,184.341
2001-05-23,186.037
2001-05-24,187.243
2001-05-25,186.663
2001-05-28,185.764
2001-05-29,185.744
2001-05-30,183.435
2001-05-31,183.83
2001-06-01,184.812
2001-06-04,185.59
2001-06-05,187.736
2001-06-06,189.459
2001-06-07,191.684
2001-06-08,192.182
2001-06-11,189.518
2001-06-12,188.127
2001-06-13,194.6
2001-06-14,195.872
2001-06-15,197.978
2001-06-18,199.006
2001-06-19,197.761
2001-06-20,196.016
2001-06-21,198.882
2001-06-22,202.883
2001-06-25,205.943
2001-06-26,206.21
2001-06-27,205.494
2001-06-28,205.226
2001-06-29,206.578
2001-07-02,204.376
2001-07-03,203.898
2001-07-04,202.34
2001-07-05,201.531
2001-07-06,197.64
2001-07-09,194.826
2001-07-10,195.692
2001-07-11,193.473
2001-07-12,195.504
2001-07-13,194.535
2001-07-16,197.428
2001-07-17,195.197
2001-07-18,194.268
2001-07-19,195.064
2001-07-20,196.167
2001-07-23,195.333
2001-07-24,197.6
2001-07-25,197.242
2001-07-26,199.744
2001-07-27,200.68
2001-07-30,200.069
2001-07-31,200.04
2001-08-01,200.574
2001-08-02,200.933
2001-08-03,200.138
2001-08-06,200.015
2001-08-07,200.206
2001-08-08,199.18
2001-08-09,199.191
2001-08-10,200.155
2001-08-13,199.046
2001-08-14,199.806
2001-08-15,200.91
2001-08-16,199.462
2001-08-17,199.221
2001-08-20,198.096
2001-08-21,204.504
2001-08-22,204.235
2001-08-23,204.49
2001-08-24,203.516
2001-08-27,204.731
2001-08-28,203.08
2001-08-29,202.162
2001-08-30,193.58
2001-08-31,192.476
2001-09-03,192.183
2001-09-04,191.681
2001-09-05,191.067
2001-09-06,192.483
2001-09-07,190.39
2001-09-10,188.94
2001-09-11,187.491
2001-09-12,179.715
2001-09-13,179.308
2001-09-14,172.918
2001-09-17,163.939
2001-09-18,163.075
2001-09-19,166.442
2001-09-20,163.88
2001-09-21,153.888
2001-09-24,157.906
2001-09-25,158.03
2001-09-26,165.174
2001-09-27,169.336
2001-09-28,172.717
2001-10-01,171.561
2001-10-02,170.442
2001-10-03,169.913
2001-10-04,173.534
2001-10-05,174.188
2001-10-08,169.788
2001-10-09,176.375
2001-10-10,172.817
2001-10-11,175.891
2001-10-12,174.827
2001-10-15,174.685
2001-10-16,174.581
2001-10-17,178.3
2001-10-18,175.318
2001-10-19,174.195
2001-10-22,174.033
2001-10-23,176.621
2001-10-24,177.438
2001-10-25,177.444
2001-10-26,176.324
2001-10-29,174.702
2001-10-30,174.972
2001-10-31,173.596
2001-11-01,171.232
2001-11-02,170.283
2001-11-05,172.332
2001-11-06,172.246
2001-11-07,171.511
2001-11-08,173.213
2001-11-09,175.85
2001-11-12,176.576
2001-11-13,175.124
