Date,SINGAPORE SMID VALUE SMID (Small+Mid Cap)
2001-11-30,183.811
2001-12-31,196.903
2002-01-31,202.915
2002-02-28,200.115
2002-03-29,203.556
2002-04-30,202.438
2002-05-31,201.883
2002-06-28,201.262
2002-07-31,201.087
2002-08-30,198.994
2002-09-30,174.217
2002-10-31,183.841
2002-11-29,180.0
2002-12-31,176.015
2003-01-31,178.269
2003-02-28,182.65
2003-03-31,177.224
2003-04-30,177.599
2003-05-30,204.029
2003-06-30,217.721
2003-07-31,236.464
2003-08-29,244.075
2003-09-30,258.523
2003-10-31,277.081
2003-11-28,273.117
2003-12-31,287.732
2004-01-30,305.094
2004-02-27,309.042
2004-03-31,311.205
2004-04-30,301.802
2004-05-31,303.556
2004-06-30,312.053
2004-07-30,317.728
2004-08-31,330.731
2004-09-30,346.924
2004-10-29,351.362
2004-11-30,373.513
2004-12-31,390.911
2005-01-31,411.08
2005-02-28,422.04
2005-03-31,426.938
2005-04-29,430.7
2005-05-31,440.94
2005-06-30,444.163
2005-07-29,488.814
2005-08-31,482.141
2005-09-30,494.704
2005-10-31,483.308
2005-11-30,497.298
2005-12-30,512.262
2006-01-31,548.974
2006-02-28,567.491
2006-03-31,599.069
2006-04-28,620.383
2006-05-31,574.242
2006-06-30,567.735
2006-07-31,579.593
2006-08-31,610.492
2006-09-29,650.082
2006-10-31,694.595
2006-11-30,745.818
2006-12-29,786.464
2007-01-31,851.341
2007-02-28,863.257
2007-03-30,920.965
2007-04-30,976.626
2007-05-31,1000.0
2007-06-29,1039.799
2007-07-31,1012.689
2007-08-31,946.843
2007-09-28,1059.363
2007-10-31,1082.329
2007-11-30,987.926
2007-12-31,1015.994
2008-01-31,903.267
2008-02-29,967.474
2008-03-31,984.719
2008-04-30,1003.873
2008-05-30,993.488
2008-06-30,908.325
2008-07-31,903.157
2008-08-29,812.224
2008-09-30,670.92
2008-10-31,470.319
2008-11-28,456.765
2008-12-31,501.025
2009-01-30,487.339
2009-02-27,433.675
2009-03-31,472.435
2009-04-30,555.656
2009-05-29,731.481
2009-06-30,733.83
2009-07-31,838.117
2009-08-31,836.523
2009-09-30,904.792
2009-10-30,894.31
2009-11-30,931.861
2009-12-31,981.118
2010-01-29,949.477
2010-02-26,963.448
2010-03-31,1009.15
2010-04-30,1090.317
2010-05-31,989.285
2010-06-30,1018.365
2010-07-30,1119.804
2010-08-31,1119.344
2010-09-30,1254.277
2010-10-29,1259.976
2010-11-30,1210.273
2010-12-31,1282.9
2011-01-31,1283.937
2011-02-28,1238.433
2011-03-31,1268.71
2011-04-29,1331.289
2011-05-31,1326.891
2011-06-30,1310.688
2011-07-29,1351.619
2011-08-31,1261.244
2011-09-30,1085.735
2011-10-31,1187.163
2011-11-30,1112.685
2011-12-30,1076.678
2012-01-31,1209.801
2012-02-29,1295.27
2012-03-30,1305.376
2012-04-30,1331.644
2012-05-31,1229.443
2012-06-29,1300.385
2012-07-31,1401.179
2012-08-31,1413.255
2012-09-28,1477.121
2012-10-31,1479.312
2012-11-30,1500.402
2012-12-31,1544.028
2013-01-31,1586.667
2013-02-28,1615.216
2013-03-29,1611.767
2013-04-30,1691.988
2013-05-31,1547.301
2013-06-28,1466.338
2013-07-31,1488.098
2013-08-30,1409.058
2013-09-30,1498.488
2013-10-31,1563.893
2013-11-29,1507.44
2013-12-31,1482.463
2014-01-31,1424.871
2014-02-28,1486.448
2014-03-31,1542.024
2014-04-30,1610.882
2014-05-30,1664.557
2014-06-30,1654.505
2014-07-31,1683.289
2014-08-29,1688.221
2014-09-30,1614.668
2014-10-31,1616.709
2014-11-28,1617.49
2014-12-31,1596.491
2015-01-30,1622.781
2015-02-27,1631.823
2015-03-31,1626.981
2015-04-30,1708.527
2015-05-29,1663.986
2015-06-30,1618.612
2015-07-31,1529.573
2015-08-31,1388.23
2015-09-30,1373.068
2015-10-30,1467.896
2015-11-30,1398.514
2015-12-31,1374.781
2016-01-29,1293.68
2016-02-29,1364.682
2016-03-31,1495.266
2016-04-29,1511.677
2016-05-31,1429.897
2016-06-30,1467.429
2016-07-29,1490.294
2016-08-31,1446.967
2016-09-30,1468.826
2016-10-31,1441.768
2016-11-30,1404.412
2016-12-30,1397.015
2017-01-31,1481.149
2017-02-28,1561.491
2017-03-31,1605.968
2017-04-28,1593.971
2017-05-31,1598.572
2017-06-30,1626.095
2017-07-31,1689.705
2017-08-31,1694.833
2017-09-29,1679.136
2017-10-31,1755.364
2017-11-30,1786.992
2017-12-29,1813.085
2018-01-31,1929.914
2018-02-28,1800.057
2018-03-30,1770.545
2018-04-30,1802.032
2018-05-31,1706.036
2018-06-29,1619.018
2018-07-31,1656.625
2018-08-31,1628.357
2018-09-28,1662.678
2018-10-31,1547.686
2018-11-30,1572.921
2018-12-31,1569.137
2019-01-31,1703.0
2019-02-28,1714.489
2019-03-29,1743.731
2019-04-30,1785.265
2019-05-31,1710.033
2019-06-28,1868.31
2019-07-31,1820.393
2019-08-30,1724.993
2019-09-30,1741.87
2019-10-31,1819.297
2019-11-29,1808.764
2019-12-31,1856.877
2020-01-31,1810.662
2020-02-28,1683.521
2020-03-31,1315.156
2020-04-30,1457.584
2020-05-29,1471.049
2020-06-30,1487.283
2020-07-31,1468.413
2020-08-31,1494.63
2020-09-30,1477.166
2020-10-30,1397.276
2020-11-30,1624.338
2020-12-31,1699.583
2021-01-29,1678.286
2021-02-26,1698.476
2021-03-31,1812.663
2021-04-30,1893.833
2021-05-31,1873.703
2021-06-30,1838.577
2021-07-30,1861.233
2021-08-31,1864.171
2021-09-30,1861.282
2021-10-29,1934.712
2021-11-30,1852.511
2021-12-31,1901.652
2022-01-31,1857.117
2022-02-28,1925.038
2022-03-31,2051.405
2022-04-29,2059.655
2022-05-31,2024.016
2022-06-30,1958.468
2022-07-29,2024.789
2022-08-31,1993.606
2022-09-30,1821.618
2022-10-31,1782.911
2022-11-30,1976.884
2022-12-30,1990.269
2023-01-31,2130.946
2023-02-28,2038.379
2023-03-31,2067.567
2023-04-28,2099.557
2023-05-31,2009.885
2023-06-30,2036.046
2023-07-31,2137.06
2023-08-31,2008.462
2023-09-29,1915.533
2023-10-31,1814.193
2023-11-30,1946.108
2023-12-29,2114.338
2024-01-31,2019.097
2024-02-29,1944.343
2024-03-29,1929.001
2024-04-30,1910.183
2024-05-31,1925.449
2024-06-28,1907.14
2024-07-31,2006.455
2024-08-30,2119.275
2024-09-30,2271.297
2024-10-31,2079.295
2024-11-29,2002.877
2024-12-31,1960.951
2025-01-31,1959.235
2025-02-28,1990.786
2025-03-31,2096.661
2025-04-30,2119.349
2025-05-30,2151.957
2025-06-30,2253.004
2025-07-31,2342.322
2025-08-29,2423.133
2025-09-30,2455.818
2025-10-31,2536.453
