Date,SINGAPORE SMID VALUE SMID (Small+Mid Cap)
1994-05-31,266.374
1994-06-30,261.683
1994-07-29,266.248
1994-08-31,278.329
1994-09-30,283.717
1994-10-31,299.923
1994-11-30,276.728
1994-12-30,279.166
1995-01-31,258.515
1995-02-28,265.677
1995-03-31,266.891
1995-04-28,264.036
1995-05-31,278.79
1995-06-30,276.496
1995-07-31,286.866
1995-08-31,280.075
1995-09-29,277.386
1995-10-31,268.586
1995-11-30,269.051
1995-12-29,282.758
1996-01-31,299.035
1996-02-29,300.09
1996-03-29,294.494
1996-04-30,295.094
1996-05-31,285.61
1996-06-28,283.115
1996-07-31,259.741
1996-08-30,267.072
1996-09-30,267.12
1996-10-31,260.853
1996-11-29,277.14
1996-12-31,277.159
1997-01-31,285.574
1997-02-28,290.436
1997-03-31,269.922
1997-04-30,262.886
1997-05-30,274.569
1997-06-30,266.936
1997-07-31,261.371
1997-08-29,231.422
1997-09-30,234.085
1997-10-31,180.047
1997-11-28,181.698
1997-12-31,157.963
1998-01-30,126.824
1998-02-27,165.006
1998-03-31,169.399
1998-04-30,150.897
1998-05-29,125.738
1998-06-30,109.245
1998-07-31,99.198
1998-08-31,72.423
1998-09-30,85.404
1998-10-30,133.961
1998-11-30,156.499
1998-12-31,147.424
1999-01-29,149.008
1999-02-26,142.947
1999-03-31,154.809
1999-04-30,201.139
1999-05-31,222.922
1999-06-30,268.033
1999-07-30,239.104
1999-08-31,232.935
1999-09-30,205.51
1999-10-29,213.156
1999-11-30,223.631
1999-12-31,245.034
2000-01-31,219.753
2000-02-29,218.162
2000-03-31,213.596
2000-04-28,198.011
2000-05-31,167.384
2000-06-30,198.257
2000-07-31,206.216
2000-08-31,220.852
2000-09-29,203.405
2000-10-31,199.238
2000-11-30,197.125
2000-12-29,201.39
2001-01-31,200.934
2001-02-28,203.269
2001-03-30,172.469
2001-04-30,179.907
2001-05-31,183.83
2001-06-29,206.578
2001-07-31,200.04
2001-08-31,192.476
2001-09-28,172.717
2001-10-31,173.596
2001-11-30,183.184
2001-12-31,196.232
2002-01-31,202.23
2002-02-28,199.451
2002-03-29,202.881
2002-04-30,201.779
2002-05-31,201.27
2002-06-28,200.667
2002-07-31,200.495
2002-08-30,198.414
2002-09-30,173.712
2002-10-31,183.308
2002-11-29,179.479
2002-12-31,175.511
2003-01-31,177.763
2003-02-28,182.131
2003-03-31,176.722
2003-04-30,177.096
2003-05-30,203.463
2003-06-30,217.118
2003-07-31,235.811
2003-08-29,243.401
2003-09-30,257.831
2003-10-31,276.34
2003-11-28,272.387
2003-12-31,286.966
2004-01-30,304.282
2004-02-27,308.235
2004-03-31,310.394
2004-04-30,301.026
2004-05-31,302.787
2004-06-30,311.28
2004-07-30,316.941
2004-08-31,329.931
2004-09-30,346.085
2004-10-29,350.512
2004-11-30,372.62
2004-12-31,389.981
2005-01-31,410.102
2005-02-28,421.068
2005-03-31,425.959
2005-04-29,429.713
2005-05-31,439.964
2005-06-30,443.187
2005-07-29,487.832
2005-08-31,481.208
2005-09-30,493.795
2005-10-31,482.456
2005-11-30,496.421
2005-12-30,511.359
2006-01-31,548.058
2006-02-28,566.616
2006-03-31,598.151
2006-04-28,619.486
2006-05-31,573.417
2006-06-30,566.929
2006-07-31,578.902
2006-08-31,609.916
2006-09-29,649.484
2006-10-31,694.101
2006-11-30,745.361
2006-12-29,785.982
2007-01-31,850.981
2007-02-28,863.051
2007-03-30,920.745
2007-04-30,976.56
2007-05-31,1000.0
2007-06-29,1039.799
2007-07-31,1012.851
2007-08-31,947.226
2007-09-28,1059.758
2007-10-31,1082.848
2007-11-30,988.533
2007-12-31,1016.618
2008-01-31,904.099
2008-02-29,968.535
2008-03-31,985.799
2008-04-30,1005.144
2008-05-30,994.852
2008-06-30,909.572
2008-07-31,904.604
2008-08-29,813.779
2008-09-30,672.214
2008-10-31,471.421
2008-11-28,457.936
2008-12-31,502.309
2009-01-30,488.89
2009-02-27,435.152
2009-03-31,474.044
2009-04-30,557.694
2009-05-29,734.327
2009-06-30,736.685
2009-07-31,841.766
2009-08-31,840.482
2009-09-30,909.075
2009-10-30,898.731
2009-11-30,936.622
2009-12-31,986.205
2010-01-29,954.867
2010-02-26,969.054
2010-03-31,1015.022
2010-04-30,1096.968
2010-05-31,995.439
2010-06-30,1024.767
2010-07-30,1127.542
2010-08-31,1127.234
2010-09-30,1263.187
2010-10-29,1269.276
2010-11-30,1219.402
2010-12-31,1292.669
2011-01-31,1294.443
2011-02-28,1248.845
2011-03-31,1279.377
2011-04-29,1343.141
2011-05-31,1338.803
2011-06-30,1322.483
2011-07-29,1364.58
2011-08-31,1273.59
2011-09-30,1096.364
2011-10-31,1199.241
2011-11-30,1124.301
2011-12-30,1087.918
2012-01-31,1223.107
2012-02-29,1309.727
2012-03-30,1320.021
2012-04-30,1347.113
2012-05-31,1243.873
2012-06-29,1315.648
2012-07-31,1418.385
2012-08-31,1430.829
2012-09-28,1495.545
2012-10-31,1498.246
2012-11-30,1519.995
2012-12-31,1564.194
2013-01-31,1608.288
2013-02-28,1637.517
2013-03-29,1634.187
2013-04-30,1715.995
2013-05-31,1569.45
2013-06-28,1487.357
2013-07-31,1510.486
2013-08-30,1430.405
2013-09-30,1521.22
2013-10-31,1588.367
2013-11-29,1531.164
2013-12-31,1505.794
2014-01-31,1448.304
2014-02-28,1511.081
2014-03-31,1567.683
2014-04-30,1638.443
2014-05-30,1693.196
2014-06-30,1682.981
2014-07-31,1713.281
2014-08-29,1718.514
2014-09-30,1643.665
2014-10-31,1646.973
2014-11-28,1647.958
2014-12-31,1626.604
2015-01-30,1654.256
2015-02-27,1663.717
