Date,SINGAPORE SMID VALUE SMID (Small+Mid Cap)
2001-01-01,202.196
2001-01-02,197.713
2001-01-03,194.787
2001-01-04,201.248
2001-01-05,204.512
2001-01-08,202.809
2001-01-09,201.756
2001-01-10,200.621
2001-01-11,195.518
2001-01-12,196.332
2001-01-15,194.979
2001-01-16,195.516
2001-01-17,195.072
2001-01-18,192.79
2001-01-19,194.145
2001-01-22,194.489
2001-01-23,194.209
2001-01-24,194.209
2001-01-25,194.382
2001-01-26,193.784
2001-01-29,195.164
2001-01-30,198.299
2001-01-31,201.758
2001-02-01,203.418
2001-02-02,204.574
2001-02-05,202.794
2001-02-06,203.406
2001-02-07,203.895
2001-02-08,206.739
2001-02-09,205.622
2001-02-12,207.358
2001-02-13,206.088
2001-02-14,203.372
2001-02-15,203.644
2001-02-16,203.468
2001-02-19,202.413
2001-02-20,205.521
2001-02-21,205.342
2001-02-22,204.891
2001-02-23,204.702
2001-02-26,205.059
2001-02-27,203.291
2001-02-28,204.103
2001-03-01,202.312
2001-03-02,202.443
2001-03-05,201.288
2001-03-06,201.455
2001-03-07,201.038
2001-03-08,200.748
2001-03-09,200.751
2001-03-12,195.81
2001-03-13,192.927
2001-03-14,190.595
2001-03-15,190.071
2001-03-16,187.903
2001-03-19,185.128
2001-03-20,185.779
2001-03-21,184.478
2001-03-22,180.929
2001-03-23,183.043
2001-03-26,182.428
2001-03-27,180.302
2001-03-28,176.821
2001-03-29,172.227
2001-03-30,173.172
2001-04-02,170.352
2001-04-03,170.996
2001-04-04,169.411
2001-04-05,175.145
2001-04-06,176.237
2001-04-09,170.438
2001-04-10,171.414
2001-04-11,173.284
2001-04-12,174.372
2001-04-13,174.359
2001-04-16,173.947
2001-04-17,171.374
2001-04-18,174.902
2001-04-19,176.119
2001-04-20,175.52
2001-04-23,176.637
2001-04-24,176.628
2001-04-25,175.595
2001-04-26,177.746
2001-04-27,177.529
2001-04-30,180.636
2001-05-01,181.4
2001-05-02,184.656
2001-05-03,184.04
2001-05-04,182.917
2001-05-07,182.677
2001-05-08,182.431
2001-05-09,181.023
2001-05-10,183.411
2001-05-11,185.496
2001-05-14,184.463
2001-05-15,184.889
2001-05-16,181.511
2001-05-17,183.876
2001-05-18,182.178
2001-05-21,182.469
2001-05-22,185.066
2001-05-23,186.769
2001-05-24,187.967
2001-05-25,187.38
2001-05-28,186.462
2001-05-29,186.442
2001-05-30,184.12
2001-05-31,184.508
2001-06-01,185.491
2001-06-04,186.271
2001-06-05,188.423
2001-06-06,190.15
2001-06-07,192.384
2001-06-08,192.882
2001-06-11,190.208
2001-06-12,188.812
2001-06-13,195.308
2001-06-14,196.584
2001-06-15,198.697
2001-06-18,199.729
2001-06-19,198.479
2001-06-20,196.728
2001-06-21,199.604
2001-06-22,203.612
2001-06-25,206.683
2001-06-26,206.951
2001-06-27,206.232
2001-06-28,205.963
2001-06-29,207.32
2001-07-02,205.109
2001-07-03,204.629
2001-07-04,203.066
2001-07-05,202.254
2001-07-06,198.349
2001-07-09,195.525
2001-07-10,196.394
2001-07-11,194.167
2001-07-12,196.205
2001-07-13,195.233
2001-07-16,198.137
2001-07-17,195.897
2001-07-18,194.965
2001-07-19,195.764
2001-07-20,196.871
2001-07-23,196.034
2001-07-24,198.308
2001-07-25,197.949
2001-07-26,200.461
2001-07-27,201.4
2001-07-30,200.787
2001-07-31,200.758
2001-08-01,201.293
2001-08-02,201.652
2001-08-03,200.854
2001-08-06,200.73
2001-08-07,200.92
2001-08-08,199.891
2001-08-09,199.902
2001-08-10,200.869
2001-08-13,199.756
2001-08-14,200.519
2001-08-15,201.627
2001-08-16,200.169
2001-08-17,199.927
2001-08-20,198.798
2001-08-21,205.228
2001-08-22,204.958
2001-08-23,205.215
2001-08-24,204.237
2001-08-27,205.456
2001-08-28,203.8
2001-08-29,202.878
2001-08-30,194.266
2001-08-31,193.158
2001-09-03,192.863
2001-09-04,192.359
2001-09-05,191.743
2001-09-06,193.164
2001-09-07,191.063
2001-09-10,189.608
2001-09-11,188.154
2001-09-12,180.351
2001-09-13,179.942
2001-09-14,173.526
2001-09-17,164.515
2001-09-18,163.648
2001-09-19,167.027
2001-09-20,164.456
2001-09-21,154.428
2001-09-24,158.459
2001-09-25,158.582
2001-09-26,165.751
2001-09-27,169.927
2001-09-28,173.321
2001-10-01,172.159
2001-10-02,171.037
2001-10-03,170.506
2001-10-04,174.14
2001-10-05,174.796
2001-10-08,170.38
2001-10-09,176.991
2001-10-10,173.42
2001-10-11,176.504
2001-10-12,175.436
2001-10-15,175.293
2001-10-16,175.188
2001-10-17,178.92
2001-10-18,175.928
2001-10-19,174.801
2001-10-22,174.638
2001-10-23,177.235
2001-10-24,178.054
2001-10-25,178.061
2001-10-26,176.928
2001-10-29,175.301
2001-10-30,175.571
2001-10-31,174.191
2001-11-01,171.818
2001-11-02,170.867
2001-11-05,172.922
2001-11-06,172.836
2001-11-07,172.099
2001-11-08,173.806
2001-11-09,176.453
2001-11-12,177.181
2001-11-13,175.724
2001-11-14,175.724
2001-11-15,181.063
2001-11-16,178.787
2001-11-19,182.463
2001-11-20,183.992
2001-11-21,184.653
2001-11-22,183.121
2001-11-23,183.062
2001-11-26,182.961
2001-11-27,183.951
2001-11-28,184.018
2001-11-29,184.781
2001-11-30,183.811
2001-12-03,184.475
2001-12-04,192.752
2001-12-05,195.021
2001-12-06,195.703
2001-12-07,196.546
2001-12-10,195.122
2001-12-11,195.186
2001-12-12,195.066
2001-12-13,193.625
2001-12-14,193.304
2001-12-17,193.145
2001-12-18,194.148
2001-12-19,197.081
2001-12-20,196.795
