Date,SWEDEN LARGE GROWTH Large Cap
2022-03-31,2050.477
2022-04-29,1852.401
2022-05-31,1853.466
2022-06-30,1580.361
2022-07-29,1793.072
2022-08-31,1583.22
2022-09-30,1430.39
2022-10-31,1560.587
2022-11-30,1744.387
2022-12-30,1716.537
2023-01-31,1822.002
2023-02-28,1866.024
2023-03-31,1937.255
2023-04-28,2022.243
2023-05-31,1918.49
2023-06-30,1997.183
2023-07-31,1952.718
2023-08-31,1802.117
2023-09-29,1767.623
2023-10-31,1661.646
2023-11-30,1975.042
2023-12-29,2207.238
2024-01-31,2104.604
2024-02-29,2214.885
2024-03-29,2229.782
2024-04-30,2193.974
2024-05-31,2348.267
2024-06-28,2307.68
2024-07-31,2287.221
2024-08-30,2383.174
2024-09-30,2492.783
2024-10-31,2212.603
2024-11-29,2135.014
2024-12-31,2051.59
2025-01-31,2293.402
2025-02-28,2376.066
2025-03-31,2267.432
2025-04-30,2336.849
2025-05-30,2435.419
2025-06-30,2540.613
2025-07-31,2394.221
2025-08-29,2532.582
2025-09-30,2625.367
2025-10-31,2656.249
