Date,SWEDEN LARGE GROWTH Large Cap
1994-05-31,215.589
1994-06-30,205.87
1994-07-29,217.221
1994-08-31,220.305
1994-09-30,220.433
1994-10-31,242.413
1994-11-30,233.428
1994-12-30,231.218
1995-01-31,232.962
1995-02-28,235.356
1995-03-31,242.035
1995-04-28,265.088
1995-05-31,268.911
1995-06-30,282.263
1995-07-31,299.657
1995-08-31,299.444
1995-09-29,339.884
1995-10-31,325.384
1995-11-30,333.563
1995-12-29,323.811
1996-01-31,320.117
1996-02-29,353.502
1996-03-29,360.255
1996-04-30,353.199
1996-05-31,370.67
1996-06-28,373.122
1996-07-31,353.823
1996-08-30,378.387
1996-09-30,393.917
1996-10-31,417.445
1996-11-29,444.105
1996-12-31,451.33
1997-01-31,464.958
1997-02-28,454.273
1997-03-31,472.856
1997-04-30,439.793
1997-05-30,480.955
1997-06-30,520.511
1997-07-31,539.105
1997-08-29,515.035
1997-09-30,573.685
1997-10-31,513.944
1997-11-28,524.295
1997-12-31,501.597
1998-01-30,512.033
1998-02-27,559.923
1998-03-31,595.206
1998-04-30,632.039
1998-05-29,651.075
1998-06-30,647.004
1998-07-31,636.74
1998-08-31,543.187
1998-09-30,494.544
1998-10-30,530.927
1998-11-30,597.505
1998-12-31,583.784
1999-01-29,624.299
1999-02-26,609.378
1999-03-31,620.606
1999-04-30,673.815
1999-05-31,674.132
1999-06-30,765.94
1999-07-30,786.265
1999-08-31,780.153
1999-09-30,758.855
1999-10-29,939.924
1999-11-30,1091.026
1999-12-31,1379.591
2000-01-31,1451.761
2000-02-29,1918.608
2000-03-31,1784.854
2000-04-28,1786.239
2000-05-31,1666.618
2000-06-30,1619.499
2000-07-31,1544.563
2000-08-31,1544.083
2000-09-29,1265.764
2000-10-31,1119.13
2000-11-30,972.904
2000-12-29,967.952
2001-01-31,1065.968
2001-02-28,804.276
2001-03-30,586.811
2001-04-30,698.133
2001-05-31,650.678
2001-06-29,594.861
2001-07-31,597.709
2001-08-31,538.584
2001-09-28,442.49
2001-10-31,496.078
2001-11-30,585.484
2001-12-31,590.112
2002-01-31,486.985
2002-02-28,463.443
2002-03-29,481.487
2002-04-30,362.752
2002-05-31,327.025
2002-06-28,280.063
2002-07-31,226.447
2002-08-30,232.48
2002-09-30,169.102
2002-10-31,246.126
2002-11-29,282.574
2002-12-31,247.086
2003-01-31,261.475
2003-02-28,248.587
2003-03-31,240.125
2003-04-30,288.733
2003-05-30,312.612
2003-06-30,314.235
2003-07-31,326.345
2003-08-29,328.194
2003-09-30,342.116
2003-10-31,352.674
2003-11-28,362.716
2003-12-31,394.354
2004-01-30,458.312
2004-02-27,564.186
2004-03-31,543.492
2004-04-30,525.283
2004-05-31,538.708
2004-06-30,566.108
2004-07-30,527.818
2004-08-31,533.229
2004-09-30,600.446
2004-10-29,580.651
2004-11-30,661.259
2004-12-31,653.324
2005-01-31,607.528
2005-02-28,626.516
