Date,SWEDEN LARGE GROWTH Large Cap
2001-01-01,967.952
2001-01-02,944.293
2001-01-03,891.763
2001-01-04,996.004
2001-01-05,1007.57
2001-01-08,977.221
2001-01-09,939.684
2001-01-10,939.354
2001-01-11,998.003
2001-01-12,1034.599
2001-01-15,1038.962
2001-01-16,992.113
2001-01-17,1048.547
2001-01-18,1077.194
2001-01-19,1065.009
2001-01-22,1048.182
2001-01-23,1017.191
2001-01-24,1027.545
2001-01-25,1064.757
2001-01-26,986.817
2001-01-29,1004.075
2001-01-30,1035.806
2001-01-31,1065.968
2001-02-01,1047.461
2001-02-02,1022.02
2001-02-05,998.467
2001-02-06,1004.934
2001-02-07,982.479
2001-02-08,961.648
2001-02-09,904.786
2001-02-12,920.502
2001-02-13,915.103
2001-02-14,848.846
2001-02-15,879.488
2001-02-16,847.232
2001-02-19,845.625
2001-02-20,829.779
2001-02-21,814.832
2001-02-22,774.238
2001-02-23,742.792
2001-02-26,788.245
2001-02-27,815.863
2001-02-28,804.276
2001-03-01,774.158
2001-03-02,794.643
2001-03-05,828.628
2001-03-06,870.988
2001-03-07,861.849
2001-03-08,839.215
2001-03-09,804.181
2001-03-12,683.14
2001-03-13,654.727
2001-03-14,653.65
2001-03-15,667.356
2001-03-16,602.839
2001-03-19,607.091
2001-03-20,655.899
2001-03-21,626.477
2001-03-22,575.096
2001-03-23,613.276
2001-03-26,642.564
2001-03-27,673.179
2001-03-28,635.603
2001-03-29,594.486
2001-03-30,586.811
2001-04-02,581.204
2001-04-03,554.232
2001-04-04,547.067
2001-04-05,608.879
2001-04-06,596.113
2001-04-09,615.961
2001-04-10,643.445
2001-04-11,646.481
2001-04-12,633.338
2001-04-13,633.338
2001-04-16,626.699
2001-04-17,609.014
2001-04-18,664.61
2001-04-19,696.473
2001-04-20,649.765
2001-04-23,620.031
2001-04-24,617.295
2001-04-25,643.378
2001-04-26,663.441
2001-04-27,675.716
2001-04-30,698.133
2001-05-01,701.055
2001-05-02,700.851
2001-05-03,680.212
2001-05-04,685.076
2001-05-07,697.516
2001-05-08,678.382
2001-05-09,661.411
2001-05-10,677.76
2001-05-11,675.464
2001-05-14,663.637
2001-05-15,661.604
2001-05-16,657.85
2001-05-17,685.88
2001-05-18,711.35
2001-05-21,737.3
2001-05-22,740.29
2001-05-23,713.768
2001-05-24,711.468
2001-05-25,703.149
2001-05-28,707.881
2001-05-29,696.799
2001-05-30,674.971
2001-05-31,650.678
2001-06-01,634.476
2001-06-04,631.173
2001-06-05,653.419
2001-06-06,640.089
2001-06-07,619.441
2001-06-08,601.8
2001-06-11,582.971
2001-06-12,560.418
2001-06-13,567.923
2001-06-14,552.005
2001-06-15,575.977
2001-06-18,572.308
2001-06-19,570.995
2001-06-20,541.316
2001-06-21,557.002
2001-06-22,558.166
2001-06-25,564.455
2001-06-26,555.713
2001-06-27,567.707
2001-06-28,582.567
2001-06-29,594.861
2001-07-02,608.008
2001-07-03,604.775
2001-07-04,581.872
2001-07-05,548.333
2001-07-06,522.584
2001-07-09,525.304
2001-07-10,531.813
2001-07-11,520.446
2001-07-12,544.529
2001-07-13,550.925
2001-07-16,564.226
2001-07-17,541.202
2001-07-18,536.894
2001-07-19,550.54
2001-07-20,543.166
2001-07-23,534.851
2001-07-24,532.376
2001-07-25,521.18
2001-07-26,526.569
2001-07-27,554.791
2001-07-30,581.021
2001-07-31,597.709
2001-08-01,595.358
2001-08-02,604.875
2001-08-03,596.052
2001-08-06,589.415
2001-08-07,600.813
2001-08-08,585.992
2001-08-09,568.211
2001-08-10,563.975
2001-08-13,572.405
2001-08-14,590.473
2001-08-15,591.459
2001-08-16,572.445
2001-08-17,553.694
2001-08-20,539.725
2001-08-21,555.29
2001-08-22,563.694
2001-08-23,569.716
2001-08-24,589.688
2001-08-27,592.986
2001-08-28,579.231
2001-08-29,569.874
2001-08-30,546.95
2001-08-31,538.584
2001-09-03,527.742
2001-09-04,491.784
2001-09-05,470.457
2001-09-06,469.141
2001-09-07,452.809
2001-09-10,453.256
2001-09-11,413.221
2001-09-12,440.087
2001-09-13,428.804
2001-09-14,425.487
2001-09-17,438.311
2001-09-18,426.953
2001-09-19,422.848
2001-09-20,402.805
2001-09-21,390.52
2001-09-24,424.576
2001-09-25,447.288
2001-09-26,435.223
2001-09-27,427.002
2001-09-28,442.49
2001-10-01,427.611
2001-10-02,433.844
2001-10-03,430.353
2001-10-04,454.589
2001-10-05,463.948
2001-10-08,473.718
2001-10-09,468.558
2001-10-10,471.164
2001-10-11,495.042
2001-10-12,498.798
2001-10-15,488.558
2001-10-16,494.603
2001-10-17,535.509
2001-10-18,509.913
2001-10-19,484.726
2001-10-22,479.072
2001-10-23,502.373
2001-10-24,505.809
2001-10-25,499.323
2001-10-26,529.422
2001-10-29,512.479
2001-10-30,489.327
2001-10-31,496.078
2001-11-01,500.171
2001-11-02,501.28
2001-11-05,524.347
2001-11-06,534.23
2001-11-07,541.955
2001-11-08,555.547
2001-11-09,541.447
2001-11-12,531.493
2001-11-13,556.444
2001-11-14,562.038
2001-11-15,574.34
2001-11-16,584.056
2001-11-19,586.13
2001-11-20,569.674
2001-11-21,560.165
2001-11-22,588.518
2001-11-23,589.503
2001-11-26,605.361
2001-11-27,594.296
2001-11-28,580.562
2001-11-29,572.282
2001-11-30,585.484
2001-12-03,577.891
2001-12-04,600.158
2001-12-05,643.608
2001-12-06,644.024
2001-12-07,633.12
2001-12-10,620.694
2001-12-11,627.701
2001-12-12,614.804
2001-12-13,590.483
2001-12-14,578.125
2001-12-17,594.155
2001-12-18,589.019
2001-12-19,569.431
2001-12-20,550.696
2001-12-21,560.059
2001-12-24,552.658
2001-12-25,552.658
2001-12-26,550.779
2001-12-27,570.45
2001-12-28,585.355
2001-12-31,590.112
2002-01-01,590.112
2002-01-02,595.58
2002-01-03,622.19
2002-01-04,623.394
2002-01-07,620.73
2002-01-08,592.159
2002-01-09,581.752
2002-01-10,574.344
2002-01-11,584.791
2002-01-14,554.001
2002-01-15,541.604
2002-01-16,524.181
2002-01-17,529.015
2002-01-18,520.316
2002-01-21,511.754
2002-01-22,509.312
2002-01-23,507.42
2002-01-24,521.448
2002-01-25,499.183
2002-01-28,483.711
2002-01-29,470.714
2002-01-30,462.967
2002-01-31,486.985
2002-02-01,479.101
2002-02-04,473.828
2002-02-05,465.73
2002-02-06,460.267
2002-02-07,469.227
2002-02-08,462.413
2002-02-11,479.712
2002-02-12,475.668
2002-02-13,469.003
2002-02-14,463.579
2002-02-15,451.556
2002-02-18,442.007
2002-02-19,435.383
2002-02-20,437.33
2002-02-21,451.944
2002-02-22,445.777
2002-02-25,454.672
2002-02-26,452.931
2002-02-27,466.372
2002-02-28,463.443
2002-03-01,472.939
2002-03-04,506.511
2002-03-05,499.754
2002-03-06,506.895
2002-03-07,527.158
2002-03-08,526.921
2002-03-11,516.177
2002-03-12,494.216
2002-03-13,488.461
2002-03-14,481.725
2002-03-15,483.433
2002-03-18,489.745
2002-03-19,483.166
2002-03-20,474.432
2002-03-21,475.608
2002-03-22,502.045
2002-03-25,491.422
2002-03-26,483.181
2002-03-27,480.169
2002-03-28,481.487
2002-03-29,481.487
2002-04-01,486.24
2002-04-02,476.575
2002-04-03,464.674
2002-04-04,463.256
2002-04-05,466.945
2002-04-08,450.524
2002-04-09,447.29
2002-04-10,447.181
2002-04-11,434.035
2002-04-12,438.116
2002-04-15,442.502
2002-04-16,455.593
2002-04-17,465.52
2002-04-18,446.016
2002-04-19,430.693
2002-04-22,377.657
2002-04-23,369.135
2002-04-24,346.525
2002-04-25,362.133
2002-04-26,369.529
2002-04-29,359.893
2002-04-30,362.752
2002-05-01,364.883
2002-05-02,358.603
2002-05-03,344.572
2002-05-06,342.463
2002-05-07,341.553
2002-05-08,357.787
2002-05-09,357.172
2002-05-10,342.198
2002-05-13,343.628
2002-05-14,353.854
2002-05-15,363.222
2002-05-16,352.952
2002-05-17,369.936
2002-05-20,370.991
2002-05-21,361.016
2002-05-22,350.656
2002-05-23,349.047
2002-05-24,351.105
2002-05-27,346.17
2002-05-28,346.032
2002-05-29,337.643
2002-05-30,328.001
2002-05-31,327.025
2002-06-03,329.171
2002-06-04,320.112
2002-06-05,324.23
2002-06-06,317.688
2002-06-07,302.309
2002-06-10,304.778
2002-06-11,295.793
2002-06-12,280.193
2002-06-13,291.019
2002-06-14,292.012
2002-06-17,292.256
2002-06-18,297.17
2002-06-19,297.486
2002-06-20,280.55
2002-06-21,282.284
2002-06-24,260.523
2002-06-25,272.004
2002-06-26,270.469
2002-06-27,273.876
2002-06-28,280.063
2002-07-01,292.224
2002-07-02,287.927
2002-07-03,279.101
2002-07-04,286.342
2002-07-05,303.796
2002-07-08,302.401
2002-07-09,298.185
2002-07-10,291.866
2002-07-11,272.849
2002-07-12,274.848
2002-07-15,266.664
2002-07-16,269.865
2002-07-17,281.377
2002-07-18,278.693
2002-07-19,251.421
2002-07-22,239.622
2002-07-23,223.494
2002-07-24,208.712
2002-07-25,216.939
2002-07-26,197.763
2002-07-29,216.043
2002-07-30,221.765
2002-07-31,226.447
2002-08-01,227.485
2002-08-02,218.577
2002-08-05,198.627
2002-08-06,196.303
2002-08-07,201.375
2002-08-08,206.765
2002-08-09,202.35
2002-08-12,206.262
2002-08-13,214.316
2002-08-14,207.109
2002-08-15,205.037
2002-08-16,204.522
2002-08-19,202.787
2002-08-20,212.148
2002-08-21,235.161
2002-08-22,259.982
2002-08-23,235.63
2002-08-26,224.589
2002-08-27,222.365
2002-08-28,220.543
2002-08-29,232.155
2002-08-30,232.48
2002-09-02,226.087
2002-09-03,218.093
2002-09-04,216.912
2002-09-05,213.077
2002-09-06,225.933
2002-09-09,221.493
2002-09-10,214.776
2002-09-11,226.303
2002-09-12,219.397
2002-09-13,216.489
2002-09-16,209.035
2002-09-17,205.098
2002-09-18,198.063
2002-09-19,202.108
2002-09-20,199.688
2002-09-23,185.823
2002-09-24,185.11
2002-09-25,180.585
2002-09-26,186.935
2002-09-27,181.616
2002-09-30,169.102
2002-10-01,171.665
2002-10-02,182.43
2002-10-03,177.807
2002-10-04,175.745
2002-10-07,168.76
2002-10-08,163.25
2002-10-09,167.486
2002-10-10,175.476
2002-10-11,189.569
2002-10-14,185.143
2002-10-15,198.136
2002-10-16,190.257
2002-10-17,196.806
2002-10-18,207.369
2002-10-21,217.815
2002-10-22,216.271
2002-10-23,207.973
2002-10-24,219.67
2002-10-25,222.846
2002-10-28,239.383
2002-10-29,229.033
2002-10-30,239.033
2002-10-31,246.126
2002-11-01,248.545
2002-11-04,264.752
2002-11-05,269.776
2002-11-06,260.884
2002-11-07,253.046
2002-11-08,261.035
2002-11-11,260.349
2002-11-12,277.5
2002-11-13,278.626
2002-11-14,286.532
2002-11-15,281.531
2002-11-18,293.528
2002-11-19,285.759
2002-11-20,285.421
2002-11-21,301.52
2002-11-22,301.337
2002-11-25,289.251
2002-11-26,274.545
2002-11-27,286.807
2002-11-28,286.565
2002-11-29,282.574
2002-12-02,280.857
2002-12-03,275.112
2002-12-04,275.387
2002-12-05,274.202
2002-12-06,277.561
2002-12-09,275.023
2002-12-10,271.769
2002-12-11,269.99
2002-12-12,263.443
2002-12-13,266.517
2002-12-16,266.772
2002-12-17,260.842
2002-12-18,252.187
2002-12-19,249.434
2002-12-20,250.277
2002-12-23,248.288
2002-12-24,249.541
2002-12-25,249.541
2002-12-26,250.027
2002-12-27,241.426
2002-12-30,245.758
2002-12-31,247.086
2003-01-01,247.086
2003-01-02,257.954
2003-01-03,261.419
2003-01-06,262.88
2003-01-07,265.592
2003-01-08,255.384
2003-01-09,260.498
2003-01-10,267.193
2003-01-13,268.163
2003-01-14,277.139
2003-01-15,272.626
2003-01-16,270.602
2003-01-17,264.508
2003-01-20,268.258
2003-01-21,264.87
2003-01-22,259.331
2003-01-23,259.081
2003-01-24,260.984
2003-01-27,248.851
2003-01-28,246.362
2003-01-29,255.603
2003-01-30,263.53
2003-01-31,261.475
2003-02-03,256.817
2003-02-04,244.882
2003-02-05,250.971
2003-02-06,257.141
2003-02-07,253.055
2003-02-10,244.999
2003-02-11,251.575
2003-02-12,255.377
2003-02-13,257.065
2003-02-14,259.231
