Date,SWEDEN LARGE GROWTH Large Cap
2001-01-01,938.601
2001-01-02,915.66
2001-01-03,864.722
2001-01-04,965.802
2001-01-05,977.018
2001-01-08,947.589
2001-01-09,911.191
2001-01-10,910.87
2001-01-11,967.741
2001-01-12,1003.227
2001-01-15,1007.458
2001-01-16,962.029
2001-01-17,1016.753
2001-01-18,1044.53
2001-01-19,1032.715
2001-01-22,1016.399
2001-01-23,986.347
2001-01-24,996.387
2001-01-25,1032.47
2001-01-26,956.895
2001-01-29,973.629
2001-01-30,1004.398
2001-01-31,1033.645
2001-02-01,1015.699
2001-02-02,991.029
2001-02-05,968.191
2001-02-06,974.461
2001-02-07,952.688
2001-02-08,932.488
2001-02-09,877.35
2001-02-12,892.59
2001-02-13,887.355
2001-02-14,823.107
2001-02-15,852.819
2001-02-16,821.541
2001-02-19,819.984
2001-02-20,804.618
2001-02-21,790.124
2001-02-22,750.761
2001-02-23,720.269
2001-02-26,764.343
2001-02-27,791.124
2001-02-28,779.888
2001-03-01,750.684
2001-03-02,770.547
2001-03-05,803.502
2001-03-06,844.577
2001-03-07,835.716
2001-03-08,813.768
2001-03-09,779.796
2001-03-12,662.425
2001-03-13,634.874
2001-03-14,633.83
2001-03-15,647.12
2001-03-16,584.56
2001-03-19,588.683
2001-03-20,636.01
2001-03-21,607.48
2001-03-22,557.657
2001-03-23,594.68
2001-03-26,623.08
2001-03-27,652.767
2001-03-28,616.442
2001-03-29,577.279
2001-03-30,569.825
2001-04-02,564.381
2001-04-03,538.189
2001-04-04,531.233
2001-04-05,591.255
2001-04-06,578.858
2001-04-09,598.132
2001-04-10,624.82
2001-04-11,627.769
2001-04-12,615.006
2001-04-13,615.006
2001-04-16,608.559
2001-04-17,591.386
2001-04-18,645.373
2001-04-19,676.313
2001-04-20,630.958
2001-04-23,602.084
2001-04-24,599.633
2001-04-25,624.97
2001-04-26,644.459
2001-04-27,656.382
2001-04-30,678.158
2001-05-01,680.996
2001-05-02,680.798
2001-05-03,660.75
2001-05-04,665.474
2001-05-07,677.559
2001-05-08,658.972
2001-05-09,642.487
2001-05-10,658.368
2001-05-11,656.414
2001-05-14,644.921
2001-05-15,642.945
2001-05-16,639.297
2001-05-17,666.537
2001-05-18,691.288
2001-05-21,716.506
2001-05-22,719.412
2001-05-23,693.638
2001-05-24,691.402
2001-05-25,683.318
2001-05-28,687.917
2001-05-29,677.148
2001-05-30,655.935
2001-05-31,632.327
2001-06-01,616.582
2001-06-04,613.372
2001-06-05,634.991
2001-06-06,622.037
2001-06-07,601.971
2001-06-08,584.827
2001-06-11,566.53
2001-06-12,544.612
2001-06-13,551.906
2001-06-14,536.437
2001-06-15,559.733
2001-06-18,556.167
2001-06-19,554.891
2001-06-20,526.049
2001-06-21,541.293
2001-06-22,542.425
2001-06-25,548.536
2001-06-26,540.04
2001-06-27,551.697
2001-06-28,566.137
2001-06-29,578.085
2001-07-02,590.86
2001-07-03,587.718
2001-07-04,565.461
2001-07-05,532.869
2001-07-06,507.846
2001-07-09,510.489
2001-07-10,516.814
2001-07-11,505.768
2001-07-12,529.172
2001-07-13,535.387
2001-07-16,548.314
2001-07-17,525.939
2001-07-18,521.752
2001-07-19,535.013
2001-07-20,527.847
2001-07-23,519.766
2001-07-24,517.361
2001-07-25,506.481
2001-07-26,511.719
2001-07-27,539.145
2001-07-30,564.634
2001-07-31,580.852
2001-08-01,578.567
2001-08-02,587.816
2001-08-03,579.241
2001-08-06,572.792
2001-08-07,583.869
2001-08-08,569.466
2001-08-09,552.186
2001-08-10,548.069
2001-08-13,556.262
2001-08-14,573.821
2001-08-15,574.778
2001-08-16,556.3
2001-08-17,538.078
2001-08-20,524.503
2001-08-21,539.629
2001-08-22,547.796
2001-08-23,553.648
2001-08-24,573.057
2001-08-27,576.263
2001-08-28,562.895
2001-08-29,553.802
2001-08-30,531.525
2001-08-31,523.394
2001-09-03,512.859
2001-09-04,477.915
2001-09-05,457.188
2001-09-06,455.91
2001-09-07,440.039
2001-09-10,440.473
2001-09-11,401.568
2001-09-12,427.675
2001-09-13,416.71
2001-09-14,413.487
2001-09-17,425.95
2001-09-18,414.911
2001-09-19,410.922
2001-09-20,391.445
2001-09-21,379.506
2001-09-24,412.602
2001-09-25,434.673
2001-09-26,422.949
2001-09-27,414.959
2001-09-28,430.011
2001-10-01,415.551
2001-10-02,421.608
2001-10-03,418.216
2001-10-04,441.768
2001-10-05,450.864
2001-10-08,460.358
2001-10-09,455.344
2001-10-10,457.876
2001-10-11,481.08
2001-10-12,484.73
2001-10-15,474.779
2001-10-16,480.654
2001-10-17,520.406
2001-10-18,495.533
2001-10-19,471.055
2001-10-22,465.561
2001-10-23,488.205
2001-10-24,491.544
2001-10-25,485.241
2001-10-26,514.491
2001-10-29,498.026
2001-10-30,475.527
2001-10-31,482.088
2001-11-01,486.065
2001-11-02,487.143
2001-11-05,509.559
2001-11-06,519.164
2001-11-07,526.671
2001-11-08,539.879
2001-11-09,526.177
2001-11-12,516.503
2001-11-13,540.751
2001-11-14,546.187
2001-11-15,558.142
2001-11-16,567.584
2001-11-19,569.6
2001-11-20,553.608
2001-11-21,544.367
2001-11-22,571.92
2001-11-23,572.877
2001-11-26,588.288
2001-11-27,577.535
2001-11-28,564.188
2001-11-29,556.143
2001-11-30,568.972
2001-12-03,561.593
2001-12-04,583.232
2001-12-05,625.456
2001-12-06,625.86
2001-12-07,615.264
2001-12-10,603.189
2001-12-11,609.999
2001-12-12,597.465
2001-12-13,573.83
2001-12-14,561.82
2001-12-17,577.398
2001-12-18,572.407
2001-12-19,553.372
2001-12-20,535.165
2001-12-21,544.264
2001-12-24,537.071
2001-12-25,537.071
2001-12-26,535.245
2001-12-27,554.361
2001-12-28,568.847
2001-12-31,573.47
2002-01-01,573.47
2002-01-02,578.783
2002-01-03,604.642
