Date,NETHERLANDS SMALL GROWTH Small Cap
1994-05-31,316.453
1994-06-30,311.907
1994-07-29,320.945
1994-08-31,339.82
1994-09-30,339.574
1994-10-31,344.985
1994-11-30,330.744
1994-12-30,345.782
1995-01-31,354.969
1995-02-28,367.223
1995-03-31,386.599
1995-04-28,392.663
1995-05-31,389.933
1995-06-30,407.563
1995-07-31,418.317
1995-08-31,390.041
1995-09-29,408.877
1995-10-31,400.882
1995-11-30,379.987
1995-12-29,394.536
1996-01-31,411.264
1996-02-29,426.84
1996-03-29,456.549
1996-04-30,454.802
1996-05-31,487.668
1996-06-28,497.024
1996-07-31,483.173
1996-08-30,493.603
1996-09-30,498.416
1996-10-31,491.201
1996-11-29,496.434
1996-12-31,499.029
1997-01-31,503.996
1997-02-28,503.147
1997-03-31,517.761
1997-04-30,493.539
1997-05-30,527.292
1997-06-30,534.119
1997-07-31,535.644
1997-08-29,526.553
1997-09-30,544.085
1997-10-31,526.903
1997-11-28,514.761
1997-12-31,496.584
1998-01-30,512.771
1998-02-27,557.646
1998-03-31,597.272
1998-04-30,614.684
1998-05-29,657.028
1998-06-30,659.922
1998-07-31,670.592
1998-08-31,592.414
1998-09-30,545.458
1998-10-30,546.327
1998-11-30,556.922
1998-12-31,558.908
1999-01-29,537.189
1999-02-26,514.042
1999-03-31,512.113
1999-04-30,518.525
1999-05-31,509.422
1999-06-30,516.786
1999-07-30,523.402
1999-08-31,522.515
1999-09-30,494.214
1999-10-29,485.942
1999-11-30,500.038
1999-12-31,566.952
2000-01-31,608.981
2000-02-29,689.78
2000-03-31,672.322
2000-04-28,657.92
2000-05-31,614.82
2000-06-30,619.094
2000-07-31,604.595
2000-08-31,597.854
2000-09-29,563.779
2000-10-31,519.122
2000-11-30,468.867
2000-12-29,498.558
2001-01-31,511.123
2001-02-28,479.477
2001-03-30,422.813
2001-04-30,444.01
2001-05-31,447.474
2001-06-29,401.43
2001-07-31,408.574
2001-08-31,412.076
2001-09-28,338.108
2001-10-31,348.094
2001-11-30,357.333
2001-12-31,359.331
2002-01-31,351.534
2002-02-28,345.394
2002-03-29,350.36
2002-04-30,339.85
2002-05-31,325.795
2002-06-28,308.91
2002-07-31,272.592
2002-08-30,262.303
2002-09-30,218.973
2002-10-31,232.735
2002-11-29,251.341
2002-12-31,255.304
2003-01-31,249.822
2003-02-28,229.33
2003-03-31,234.617
2003-04-30,264.17
2003-05-30,291.201
2003-06-30,307.864
2003-07-31,314.495
2003-08-29,340.318
2003-09-30,349.396
2003-10-31,380.564
2003-11-28,404.354
2003-12-31,428.392
2004-01-30,473.66
2004-02-27,491.058
2004-03-31,456.668
2004-04-30,455.514
2004-05-31,456.952
2004-06-30,461.195
2004-07-30,439.187
2004-08-31,431.896
2004-09-30,470.483
2004-10-29,469.273
2004-11-30,527.413
2004-12-31,542.444
2005-01-31,543.755
2005-02-28,592.939
2005-03-31,555.042
2005-04-29,520.575
2005-05-31,512.21
2005-06-30,529.49
2005-07-29,541.989
2005-08-31,566.252
2005-09-30,596.273
2005-10-31,550.676
