Date,NETHERLANDS SMALL GROWTH Small Cap
2001-01-01,498.558
2001-01-02,493.845
2001-01-03,482.677
2001-01-04,486.374
2001-01-05,481.375
2001-01-08,473.831
2001-01-09,472.682
2001-01-10,472.973
2001-01-11,485.782
2001-01-12,492.254
2001-01-15,492.305
2001-01-16,485.725
2001-01-17,494.059
2001-01-18,503.68
2001-01-19,505.852
2001-01-22,507.027
2001-01-23,507.455
2001-01-24,502.595
2001-01-25,502.568
2001-01-26,498.209
2001-01-29,499.188
2001-01-30,506.381
2001-01-31,511.123
2001-02-01,513.278
2001-02-02,508.474
2001-02-05,505.148
2001-02-06,508.399
2001-02-07,508.245
2001-02-08,500.989
2001-02-09,501.204
2001-02-12,505.397
2001-02-13,500.066
2001-02-14,492.182
2001-02-15,494.087
2001-02-16,496.459
2001-02-19,493.561
2001-02-20,486.632
2001-02-21,479.624
2001-02-22,473.512
2001-02-23,463.77
2001-02-26,474.01
2001-02-27,480.374
2001-02-28,479.477
2001-03-01,475.997
2001-03-02,481.986
2001-03-05,484.114
2001-03-06,487.774
2001-03-07,486.939
2001-03-08,488.081
2001-03-09,482.348
2001-03-12,472.684
2001-03-13,459.221
2001-03-14,448.274
2001-03-15,445.301
2001-03-16,434.94
2001-03-19,430.784
2001-03-20,434.839
2001-03-21,422.554
2001-03-22,396.985
2001-03-23,410.595
2001-03-26,423.115
2001-03-27,426.549
2001-03-28,422.462
2001-03-29,418.084
2001-03-30,422.813
2001-04-02,414.818
2001-04-03,402.939
2001-04-04,407.377
2001-04-05,413.779
2001-04-06,411.683
2001-04-09,410.123
2001-04-10,408.796
2001-04-11,415.662
2001-04-12,423.701
2001-04-13,423.701
2001-04-16,419.362
2001-04-17,418.446
2001-04-18,430.713
2001-04-19,438.004
2001-04-20,442.93
2001-04-23,435.83
2001-04-24,437.523
2001-04-25,443.799
2001-04-26,449.433
2001-04-27,446.471
2001-04-30,444.01
2001-05-01,453.793
2001-05-02,461.555
2001-05-03,459.387
2001-05-04,461.762
2001-05-07,465.09
2001-05-08,464.339
2001-05-09,459.146
2001-05-10,464.252
2001-05-11,461.441
2001-05-14,460.718
2001-05-15,460.109
2001-05-16,458.614
2001-05-17,462.183
2001-05-18,463.198
2001-05-21,465.087
2001-05-22,469.063
2001-05-23,468.083
2001-05-24,463.183
2001-05-25,461.398
2001-05-28,463.442
2001-05-29,455.75
2001-05-30,452.16
2001-05-31,447.474
2001-06-01,445.651
2001-06-04,445.957
2001-06-05,446.816
2001-06-06,447.798
2001-06-07,448.556
2001-06-08,443.36
2001-06-11,433.041
2001-06-12,426.717
2001-06-13,434.213
2001-06-14,435.804
2001-06-15,428.573
2001-06-18,427.872
2001-06-19,423.908
2001-06-20,410.549
2001-06-21,414.27
2001-06-22,418.122
2001-06-25,420.028
2001-06-26,409.964
2001-06-27,406.946
2001-06-28,398.2
2001-06-29,401.43
2001-07-02,403.952
2001-07-03,407.186
2001-07-04,406.413
2001-07-05,394.653
2001-07-06,394.109
2001-07-09,391.94
2001-07-10,396.98
2001-07-11,392.111
2001-07-12,393.273
2001-07-13,395.352
2001-07-16,394.338
2001-07-17,382.938
2001-07-18,386.973
2001-07-19,386.176
2001-07-20,384.371
2001-07-23,383.383
2001-07-24,390.728
2001-07-25,393.01
2001-07-26,397.786
2001-07-27,400.992
2001-07-30,405.232
2001-07-31,408.574
2001-08-01,414.875
2001-08-02,419.979
2001-08-03,419.647
2001-08-06,416.118
2001-08-07,411.733
2001-08-08,407.558
2001-08-09,408.27
2001-08-10,412.634
2001-08-13,414.455
2001-08-14,414.933
2001-08-15,415.082
2001-08-16,414.254
2001-08-17,416.786
2001-08-20,412.612
2001-08-21,416.282
2001-08-22,419.969
2001-08-23,416.722
2001-08-24,426.301
2001-08-27,421.718
2001-08-28,419.111
2001-08-29,420.267
2001-08-30,413.425
2001-08-31,412.076
