Date,NETHERLANDS SMALL GROWTH Small Cap
1994-05-31,330.696
1994-06-30,325.885
1994-07-29,335.329
1994-08-31,355.049
1994-09-30,354.793
1994-10-31,360.446
1994-11-30,345.567
1994-12-30,361.279
1995-01-31,370.877
1995-02-28,383.681
1995-03-31,403.778
1995-04-28,410.112
1995-05-31,406.478
1995-06-30,424.571
1995-07-31,435.701
1995-08-31,406.206
1995-09-29,425.775
1995-10-31,417.45
1995-11-30,395.691
1995-12-29,410.773
1996-01-31,428.188
1996-02-29,444.405
1996-03-29,475.202
1996-04-30,473.327
1996-05-31,506.588
1996-06-28,516.208
1996-07-31,501.802
1996-08-30,512.633
1996-09-30,517.632
1996-10-31,510.138
1996-11-29,515.499
1996-12-31,518.193
1997-01-31,523.351
1997-02-28,522.47
1997-03-31,537.616
1997-04-30,512.211
1997-05-30,545.908
1997-06-30,552.913
1997-07-31,554.492
1997-08-29,544.987
1997-09-30,563.086
1997-10-31,545.304
1997-11-28,532.644
1997-12-31,513.822
1998-01-30,530.571
1998-02-27,577.004
1998-03-31,617.982
1998-04-30,635.361
1998-05-29,677.648
1998-06-30,680.436
1998-07-31,691.428
1998-08-31,610.821
1998-09-30,562.367
1998-10-30,563.262
1998-11-30,574.186
1998-12-31,576.233
1999-01-29,553.842
1999-02-26,529.977
1999-03-31,527.988
1999-04-30,534.475
1999-05-31,524.771
1999-06-30,532.357
1999-07-30,539.172
1999-08-31,538.258
1999-09-30,509.105
1999-10-29,500.584
1999-11-30,515.105
1999-12-31,584.034
2000-01-31,627.33
2000-02-29,710.564
2000-03-31,692.421
2000-04-28,677.303
2000-05-31,632.034
2000-06-30,636.367
2000-07-31,621.463
2000-08-31,614.534
2000-09-29,579.509
2000-10-31,533.605
2000-11-30,481.948
2000-12-29,512.468
2001-01-31,525.384
2001-02-28,492.854
2001-03-30,434.475
2001-04-30,455.672
2001-05-31,458.432
2001-06-29,411.089
2001-07-31,418.406
2001-08-31,421.992
2001-09-28,346.244
2001-10-31,356.47
2001-11-30,365.931
2001-12-31,367.978
2002-01-31,359.992
2002-02-28,353.705
2002-03-29,358.622
2002-04-30,347.4
2002-05-31,332.278
2002-06-28,314.768
2002-07-31,277.761
2002-08-30,267.235
2002-09-30,223.09
2002-10-31,237.111
2002-11-29,256.068
2002-12-31,260.105
2003-01-31,254.019
2003-02-28,233.183
2003-03-31,238.319
2003-04-30,267.953
2003-05-30,294.486
2003-06-30,311.337
2003-07-31,318.042
2003-08-29,344.157
2003-09-30,353.337
2003-10-31,384.857
2003-11-28,408.915
2003-12-31,433.224
2004-01-30,479.003
2004-02-27,496.598
2004-03-31,461.656
2004-04-30,459.728
2004-05-31,460.551
2004-06-30,464.827
2004-07-30,442.645
2004-08-31,435.297
2004-09-30,474.188
2004-10-29,472.968
2004-11-30,531.566
2004-12-31,546.716
2005-01-31,548.037
2005-02-28,597.608
2005-03-31,559.413
2005-04-29,524.223
2005-05-31,515.12
2005-06-30,532.498
2005-07-29,545.068
2005-08-31,569.29
2005-09-30,599.472
2005-10-31,553.63
2005-11-30,575.132
2005-12-30,600.201
2006-01-31,669.003
2006-02-28,685.785
2006-03-31,751.458
2006-04-28,829.752
2006-05-31,785.04
2006-06-30,763.318
2006-07-31,726.225
2006-08-31,732.095
2006-09-29,722.998
2006-10-31,762.024
2006-11-30,791.184
2006-12-29,841.004
2007-01-31,864.871
2007-02-28,868.242
2007-03-30,903.075
2007-04-30,958.173
2007-05-31,1000.0
2007-06-29,1019.353
2007-07-31,1095.455
2007-08-31,1030.403
2007-09-28,1050.251
2007-10-31,1118.756
2007-11-30,1091.232
2007-12-31,1077.083
2008-01-31,937.727
2008-02-29,1029.063
2008-03-31,1027.128
2008-04-30,1087.571
2008-05-30,1155.146
2008-06-30,1033.025
2008-07-31,966.899
2008-08-29,939.149
2008-09-30,749.496
2008-10-31,503.365
2008-11-28,419.375
2008-12-31,481.475
2009-01-30,470.769
2009-02-27,441.474
2009-03-31,482.352
2009-04-30,571.346
2009-05-29,651.892
2009-06-30,660.026
2009-07-31,729.314
2009-08-31,783.842
2009-09-30,824.75
2009-10-30,838.852
2009-11-30,897.086
2009-12-31,904.604
2010-01-29,897.475
2010-02-26,884.571
2010-03-31,948.374
2010-04-30,937.379
2010-05-31,766.878
2010-06-30,761.604
2010-07-30,823.62
2010-08-31,773.64
2010-09-30,933.453
2010-10-29,995.186
2010-11-30,959.159
2010-12-31,1072.484
2011-01-31,1056.15
