Date,NETHERLANDS SMALL GROWTH Small Cap
2001-01-01,512.468
2001-01-02,507.623
2001-01-03,496.144
2001-01-04,499.944
2001-01-05,494.805
2001-01-08,487.051
2001-01-09,485.87
2001-01-10,486.169
2001-01-11,499.336
2001-01-12,505.988
2001-01-15,506.04
2001-01-16,499.277
2001-01-17,507.843
2001-01-18,517.733
2001-01-19,519.965
2001-01-22,521.173
2001-01-23,521.613
2001-01-24,516.618
2001-01-25,516.59
2001-01-26,512.109
2001-01-29,513.116
2001-01-30,520.509
2001-01-31,525.384
2001-02-01,527.598
2001-02-02,522.66
2001-02-05,519.242
2001-02-06,522.583
2001-02-07,522.425
2001-02-08,514.967
2001-02-09,515.188
2001-02-12,519.498
2001-02-13,514.018
2001-02-14,505.914
2001-02-15,507.872
2001-02-16,510.31
2001-02-19,507.332
2001-02-20,500.209
2001-02-21,493.005
2001-02-22,486.723
2001-02-23,476.71
2001-02-26,487.235
2001-02-27,493.776
2001-02-28,492.854
2001-03-01,489.278
2001-03-02,495.433
2001-03-05,497.621
2001-03-06,501.383
2001-03-07,500.525
2001-03-08,501.698
2001-03-09,495.806
2001-03-12,485.872
2001-03-13,472.034
2001-03-14,460.781
2001-03-15,457.725
2001-03-16,447.023
2001-03-19,442.752
2001-03-20,446.92
2001-03-21,434.294
2001-03-22,408.014
2001-03-23,421.92
2001-03-26,434.784
2001-03-27,438.313
2001-03-28,434.113
2001-03-29,429.615
2001-03-30,434.475
2001-04-02,426.259
2001-04-03,414.052
2001-04-04,418.613
2001-04-05,425.191
2001-04-06,423.037
2001-04-09,421.434
2001-04-10,420.071
2001-04-11,427.126
2001-04-12,435.387
2001-04-13,435.387
2001-04-16,430.928
2001-04-17,429.987
2001-04-18,442.592
2001-04-19,450.023
2001-04-20,455.085
2001-04-23,447.548
2001-04-24,449.286
2001-04-25,455.696
2001-04-26,461.327
2001-04-27,458.198
2001-04-30,455.672
2001-05-01,465.697
2001-05-02,473.663
2001-05-03,471.438
2001-05-04,473.834
2001-05-07,477.248
2001-05-08,476.477
2001-05-09,471.149
2001-05-10,476.293
2001-05-11,473.342
2001-05-14,472.37
2001-05-15,471.671
2001-05-16,470.138
2001-05-17,473.797
