Date,JAPAN LARGE CAP Large Cap
1994-05-31,939.098
1994-06-30,987.822
1994-07-29,949.311
1994-08-31,956.526
1994-09-30,934.052
1994-10-31,959.33
1994-11-30,903.685
1994-12-30,918.662
1995-01-31,860.915
1995-02-28,813.596
1995-03-31,896.254
1995-04-28,939.716
1995-05-31,884.07
1995-06-30,846.87
1995-07-31,910.557
1995-08-31,872.118
1995-09-29,881.902
1995-10-31,832.97
1995-11-30,879.333
1995-12-29,918.215
1996-01-31,897.781
1996-02-29,883.641
1996-03-29,916.758
1996-04-30,969.076
1996-05-31,920.885
1996-06-28,926.671
1996-07-31,885.525
1996-08-30,849.337
1996-09-30,878.934
1996-10-31,819.796
1996-11-29,832.648
1996-12-31,778.095
1997-01-31,693.575
1997-02-28,709.904
1997-03-31,691.853
1997-04-30,710.966
1997-05-30,800.461
1997-06-30,856.898
1997-07-31,833.839
1997-08-29,762.752
1997-09-30,754.123
1997-10-31,684.743
1997-11-28,643.227
1997-12-31,607.71
1998-01-30,659.232
1998-02-27,659.366
1998-03-31,616.987
1998-04-30,614.362
1998-05-29,582.085
1998-06-30,584.41
1998-07-31,578.202
1998-08-31,514.474
1998-09-30,505.865
1998-10-30,589.829
1998-11-30,617.366
1998-12-31,641.113
1999-01-29,645.933
1999-02-26,633.405
1999-03-31,725.017
1999-04-30,758.756
1999-05-31,718.165
1999-06-30,798.875
1999-07-30,887.303
1999-08-31,908.712
1999-09-30,983.105
1999-10-29,1067.139
1999-11-30,1177.188
1999-12-31,1259.45
2000-01-31,1181.261
2000-02-29,1181.101
2000-03-31,1243.059
2000-04-28,1127.224
2000-05-31,1014.999
2000-06-30,1067.936
2000-07-31,937.943
2000-08-31,1003.556
2000-09-29,959.079
2000-10-31,892.147
2000-11-30,858.35
2000-12-29,778.532
2001-01-31,779.025
2001-02-28,728.555
2001-03-30,702.415
2001-04-30,755.822
2001-05-31,749.929
2001-06-29,701.635
2001-07-31,636.964
2001-08-31,611.792
2001-09-28,570.825
2001-10-31,571.668
2001-11-30,571.716
2001-12-31,529.799
2002-01-31,486.255
2002-02-28,505.126
2002-03-29,541.3
2002-04-30,569.342
2002-05-31,605.406
2002-06-28,573.132
2002-07-31,531.93
2002-08-30,526.32
2002-09-30,503.007
2002-10-31,470.961
2002-11-29,491.675
2002-12-31,478.285
2003-01-31,456.771
2003-02-28,456.501
2003-03-31,434.558
2003-04-30,428.427
2003-05-30,450.461
2003-06-30,482.969
2003-07-31,505.212
2003-08-29,554.535
2003-09-30,586.779
2003-10-31,607.94
2003-11-28,593.762
2003-12-31,632.403
2004-01-30,643.887
2004-02-27,643.045
2004-03-31,724.716
2004-04-30,686.453
2004-05-31,661.58
2004-06-30,691.546
2004-07-30,653.754
