Date,JAPAN LARGE CAP Large Cap
1994-05-31,951.968
1994-06-30,1001.329
1994-07-29,962.289
1994-08-31,969.59
1994-09-30,946.552
1994-10-31,972.166
1994-11-30,915.773
1994-12-30,930.923
1995-01-31,872.4
1995-02-28,824.433
1995-03-31,907.782
1995-04-28,951.803
1995-05-31,895.438
1995-06-30,857.744
1995-07-31,922.247
1995-08-31,883.299
1995-09-29,892.929
1995-10-31,843.385
1995-11-30,890.324
1995-12-29,929.678
1996-01-31,908.983
1996-02-29,894.651
1996-03-29,927.833
1996-04-30,980.784
1996-05-31,932.008
1996-06-28,937.854
1996-07-31,896.209
1996-08-30,859.574
1996-09-30,889.269
1996-10-31,829.436
1996-11-29,842.437
1996-12-31,787.229
1997-01-31,701.713
1997-02-28,718.22
1997-03-31,699.648
1997-04-30,718.976
1997-05-30,809.479
1997-06-30,866.54
1997-07-31,843.22
1997-08-29,771.323
1997-09-30,762.366
1997-10-31,692.228
1997-11-28,650.256
1997-12-31,614.339
1998-01-30,666.417
1998-02-27,666.54
1998-03-31,623.411
1998-04-30,620.759
1998-05-29,588.145
1998-06-30,590.485
1998-07-31,584.211
1998-08-31,519.815
1998-09-30,510.928
1998-10-30,595.732
1998-11-30,623.544
1998-12-31,647.516
1999-01-29,652.375
1999-02-26,639.712
1999-03-31,731.765
1999-04-30,765.818
1999-05-31,724.846
1999-06-30,806.293
1999-07-30,895.538
1999-08-31,917.142
1999-09-30,991.806
1999-10-29,1076.584
1999-11-30,1187.603
1999-12-31,1270.577
2000-01-31,1191.687
2000-02-29,1191.515
2000-03-31,1253.486
2000-04-28,1136.68
2000-05-31,1023.509
2000-06-30,1076.875
2000-07-31,945.79
2000-08-31,1011.939
2000-09-29,966.672
2000-10-31,899.205
2000-11-30,865.128
2000-12-29,784.664
2001-01-31,785.151
2001-02-28,734.268
2001-03-30,707.462
2001-04-30,761.236
2001-05-31,755.292
2001-06-29,706.635
2001-07-31,641.497
2001-08-31,616.134
2001-09-28,574.481
2001-10-31,575.346
2001-11-30,575.393
2001-12-31,533.191
2002-01-31,489.361
2002-02-28,508.333
2002-03-29,544.3
2002-04-30,572.49
2002-05-31,608.745
2002-06-28,576.269
2002-07-31,534.838
2002-08-30,529.188
2002-09-30,505.374
2002-10-31,473.161
2002-11-29,493.902
2002-12-31,480.487
2003-01-31,458.871
2003-02-28,458.584
2003-03-31,436.074
2003-04-30,429.912
2003-05-30,451.972
2003-06-30,484.577
2003-07-31,506.892
2003-08-29,556.373
2003-09-30,588.505
2003-10-31,609.722
2003-11-28,595.494
2003-12-31,634.224
2004-01-30,645.739
2004-02-27,644.888
2004-03-31,726.574
2004-04-30,688.201
2004-05-31,663.238
2004-06-30,693.264
2004-07-30,655.377
2004-08-31,658.325
2004-09-30,642.02
2004-10-29,659.103
2004-11-30,688.514
2004-12-31,724.916
2005-01-31,701.049
2005-02-28,715.431
2005-03-31,698.755
2005-04-29,679.645
2005-05-31,675.97
2005-06-30,673.599
2005-07-29,680.216
2005-08-31,729.965
2005-09-30,808.991
2005-10-31,795.699
2005-11-30,829.269
2005-12-30,896.496
2006-01-31,940.506
2006-02-28,938.992
2006-03-31,960.269
2006-04-28,992.036
2006-05-31,930.496
2006-06-30,922.491
2006-07-31,922.954
2006-08-31,935.605
2006-09-29,917.843
2006-10-31,937.821
2006-11-30,946.333
2006-12-29,972.457
2007-01-31,978.806
2007-02-28,1014.982
2007-03-30,999.525
2007-04-30,979.014
2007-05-31,1000.0
2007-06-29,998.016
2007-07-31,998.307
2007-08-31,968.52
2007-09-28,990.832
2007-10-31,986.482
2007-11-30,971.91
2007-12-31,933.629
2008-01-31,890.292
2008-02-29,896.47
2008-03-31,854.305
