Date,JAPAN LARGE CAP Large Cap
2001-01-01,778.532
2001-01-02,776.526
2001-01-03,777.273
2001-01-04,771.854
2001-01-05,778.091
2001-01-08,777.924
2001-01-09,759.427
2001-01-10,749.62
2001-01-11,727.012
2001-01-12,729.232
2001-01-15,729.449
2001-01-16,750.077
2001-01-17,762.88
2001-01-18,778.304
2001-01-19,784.022
2001-01-22,787.819
2001-01-23,781.694
2001-01-24,771.937
2001-01-25,779.433
2001-01-26,773.249
2001-01-29,775.575
2001-01-30,776.628
2001-01-31,779.025
2001-02-01,783.255
2001-02-02,772.182
2001-02-05,761.555
2001-02-06,757.972
2001-02-07,759.646
2001-02-08,746.943
2001-02-09,746.496
2001-02-12,746.496
2001-02-13,743.375
2001-02-14,743.629
2001-02-15,750.354
2001-02-16,745.675
2001-02-19,734.508
2001-02-20,743.813
2001-02-21,731.889
2001-02-22,736.848
2001-02-23,745.447
2001-02-26,748.496
2001-02-27,742.443
2001-02-28,728.555
2001-03-01,720.55
2001-03-02,692.589
2001-03-05,688.529
2001-03-06,706.556
2001-03-07,711.426
2001-03-08,710.727
2001-03-09,710.876
2001-03-12,686.37
2001-03-13,666.912
2001-03-14,657.083
2001-03-15,665.662
2001-03-16,670.517
2001-03-19,674.32
2001-03-20,672.009
2001-03-21,714.559
2001-03-22,698.563
2001-03-23,720.864
2001-03-26,748.767
2001-03-27,747.098
2001-03-28,758.949
2001-03-29,718.784
2001-03-30,702.415
2001-04-02,690.035
2001-04-03,705.501
2001-04-04,714.339
2001-04-05,726.109
2001-04-06,728.391
2001-04-09,701.894
2001-04-10,692.79
2001-04-11,710.095
2001-04-12,722.571
2001-04-13,720.178
2001-04-16,709.295
2001-04-17,707.798
2001-04-18,736.904
2001-04-19,753.505
2001-04-20,741.139
2001-04-23,747.323
2001-04-24,739.897
2001-04-25,749.087
2001-04-26,757.711
2001-04-27,754.287
2001-04-30,755.822
2001-05-01,791.989
2001-05-02,803.098
2001-05-03,809.402
2001-05-04,809.535
2001-05-07,821.017
2001-05-08,797.333
2001-05-09,783.963
2001-05-10,772.332
2001-05-11,771.809
2001-05-14,758.888
2001-05-15,767.752
2001-05-16,752.298
2001-05-17,767.728
2001-05-18,757.927
2001-05-21,769.613
2001-05-22,768.805
2001-05-23,778.822
2001-05-24,777.302
2001-05-25,769.022
2001-05-28,760.25
2001-05-29,770.125
2001-05-30,751.888
2001-05-31,749.929
2001-06-01,748.044
2001-06-04,745.116
2001-06-05,738.597
2001-06-06,737.087
2001-06-07,741.418
2001-06-08,738.167
2001-06-11,724.865
2001-06-12,704.121
2001-06-13,703.025
2001-06-14,705.86
2001-06-15,697.259
2001-06-18,689.485
2001-06-19,687.318
2001-06-20,686.698
2001-06-21,700.059
2001-06-22,708.29
2001-06-25,701.396
2001-06-26,702.989
2001-06-27,697.763
2001-06-28,686.732
2001-06-29,701.635
2001-07-02,697.038
2001-07-03,699.831
2001-07-04,691.931
2001-07-05,682.548
2001-07-06,668.094
2001-07-09,664.059
2001-07-10,671.885
2001-07-11,666.051
2001-07-12,680.139
2001-07-13,671.684
2001-07-16,667.653
2001-07-17,658.531
2001-07-18,646.856
2001-07-19,648.385
2001-07-20,650.465
2001-07-23,625.641
2001-07-24,636.187
2001-07-25,644.949
2001-07-26,644.372
2001-07-27,638.3
2001-07-30,623.057
2001-07-31,636.964
2001-08-01,647.055
2001-08-02,668.429
2001-08-03,661.695
2001-08-06,657.443
2001-08-07,660.649
2001-08-08,661.244
2001-08-09,641.57
2001-08-10,645.807
2001-08-13,635.033
2001-08-14,657.558
2001-08-15,663.454
2001-08-16,649.164
2001-08-17,644.839
2001-08-20,634.633
2001-08-21,641.357
2001-08-22,645.055
2001-08-23,630.476
2001-08-24,630.247
2001-08-27,636.855
2001-08-28,630.147
2001-08-29,621.669
2001-08-30,612.236
2001-08-31,611.792
2001-09-03,594.96
2001-09-04,613.782
2001-09-05,598.617
2001-09-06,595.959
2001-09-07,595.617
2001-09-10,578.027
2001-09-11,591.833
2001-09-12,551.338
2001-09-13,560.439
2001-09-14,586.029
2001-09-17,564.465
2001-09-18,575.248
2001-09-19,593.037
2001-09-20,590.888
2001-09-21,570.215
2001-09-24,565.992
2001-09-25,574.768
2001-09-26,563.021
2001-09-27,558.737
2001-09-28,570.825
2001-10-01,579.46
2001-10-02,588.904
2001-10-03,576.174
2001-10-04,590.186
2001-10-05,593.173
2001-10-08,595.227
2001-10-09,576.729
2001-10-10,566.899
2001-10-11,583.397
2001-10-12,597.575
2001-10-15,589.071
2001-10-16,591.542
2001-10-17,599.548
2001-10-18,587.588
2001-10-19,587.709
2001-10-22,584.91
2001-10-23,593.12
2001-10-24,596.131
2001-10-25,600.363
2001-10-26,593.806
2001-10-29,588.711
2001-10-30,581.489
2001-10-31,571.668
2001-11-01,576.217
2001-11-02,575.573
2001-11-05,574.618
2001-11-06,583.632
2001-11-07,566.243
2001-11-08,573.294
2001-11-09,568.234
2001-11-12,561.887
2001-11-13,554.124
2001-11-14,555.765
2001-11-15,567.881
2001-11-16,573.02
2001-11-19,578.646
2001-11-20,576.372
2001-11-21,574.971
2001-11-22,573.755
2001-11-23,571.127
2001-11-26,587.041
2001-11-27,583.417
2001-11-28,571.334
2001-11-29,566.09
2001-11-30,571.716
2001-12-03,556.066
2001-12-04,553.734
2001-12-05,565.526
2001-12-06,570.359
2001-12-07,558.837
2001-12-10,542.454
2001-12-11,538.36
2001-12-12,550.765
2001-12-13,535.067
2001-12-14,529.505
2001-12-17,519.255
2001-12-18,520.816
2001-12-19,524.1
2001-12-20,530.205
2001-12-21,521.815
2001-12-24,520.189
2001-12-25,517.412
2001-12-26,510.771
2001-12-27,518.64
2001-12-28,529.233
2001-12-31,529.799
2002-01-01,529.799
2002-01-02,525.548
2002-01-03,527.244
2002-01-04,543.681
2002-01-07,543.817
2002-01-08,527.013
2002-01-09,522.776
2002-01-10,514.995
