Date,JAPAN LARGE CAP Large Cap
2001-01-01,784.664
2001-01-02,782.642
2001-01-03,783.395
2001-01-04,777.933
2001-01-05,784.22
2001-01-08,784.051
2001-01-09,765.408
2001-01-10,755.524
2001-01-11,732.738
2001-01-12,734.975
2001-01-15,735.194
2001-01-16,755.985
2001-01-17,768.888
2001-01-18,784.434
2001-01-19,790.197
2001-01-22,794.024
2001-01-23,787.851
2001-01-24,778.016
2001-01-25,785.572
2001-01-26,779.33
2001-01-29,781.674
2001-01-30,782.736
2001-01-31,785.151
2001-02-01,789.415
2001-02-02,778.255
2001-02-05,767.544
2001-02-06,763.933
2001-02-07,765.62
2001-02-08,752.817
2001-02-09,752.366
2001-02-12,752.366
2001-02-13,749.22
2001-02-14,749.477
2001-02-15,756.251
2001-02-16,751.534
2001-02-19,740.28
2001-02-20,749.658
2001-02-21,737.64
2001-02-22,742.638
2001-02-23,751.292
2001-02-26,754.365
2001-02-27,748.265
2001-02-28,734.268
2001-03-01,726.2
2001-03-02,698.02
2001-03-05,693.928
2001-03-06,712.097
2001-03-07,717.004
2001-03-08,716.3
2001-03-09,716.45
2001-03-12,691.752
2001-03-13,672.141
2001-03-14,662.235
2001-03-15,670.881
2001-03-16,675.774
2001-03-19,679.607
2001-03-20,677.279
2001-03-21,720.161
2001-03-22,704.04
2001-03-23,726.516
2001-03-26,754.638
2001-03-27,752.471
2001-03-28,764.402
2001-03-29,723.949
2001-03-30,707.462
2001-04-02,694.993
2001-04-03,710.571
2001-04-04,719.472
2001-04-05,731.326
2001-04-06,733.625
2001-04-09,706.937
2001-04-10,697.768
2001-04-11,715.197
2001-04-12,727.763
2001-04-13,725.352
2001-04-16,714.391
2001-04-17,712.883
2001-04-18,742.198
2001-04-19,758.919
2001-04-20,746.465
2001-04-23,752.692
2001-04-24,745.213
2001-04-25,754.454
2001-04-26,763.14
2001-04-27,759.692
2001-04-30,761.236
2001-05-01,797.661
2001-05-02,808.85
2001-05-03,815.198
2001-05-04,815.333
2001-05-07,826.897
2001-05-08,803.043
2001-05-09,789.578
2001-05-10,777.863
2001-05-11,777.336
2001-05-14,764.323
2001-05-15,773.249
2001-05-16,757.685
2001-05-17,773.226
2001-05-18,763.355
2001-05-21,775.122
2001-05-22,774.309
2001-05-23,784.398
2001-05-24,782.865
2001-05-25,774.525
2001-05-28,765.684
2001-05-29,775.629
2001-05-30,757.268
2001-05-31,755.292
2001-06-01,753.393
2001-06-04,750.445
2001-06-05,743.88
2001-06-06,742.359
2001-06-07,746.72
2001-06-08,743.443
2001-06-11,730.045
2001-06-12,709.153
2001-06-13,708.049
2001-06-14,710.905
2001-06-15,702.243
2001-06-18,694.412
2001-06-19,692.23
2001-06-20,691.606
2001-06-21,705.062
2001-06-22,713.352
2001-06-25,706.409
2001-06-26,707.999
2001-06-27,702.735
2001-06-28,691.626
2001-06-29,706.635
2001-07-02,702.005
2001-07-03,704.818
2001-07-04,696.862
2001-07-05,687.412
2001-07-06,672.855
2001-07-09,668.79
2001-07-10,676.672
2001-07-11,670.797
2001-07-12,684.985
2001-07-13,676.469
2001-07-16,672.41
