Date,NETHERLANDS MID CAP Mid Cap
1994-05-31,372.305
1994-06-30,373.388
1994-07-29,396.23
1994-08-31,385.022
1994-09-30,379.125
1994-10-31,387.153
1994-11-30,367.282
1994-12-30,377.195
1995-01-31,384.259
1995-02-28,393.053
1995-03-31,389.689
1995-04-28,402.057
1995-05-31,409.742
1995-06-30,417.398
1995-07-31,423.741
1995-08-31,408.875
1995-09-29,430.569
1995-10-31,429.176
1995-11-30,430.026
1995-12-29,435.804
1996-01-31,457.618
1996-02-29,491.338
1996-03-29,506.471
1996-04-30,516.077
1996-05-31,542.979
1996-06-28,548.574
1996-07-31,548.054
1996-08-30,573.485
1996-09-30,592.635
1996-10-31,596.301
1996-11-29,626.41
1996-12-31,634.87
1997-01-31,662.553
1997-02-28,693.281
1997-03-31,705.269
1997-04-30,705.387
1997-05-30,768.333
1997-06-30,782.549
1997-07-31,843.831
1997-08-29,795.898
1997-09-30,840.436
1997-10-31,798.857
1997-11-28,770.422
1997-12-31,777.95
1998-01-30,819.653
1998-02-27,899.733
1998-03-31,952.559
1998-04-30,964.531
1998-05-29,1001.612
1998-06-30,995.18
1998-07-31,1022.006
1998-08-31,912.475
1998-09-30,823.066
1998-10-30,858.996
1998-11-30,887.113
1998-12-31,920.65
1999-01-29,906.294
1999-02-26,891.369
1999-03-31,855.762
1999-04-30,893.476
1999-05-31,862.417
1999-06-30,891.853
1999-07-30,915.54
1999-08-31,920.121
1999-09-30,923.413
1999-10-29,883.96
1999-11-30,882.429
1999-12-31,982.101
2000-01-31,857.195
2000-02-29,900.269
2000-03-31,908.944
2000-04-28,814.627
2000-05-31,823.334
2000-06-30,857.649
2000-07-31,837.235
2000-08-31,802.036
2000-09-29,744.929
2000-10-31,740.341
2000-11-30,685.996
2000-12-29,705.849
2001-01-31,713.204
2001-02-28,692.022
2001-03-30,625.381
2001-04-30,606.153
2001-05-31,607.737
2001-06-29,540.304
2001-07-31,511.396
2001-08-31,495.68
2001-09-28,438.27
2001-10-31,440.297
2001-11-30,473.394
2001-12-31,491.964
2002-01-31,481.426
2002-02-28,471.915
2002-03-29,526.018
2002-04-30,526.421
2002-05-31,539.027
2002-06-28,511.414
2002-07-31,432.902
2002-08-30,445.02
2002-09-30,383.297
2002-10-31,418.994
2002-11-29,445.884
2002-12-31,407.535
2003-01-31,379.673
2003-02-28,345.493
2003-03-31,344.284
2003-04-30,402.269
2003-05-30,443.194
2003-06-30,444.198
2003-07-31,473.375
2003-08-29,496.85
2003-09-30,482.4
2003-10-31,505.771
2003-11-28,525.892
2003-12-31,551.793
2004-01-30,563.396
2004-02-27,571.491
2004-03-31,546.745
2004-04-30,539.657
2004-05-31,561.121
2004-06-30,564.177
2004-07-30,524.868
2004-08-31,519.489
2004-09-30,531.863
2004-10-29,555.64
2004-11-30,596.856
2004-12-31,613.218
2005-01-31,604.264
2005-02-28,664.289
2005-03-31,633.849
2005-04-29,600.79
2005-05-31,607.525
2005-06-30,617.302
2005-07-29,649.646
2005-08-31,649.377
2005-09-30,658.89
2005-10-31,637.18
2005-11-30,659.964
2005-12-30,685.289
2006-01-31,740.207
2006-02-28,710.136
2006-03-31,748.239
2006-04-28,779.99
2006-05-31,759.718
2006-06-30,757.411
2006-07-31,763.166
2006-08-31,798.223
2006-09-29,835.633
2006-10-31,853.088
2006-11-30,895.339
2006-12-29,921.561
2007-01-31,931.932
2007-02-28,923.697
2007-03-30,929.73
2007-04-30,995.243
2007-05-31,1000.0
2007-06-29,1018.719
2007-07-31,1085.211
2007-08-31,1059.676
2007-09-28,1121.778
2007-10-31,1158.237
2007-11-30,1114.699
2007-12-31,1050.628
2008-01-31,916.859
2008-02-29,922.856
2008-03-31,950.991
2008-04-30,1022.516
2008-05-30,1070.641
2008-06-30,937.442
2008-07-31,849.812
2008-08-29,873.736
2008-09-30,698.632
2008-10-31,535.886
2008-11-28,475.857
2008-12-31,501.707
2009-01-30,473.062
2009-02-27,433.406
2009-03-31,476.115
2009-04-30,552.641
2009-05-29,615.289
2009-06-30,602.509
2009-07-31,691.561
2009-08-31,750.507
2009-09-30,815.271
2009-10-30,791.251
2009-11-30,846.669
2009-12-31,891.494
2010-01-29,855.428
2010-02-26,805.669
2010-03-31,895.134
2010-04-30,886.464
2010-05-31,769.87
2010-06-30,763.711
2010-07-30,858.276
2010-08-31,775.732
2010-09-30,901.395
2010-10-29,950.762
2010-11-30,886.895
2010-12-31,1007.13
2011-01-31,1052.104
2011-02-28,1076.269
2011-03-31,1107.526
2011-04-29,1142.696
2011-05-31,1088.275
2011-06-30,1032.463
2011-07-29,983.07
2011-08-31,859.241
2011-09-30,750.871
2011-10-31,858.073
2011-11-30,797.132
2011-12-30,789.475
2012-01-31,832.0
2012-02-29,904.244
2012-03-30,920.021
2012-04-30,902.521
2012-05-31,767.447
2012-06-29,824.323
2012-07-31,830.771
2012-08-31,860.697
2012-09-28,894.735
2012-10-31,904.393
2012-11-30,911.993
2012-12-31,944.72
2013-01-31,963.996
2013-02-28,936.377
2013-03-29,980.928
2013-04-30,1018.367
2013-05-31,1037.014
2013-06-28,1041.629
2013-07-31,1150.276
2013-08-30,1172.509
2013-09-30,1228.034
2013-10-31,1271.301
2013-11-29,1306.362
2013-12-31,1321.209
2014-01-31,1287.044
2014-02-28,1326.24
2014-03-31,1321.344
2014-04-30,1311.635
2014-05-30,1346.885
2014-06-30,1336.281
2014-07-31,1236.629
2014-08-29,1258.594
2014-09-30,1194.796
2014-10-31,1173.265
2014-11-28,1258.473
2014-12-31,1243.028
2015-01-30,1207.435
2015-02-27,1289.231
2015-03-31,1293.322
2015-04-30,1368.059
2015-05-29,1338.179
2015-06-30,1356.109
2015-07-31,1421.817
2015-08-31,1311.873
2015-09-30,1198.581
2015-10-30,1261.139
2015-11-30,1260.391
2015-12-31,1246.252
2016-01-29,1186.207
2016-02-29,1197.717
2016-03-31,1308.415
2016-04-29,1320.415
2016-05-31,1303.758
2016-06-30,1218.948
2016-07-29,1257.858
2016-08-31,1322.319
2016-09-30,1312.304
2016-10-31,1266.7
2016-11-30,1223.662
2016-12-30,1260.188
2017-01-31,1300.928
2017-02-28,1302.047
2017-03-31,1325.339
2017-04-28,1361.538
2017-05-31,1431.886
2017-06-30,1410.978
2017-07-31,1490.853
2017-08-31,1484.701
2017-09-29,1530.773
2017-10-31,1557.008
2017-11-30,1629.272
2017-12-29,1625.916
2018-01-31,1720.694
2018-02-28,1653.496
2018-03-30,1617.505
2018-04-30,1687.347
2018-05-31,1623.413
2018-06-29,1604.15
2018-07-31,1716.3
2018-08-31,1719.373
2018-09-28,1698.832
2018-10-31,1592.075
2018-11-30,1649.418
2018-12-31,1554.367
2019-01-31,1670.692
2019-02-28,1719.21
2019-03-29,1722.598
2019-04-30,1794.223
2019-05-31,1707.735
2019-06-28,1811.554
2019-07-31,1775.419
2019-08-30,1749.529
2019-09-30,1794.376
2019-10-31,1864.516
2019-11-29,1874.463
2019-12-31,1886.256
2020-01-31,1831.062
2020-02-28,1680.206
2020-03-31,1426.6
2020-04-30,1589.163
2020-05-29,1691.45
2020-06-30,1742.531
2020-07-31,1799.364
2020-08-31,1879.058
2020-09-30,1816.57
2020-10-30,1813.033
2020-11-30,2068.79
2020-12-31,2172.582
2021-01-29,2176.918
2021-02-26,2237.034
2021-03-31,2311.585
2021-04-30,2402.035
2021-05-31,2420.911
2021-06-30,2348.592
2021-07-30,2383.038
2021-08-31,2525.162
2021-09-30,2419.624
2021-10-29,2500.667
2021-11-30,2310.929
2021-12-31,2382.726
2022-01-31,2196.106
2022-02-28,2047.959
