Date,NETHERLANDS MID CAP Mid Cap
1994-05-31,392.321
1994-06-30,393.462
1994-07-29,417.532
1994-08-31,405.679
1994-09-30,399.379
1994-10-31,407.768
1994-11-30,386.839
1994-12-30,397.28
1995-01-31,404.72
1995-02-28,413.778
1995-03-31,410.236
1995-04-28,422.396
1995-05-31,430.027
1995-06-30,438.062
1995-07-31,444.719
1995-08-31,428.988
1995-09-29,451.749
1995-10-31,450.223
1995-11-30,451.115
1995-12-29,457.176
1996-01-31,480.06
1996-02-29,515.28
1996-03-29,531.15
1996-04-30,540.454
1996-05-31,568.204
1996-06-28,574.059
1996-07-31,573.515
1996-08-30,600.072
1996-09-30,620.009
1996-10-31,623.749
1996-11-29,655.244
1996-12-31,664.094
1997-01-31,693.051
1997-02-28,725.057
1997-03-31,737.594
1997-04-30,736.865
1997-05-30,801.722
1997-06-30,816.427
1997-07-31,880.362
1997-08-29,830.284
1997-09-30,876.747
1997-10-31,833.199
1997-11-28,803.478
1997-12-31,811.329
1998-01-30,854.822
1998-02-27,938.172
1998-03-31,993.03
1998-04-30,1004.034
1998-05-29,1041.953
1998-06-30,1035.032
1998-07-31,1062.684
1998-08-31,948.189
1998-09-30,855.281
1998-10-30,892.616
1998-11-30,921.834
1998-12-31,956.683
1999-01-29,941.766
1999-02-26,926.256
1999-03-31,889.055
1999-04-30,927.436
1999-05-31,895.057
1999-06-30,925.473
1999-07-30,950.053
1999-08-31,954.49
1999-09-30,957.905
1999-10-29,916.927
1999-11-30,915.339
1999-12-31,1018.728
2000-01-31,889.163
2000-02-29,933.844
2000-03-31,942.741
2000-04-28,844.638
2000-05-31,852.888
2000-06-30,888.435
2000-07-31,867.289
2000-08-31,830.664
2000-09-29,771.406
2000-10-31,766.615
2000-11-30,710.342
2000-12-29,730.899
2001-01-31,738.515
2001-02-28,716.392
2001-03-30,646.814
2001-04-30,626.068
2001-05-31,627.003
2001-06-29,557.276
2001-07-31,527.244
2001-08-31,510.708
2001-09-28,451.509
2001-10-31,453.543
2001-11-30,487.636
2001-12-31,506.765
2002-01-31,495.661
2002-02-28,485.868
2002-03-29,541.572
2002-04-30,540.425
2002-05-31,552.805
2002-06-28,524.486
2002-07-31,443.805
2002-08-30,455.671
2002-09-30,392.471
2002-10-31,429.022
2002-11-29,456.557
2002-12-31,417.289
2003-01-31,388.76
2003-02-28,353.762
2003-03-31,352.525
2003-04-30,410.016
2003-05-30,451.73
2003-06-30,452.754
2003-07-31,482.293
2003-08-29,505.772
2003-09-30,491.063
2003-10-31,514.697
2003-11-28,535.173
2003-12-31,561.53
2004-01-30,573.338
2004-02-27,581.576
2004-03-31,556.393
2004-04-30,547.661
2004-05-31,569.018
2004-06-30,572.073
2004-07-30,532.055
2004-08-31,526.038
2004-09-30,538.568
2004-10-29,562.452
2004-11-30,604.173
2004-12-31,620.736
2005-01-31,611.672
2005-02-28,672.433
2005-03-31,641.62
2005-04-29,606.338
2005-05-31,612.4
2005-06-30,622.23
2005-07-29,654.653
2005-08-31,654.003
2005-09-30,663.557
2005-10-31,641.471
2005-11-30,664.409
2005-12-30,689.879
2006-01-31,745.165
2006-02-28,714.892
2006-03-31,752.788
2006-04-28,782.903
2006-05-31,762.454
2006-06-30,760.139
2006-07-31,765.309
2006-08-31,800.465
2006-09-29,837.98
2006-10-31,855.119
2006-11-30,897.471
2006-12-29,923.756
2007-01-31,934.151
2007-02-28,925.897
2007-03-30,931.657
2007-04-30,995.784
2007-05-31,1000.0
2007-06-29,1018.719
2007-07-31,1085.053
2007-08-31,1059.436
2007-09-28,1121.524
2007-10-31,1157.975
2007-11-30,1114.447
2007-12-31,1050.39
2008-01-31,916.652
2008-02-29,922.647
2008-03-31,950.268
2008-04-30,1019.991
2008-05-30,1066.554
2008-06-30,933.864
2008-07-31,846.339
2008-08-29,869.825
2008-09-30,695.505
2008-10-31,533.487
2008-11-28,473.727
2008-12-31,499.461
2009-01-30,470.944
2009-02-27,431.466
2009-03-31,473.304
2009-04-30,548.19
2009-05-29,609.559
2009-06-30,596.898
2009-07-31,685.12
2009-08-31,743.167
2009-09-30,807.297
2009-10-30,783.512
2009-11-30,838.388
2009-12-31,882.775
2010-01-29,847.062
2010-02-26,797.79
2010-03-31,886.133
2010-04-30,875.252
2010-05-31,759.591
2010-06-30,753.514
2010-07-30,846.817
2010-08-31,764.908
2010-09-30,888.817
2010-10-29,937.495
2010-11-30,874.52
2010-12-31,993.077
2011-01-31,1037.424
2011-02-28,1061.252
2011-03-31,1092.072
2011-04-29,1123.769
2011-05-31,1068.885
2011-06-30,1014.067
2011-07-29,965.554
2011-08-31,842.964
2011-09-30,736.646
2011-10-31,841.818
2011-11-30,782.031
2011-12-30,774.519
2012-01-31,816.239
2012-02-29,887.115
2012-03-30,902.593
2012-04-30,882.643
2012-05-31,749.246
2012-06-29,804.773
2012-07-31,811.068
2012-08-31,839.674
2012-09-28,872.881
2012-10-31,882.303
2012-11-30,889.717
2012-12-31,921.645
2013-01-31,940.451
2013-02-28,913.505
2013-03-29,956.968
2013-04-30,990.666
2013-05-31,1007.638
2013-06-28,1012.123
2013-07-31,1117.692
2013-08-30,1138.873
2013-09-30,1192.451
2013-10-31,1234.465
2013-11-29,1268.51
2013-12-31,1282.927
2014-01-31,1249.751
2014-02-28,1287.812
2014-03-31,1283.057
2014-04-30,1271.45
2014-05-30,1305.036
2014-06-30,1294.762
2014-07-31,1198.206
2014-08-29,1218.974
2014-09-30,1157.185
2014-10-31,1136.179
2014-11-28,1218.694
2014-12-31,1203.737
2015-01-30,1169.098
2015-02-27,1248.297
2015-03-31,1252.259
2015-04-30,1322.711
2015-05-29,1292.274
2015-06-30,1309.247
2015-07-31,1372.348
2015-08-31,1265.439
2015-09-30,1155.715
2015-10-30,1216.035
2015-11-30,1215.314
2015-12-31,1201.681
2016-01-29,1143.784
2016-02-29,1154.882
2016-03-31,1261.621
2016-04-29,1271.373
2016-05-31,1253.992
2016-06-30,1171.542
2016-07-29,1208.607
2016-08-31,1269.498
2016-09-30,1259.883
2016-10-31,1216.1
2016-11-30,1174.781
2016-12-30,1209.849
2017-01-31,1248.961
2017-02-28,1250.036
2017-03-31,1272.397
2017-04-28,1305.041
2017-05-31,1371.226
2017-06-30,1350.32
2017-07-31,1426.345
2017-08-31,1419.291
2017-09-29,1463.334
2017-10-31,1488.413
2017-11-30,1557.494
2017-12-29,1554.285
2018-01-31,1644.888
2018-02-28,1580.65
2018-03-30,1545.345
2018-04-30,1610.216
2018-05-31,1547.947
2018-06-29,1528.085
2018-07-31,1634.267
2018-08-31,1635.744
2018-09-28,1615.797
2018-10-31,1514.259
2018-11-30,1568.799
2018-12-31,1478.393
2019-01-31,1589.032
2019-02-28,1635.179
2019-03-29,1637.092
2019-04-30,1702.609
2019-05-31,1618.74
2019-06-28,1717.15
2019-07-31,1682.186
2019-08-30,1656.018
2019-09-30,1697.842
2019-10-31,1764.207
2019-11-29,1773.62
2019-12-31,1784.778
2020-01-31,1732.553
2020-02-28,1589.813
2020-03-31,1349.851
2020-04-30,1501.288
2020-05-29,1597.918
2020-06-30,1646.174
2020-07-31,1699.091
2020-08-31,1770.422
2020-09-30,1711.546
2020-10-30,1708.213
2020-11-30,1949.184
2020-12-31,2046.975
2021-01-29,2051.061
2021-02-26,2107.701
2021-03-31,2176.968
2021-04-30,2260.2
2021-05-31,2275.172
2021-06-30,2206.678
2021-07-30,2238.345
2021-08-31,2369.936
2021-09-30,2270.004
2021-10-29,2344.654
2021-11-30,2166.753
2021-12-31,2234.071
2022-01-31,2058.955
2022-02-28,1920.06
2022-03-31,1953.41
2022-04-29,1816.607
2022-05-31,1822.112
2022-06-30,1606.167
2022-07-29,1700.419
2022-08-31,1611.853
2022-09-30,1470.553
2022-10-31,1588.275
2022-11-30,1770.949
2022-12-30,1744.06
2023-01-31,1955.214
2023-02-28,1938.395
2023-03-31,1909.356
2023-04-28,1869.502
2023-05-31,1869.638
2023-06-30,1957.656
2023-07-31,2103.109
2023-08-31,2024.394
2023-09-29,1873.645
2023-10-31,1835.891
2023-11-30,2132.445
2023-12-29,2252.416
2024-01-31,2253.616
2024-02-29,2352.25
2024-03-29,2409.051
2024-04-30,2358.962
2024-05-31,2487.585
2024-06-28,2496.44
2024-07-31,2451.933
2024-08-30,2516.925
2024-09-30,2551.75
2024-10-31,2424.616
2024-11-29,2389.819
2024-12-31,2328.727
2025-01-31,2376.978
2025-02-28,2449.399
2025-03-31,2496.82
2025-04-30,2651.17
2025-05-30,2853.336
