Date,SINGAPORE SMALL VALUE Small Cap
1994-05-31,224.123
1994-06-30,219.3
1994-07-29,224.516
1994-08-31,237.496
1994-09-30,240.398
1994-10-31,249.7
1994-11-30,231.87
1994-12-30,229.173
1995-01-31,210.904
1995-02-28,217.831
1995-03-31,216.959
1995-04-28,212.706
1995-05-31,219.893
1995-06-30,219.356
1995-07-31,237.219
1995-08-31,240.964
1995-09-29,236.835
1995-10-31,225.708
1995-11-30,225.703
1995-12-29,235.376
1996-01-31,250.35
1996-02-29,251.159
1996-03-29,246.624
1996-04-30,245.963
1996-05-31,241.512
1996-06-28,239.847
1996-07-31,221.897
1996-08-30,228.974
1996-09-30,227.971
1996-10-31,224.045
1996-11-29,237.143
1996-12-31,239.484
1997-01-31,246.512
1997-02-28,257.594
1997-03-31,240.26
1997-04-30,235.414
1997-05-30,240.136
1997-06-30,235.806
1997-07-31,231.174
1997-08-29,202.558
1997-09-30,201.568
1997-10-31,157.666
1997-11-28,152.665
1997-12-31,129.682
1998-01-30,102.753
1998-02-27,138.385
1998-03-31,140.777
1998-04-30,126.431
1998-05-29,104.11
1998-06-30,90.553
1998-07-31,79.896
1998-08-31,59.063
1998-09-30,72.44
1998-10-30,116.73
1998-11-30,129.692
1998-12-31,120.14
1999-01-29,123.272
1999-02-26,119.484
1999-03-31,130.352
1999-04-30,176.661
1999-05-31,202.299
1999-06-30,253.37
1999-07-30,219.194
1999-08-31,210.652
1999-09-30,185.697
1999-10-29,192.771
1999-11-30,199.525
1999-12-31,206.521
2000-01-31,182.727
2000-02-29,174.433
2000-03-31,173.558
2000-04-28,171.578
2000-05-31,145.316
2000-06-30,167.716
2000-07-31,167.858
2000-08-31,176.75
2000-09-29,165.148
2000-10-31,164.698
2000-11-30,168.873
2000-12-29,171.007
2001-01-31,172.327
2001-02-28,178.33
2001-03-30,161.419
2001-04-30,165.723
2001-05-31,169.758
2001-06-29,181.953
2001-07-31,174.299
2001-08-31,174.382
2001-09-28,163.916
2001-10-31,165.998
2001-11-30,172.99
2001-12-31,179.364
2002-01-31,198.24
2002-02-28,193.905
2002-03-29,197.403
2002-04-30,198.809
2002-05-31,203.574
2002-06-28,202.226
2002-07-31,196.876
2002-08-30,191.618
2002-09-30,168.912
2002-10-31,181.946
2002-11-29,182.821
2002-12-31,180.746
2003-01-31,186.705
2003-02-28,191.571
2003-03-31,186.256
2003-04-30,187.17
2003-05-30,216.894
2003-06-30,227.741
2003-07-31,249.581
2003-08-29,254.225
2003-09-30,274.176
2003-10-31,285.379
2003-11-28,283.442
2003-12-31,300.687
2004-01-30,313.7
2004-02-27,323.184
2004-03-31,327.497
2004-04-30,315.952
2004-05-31,323.588
2004-06-30,327.998
2004-07-30,334.081
2004-08-31,343.55
2004-09-30,363.495
2004-10-29,366.796
2004-11-30,388.109
2004-12-31,399.366
2005-01-31,420.242
2005-02-28,434.081
2005-03-31,428.077
2005-04-29,433.157
2005-05-31,435.636
2005-06-30,439.915
2005-07-29,479.983
2005-08-31,471.487
2005-09-30,481.222
2005-10-31,467.503
2005-11-30,481.579
2005-12-30,494.311
2006-01-31,537.404
2006-02-28,555.333
2006-03-31,592.44
2006-04-28,609.501
2006-05-31,568.864
2006-06-30,564.65
2006-07-31,574.931
2006-08-31,603.849
2006-09-29,642.467
2006-10-31,684.172
2006-11-30,739.063
2006-12-29,787.93
2007-01-31,834.46
2007-02-28,849.421
2007-03-30,916.373
2007-04-30,985.783
2007-05-31,1000.0
2007-06-29,1047.001
2007-07-31,1027.479
2007-08-31,946.094
2007-09-28,1020.308
2007-10-31,1070.191
2007-11-30,966.878
2007-12-31,997.169
2008-01-31,897.971
2008-02-29,969.105
2008-03-31,955.881
2008-04-30,989.448
2008-05-30,992.776
2008-06-30,908.031
2008-07-31,879.286
2008-08-29,776.437
2008-09-30,647.572
2008-10-31,426.303
2008-11-28,399.395
2008-12-31,453.372
2009-01-30,429.094
2009-02-27,396.583
2009-03-31,413.02
2009-04-30,493.533
2009-05-29,695.64
2009-06-30,677.185
2009-07-31,797.605
2009-08-31,800.704
2009-09-30,859.404
2009-10-30,875.363
2009-11-30,882.323
2009-12-31,933.456
2010-01-29,914.656
2010-02-26,918.411
2010-03-31,959.067
2010-04-30,1035.064
2010-05-31,926.107
2010-06-30,955.605
2010-07-30,1047.655
2010-08-31,1038.72
2010-09-30,1140.02
2010-10-29,1167.989
2010-11-30,1129.237
2010-12-31,1198.225
2011-01-31,1197.952
2011-02-28,1150.822
2011-03-31,1175.052
2011-04-29,1230.108
2011-05-31,1222.467
2011-06-30,1214.119
2011-07-29,1245.793
2011-08-31,1128.32
2011-09-30,946.388
2011-10-31,1037.545
2011-11-30,954.753
2011-12-30,926.777
2012-01-31,1046.292
2012-02-29,1120.92
2012-03-30,1130.957
2012-04-30,1173.271
2012-05-31,1092.191
2012-06-29,1142.777
2012-07-31,1230.328
2012-08-31,1263.137
2012-09-28,1347.143
2012-10-31,1371.666
2012-11-30,1383.896
2012-12-31,1438.31
2013-01-31,1499.14
2013-02-28,1537.025
2013-03-29,1549.773
2013-04-30,1633.005
2013-05-31,1496.386
2013-06-28,1410.757
2013-07-31,1402.951
2013-08-30,1332.154
2013-09-30,1423.266
2013-10-31,1459.467
2013-11-29,1396.964
2013-12-31,1381.279
2014-01-31,1339.325
2014-02-28,1385.75
2014-03-31,1415.959
2014-04-30,1476.792
2014-05-30,1530.507
2014-06-30,1540.247
2014-07-31,1574.919
2014-08-29,1586.322
2014-09-30,1502.342
2014-10-31,1511.886
2014-11-28,1508.081
2014-12-31,1462.256
2015-01-30,1490.873
2015-02-27,1495.45
2015-03-31,1484.336
2015-04-30,1590.802
2015-05-29,1559.723
2015-06-30,1517.645
2015-07-31,1443.905
2015-08-31,1318.775
2015-09-30,1288.855
2015-10-30,1364.4
2015-11-30,1313.43
2015-12-31,1299.432
2016-01-29,1228.915
2016-02-29,1281.304
2016-03-31,1405.349
2016-04-29,1449.261
2016-05-31,1405.815
2016-06-30,1438.164
2016-07-29,1498.14
2016-08-31,1481.073
2016-09-30,1498.229
2016-10-31,1460.361
2016-11-30,1392.273
2016-12-30,1372.688
2017-01-31,1457.199
2017-02-28,1552.685
2017-03-31,1571.425
2017-04-28,1562.475
2017-05-31,1544.645
2017-06-30,1599.405
2017-07-31,1631.191
2017-08-31,1635.486
2017-09-29,1651.983
2017-10-31,1672.016
2017-11-30,1683.036
2017-12-29,1730.553
2018-01-31,1825.903
2018-02-28,1706.045
2018-03-30,1707.965
2018-04-30,1701.528
2018-05-31,1654.17
2018-06-29,1587.203
2018-07-31,1617.534
2018-08-31,1587.024
2018-09-28,1580.829
2018-10-31,1490.94
2018-11-30,1532.939
2018-12-31,1511.542
2019-01-31,1642.228
2019-02-28,1642.476
2019-03-29,1669.901
2019-04-30,1679.648
2019-05-31,1647.624
